*r,rtscbin,sc_cat,value
WA_W,bin1,cost,107.66
WA_W,bin1,cap,1000
WA_W,bin2,cost,331.26
WA_W,bin2,cap,2000
WA_W,bin3,cost,3312.63
WA_W,bin3,cap,20000
WA_E,bin1,cost,107.66
WA_E,bin1,cap,1000
WA_E,bin2,cost,331.26
WA_E,bin2,cap,2000
WA_E,bin3,cost,3312.63
WA_E,bin3,cap,20000
OR_W,bin1,cost,107.66
OR_W,bin1,cap,1000
OR_W,bin2,cost,331.26
OR_W,bin2,cap,2000
OR_W,bin3,cost,3312.63
OR_W,bin3,cap,20000
OR_E,bin1,cost,107.66
OR_E,bin1,cap,1000
OR_E,bin2,cost,331.26
OR_E,bin2,cap,2000
OR_E,bin3,cost,3312.63
OR_E,bin3,cap,20000
CA_N,bin1,cost,107.66
CA_N,bin1,cap,1000
CA_N,bin2,cost,331.26
CA_N,bin2,cap,2000
CA_N,bin3,cost,3312.63
CA_N,bin3,cap,20000
CA_S,bin1,cost,107.66
CA_S,bin1,cap,1000
CA_S,bin2,cost,331.26
CA_S,bin2,cap,2000
CA_S,bin3,cost,3312.63
CA_S,bin3,cap,20000
CA_LA,bin1,cost,107.66
CA_LA,bin1,cap,1000
CA_LA,bin2,cost,331.26
CA_LA,bin2,cap,2000
CA_LA,bin3,cost,3312.63
CA_LA,bin3,cap,20000
CA_SE,bin1,cost,107.66
CA_SE,bin1,cap,1000
CA_SE,bin2,cost,331.26
CA_SE,bin2,cap,2000
CA_SE,bin3,cost,3312.63
CA_SE,bin3,cap,20000
ID_N,bin1,cost,107.66
ID_N,bin1,cap,1000
ID_N,bin2,cost,331.26
ID_N,bin2,cap,2000
ID_N,bin3,cost,3312.63
ID_N,bin3,cap,20000
ID_S,bin1,cost,107.66
ID_S,bin1,cap,1000
ID_S,bin2,cost,331.26
ID_S,bin2,cap,2000
ID_S,bin3,cost,3312.63
ID_S,bin3,cap,20000
MT_W,bin1,cost,107.66
MT_W,bin1,cap,1000
MT_W,bin2,cost,331.26
MT_W,bin2,cap,2000
MT_W,bin3,cost,3312.63
MT_W,bin3,cap,20000
MT_C,bin1,cost,107.66
MT_C,bin1,cap,1000
MT_C,bin2,cost,331.26
MT_C,bin2,cap,2000
MT_C,bin3,cost,3312.63
MT_C,bin3,cap,20000
MT_E,bin1,cost,107.66
MT_E,bin1,cap,1000
MT_E,bin2,cost,331.26
MT_E,bin2,cap,2000
MT_E,bin3,cost,3312.63
MT_E,bin3,cap,20000
NV_N,bin1,cost,107.66
NV_N,bin1,cap,1000
NV_N,bin2,cost,331.26
NV_N,bin2,cap,2000
NV_N,bin3,cost,3312.63
NV_N,bin3,cap,20000
