*r,rtscbin,sc_cat,value
WA,bin1,cost,107.66
WA,bin1,cap,1000
WA,bin2,cost,331.26
WA,bin2,cap,2000
WA,bin3,cost,3312.63
WA,bin3,cap,20000
OR,bin1,cost,107.66
OR,bin1,cap,1000
OR,bin2,cost,331.26
OR,bin2,cap,2000
OR,bin3,cost,3312.63
OR,bin3,cap,20000
CA_NorthernGrid,bin1,cost,107.66
CA_NorthernGrid,bin1,cap,1000
CA_NorthernGrid,bin2,cost,331.26
CA_NorthernGrid,bin2,cap,2000
CA_NorthernGrid,bin3,cost,3312.63
CA_NorthernGrid,bin3,cap,20000
CA_N_CAISO,bin1,cost,107.66
CA_N_CAISO,bin1,cap,1000
CA_N_CAISO,bin2,cost,331.26
CA_N_CAISO,bin2,cap,2000
CA_N_CAISO,bin3,cost,3312.63
CA_N_CAISO,bin3,cap,20000
CA_S_CAISO,bin1,cost,107.66
CA_S_CAISO,bin1,cap,1000
CA_S_CAISO,bin2,cost,331.26
CA_S_CAISO,bin2,cap,2000
CA_S_CAISO,bin3,cost,3312.63
CA_S_CAISO,bin3,cap,20000
NV,bin1,cost,107.66
NV,bin1,cap,1000
NV,bin2,cost,331.26
NV,bin2,cap,2000
NV,bin3,cost,3312.63
NV,bin3,cap,20000
ID,bin1,cost,107.66
ID,bin1,cap,1000
ID,bin2,cost,331.26
ID,bin2,cap,2000
ID,bin3,cost,3312.63
ID,bin3,cap,20000
MT_NorthernGrid,bin1,cost,107.66
MT_NorthernGrid,bin1,cap,1000
MT_NorthernGrid,bin2,cost,331.26
MT_NorthernGrid,bin2,cap,2000
MT_NorthernGrid,bin3,cost,3312.63
MT_NorthernGrid,bin3,cap,20000
WY_NorthernGrid,bin1,cost,107.66
WY_NorthernGrid,bin1,cap,1000
WY_NorthernGrid,bin2,cost,331.26
WY_NorthernGrid,bin2,cap,2000
WY_NorthernGrid,bin3,cost,3312.63
WY_NorthernGrid,bin3,cap,20000
WY_WestConnect,bin1,cost,107.66
WY_WestConnect,bin1,cap,1000
WY_WestConnect,bin2,cost,331.26
WY_WestConnect,bin2,cap,2000
WY_WestConnect,bin3,cost,3312.63
WY_WestConnect,bin3,cap,20000
UT,bin1,cost,107.66
UT,bin1,cap,1000
UT,bin2,cost,331.26
UT,bin2,cap,2000
UT,bin3,cost,3312.63
UT,bin3,cap,20000
AZ,bin1,cost,107.66
AZ,bin1,cap,1000
AZ,bin2,cost,331.26
AZ,bin2,cap,2000
AZ,bin3,cost,3312.63
AZ,bin3,cap,20000
NM_WestConnect,bin1,cost,107.66
NM_WestConnect,bin1,cap,1000
NM_WestConnect,bin2,cost,331.26
NM_WestConnect,bin2,cap,2000
NM_WestConnect,bin3,cost,3312.63
NM_WestConnect,bin3,cap,20000
SD_WestConnect,bin1,cost,107.66
SD_WestConnect,bin1,cap,1000
SD_WestConnect,bin2,cost,331.26
SD_WestConnect,bin2,cap,2000
SD_WestConnect,bin3,cost,3312.63
SD_WestConnect,bin3,cap,20000
CO,bin1,cost,107.66
CO,bin1,cap,1000
CO,bin2,cost,331.26
CO,bin2,cap,2000
CO,bin3,cost,3312.63
CO,bin3,cap,20000
MT_SPP,bin1,cost,107.66
MT_SPP,bin1,cap,1000
MT_SPP,bin2,cost,331.26
MT_SPP,bin2,cap,2000
MT_SPP,bin3,cost,3312.63
MT_SPP,bin3,cap,20000
ND_SPP,bin1,cost,107.66
ND_SPP,bin1,cap,1000
ND_SPP,bin2,cost,331.26
ND_SPP,bin2,cap,2000
ND_SPP,bin3,cost,3312.63
ND_SPP,bin3,cap,20000
ND_MISO,bin1,cost,107.66
ND_MISO,bin1,cap,1000
ND_MISO,bin2,cost,331.26
ND_MISO,bin2,cap,2000
ND_MISO,bin3,cost,3312.63
ND_MISO,bin3,cap,20000
SD_SPP,bin1,cost,107.66
SD_SPP,bin1,cap,1000
SD_SPP,bin2,cost,331.26
SD_SPP,bin2,cap,2000
SD_SPP,bin3,cost,3312.63
SD_SPP,bin3,cap,20000
NE,bin1,cost,107.66
NE,bin1,cap,1000
NE,bin2,cost,331.26
NE,bin2,cap,2000
NE,bin3,cost,3312.63
NE,bin3,cap,20000
MN,bin1,cost,107.66
MN,bin1,cap,1000
MN,bin2,cost,331.26
MN,bin2,cap,2000
MN,bin3,cost,3312.63
MN,bin3,cap,20000
IA,bin1,cost,107.66
IA,bin1,cap,1000
IA,bin2,cost,331.26
IA,bin2,cap,2000
IA,bin3,cost,3312.63
IA,bin3,cap,20000
WI,bin1,cost,107.66
WI,bin1,cap,1000
WI,bin2,cost,331.26
WI,bin2,cap,2000
WI,bin3,cost,3312.63
WI,bin3,cap,20000
NM_SPP,bin1,cost,107.66
NM_SPP,bin1,cap,1000
NM_SPP,bin2,cost,331.26
NM_SPP,bin2,cap,2000
NM_SPP,bin3,cost,3312.63
NM_SPP,bin3,cap,20000
TX_SPP_N,bin1,cost,107.66
TX_SPP_N,bin1,cap,1000
TX_SPP_N,bin2,cost,331.26
