region,capacity_GW,cum_cost_$,slope_$/kW
0c03add16b1ced2262e7d738a50e7c80,3.007271,56174849.1,69.4821
0c03add16b1ced2262e7d738a50e7c80,3.232826,116851920.6,269.0123
0c03add16b1ced2262e7d738a50e7c80,3.917332,670654501.7,809.0544
0c03add16b1ced2262e7d738a50e7c80,4.000682,740680898.5,840.1487
0c03add16b1ced2262e7d738a50e7c80,6.143767,2659942572.4,895.5602
0c03add16b1ced2262e7d738a50e7c80,6.33272,2867338726.3,1097.6071
0c03add16b1ced2262e7d738a50e7c80,7.251899,3976457549.5,1206.6407
0c03add16b1ced2262e7d738a50e7c80,8.377064,6917639947.0,2614.001
0c03add16b1ced2262e7d738a50e7c80,12.944816,19518972272.8,2758.7602
0c03add16b1ced2262e7d738a50e7c80,13.450524,21318830363.8,3559.0857
0c03add16b1ced2262e7d738a50e7c80,13.472807,21402222019.9,3742.3891
0d4bd6d30244a4deedab26abc0164a54,5.507049,33717437.1,
0d4bd6d30244a4deedab26abc0164a54,6.057759,0.0,-61.2254
0d4bd6d30244a4deedab26abc0164a54,8.361737,175374366.2,76.1181
0d4bd6d30244a4deedab26abc0164a54,9.23864,252926437.8,88.4386
0d4bd6d30244a4deedab26abc0164a54,13.715867,950457346.7,155.7953
0d4bd6d30244a4deedab26abc0164a54,28.022678,3207833955.5,157.7834
0d4bd6d30244a4deedab26abc0164a54,29.315435,3418128803.7,162.6716
0d4bd6d30244a4deedab26abc0164a54,29.437881,3442396158.2,198.1882
0d4bd6d30244a4deedab26abc0164a54,43.038732,6168490107.3,200.4355
0d4bd6d30244a4deedab26abc0164a54,46.726259,7175977410.9,273.2149
0d4bd6d30244a4deedab26abc0164a54,90.209976,20804322281.9,313.4126
0d4bd6d30244a4deedab26abc0164a54,140.242244,40172235251.7,387.1084
0d4bd6d30244a4deedab26abc0164a54,141.044818,40535218587.7,452.274
0d4bd6d30244a4deedab26abc0164a54,172.108858,56246299472.1,505.7642
0d4bd6d30244a4deedab26abc0164a54,184.65076,66829587301.5,843.8344
0d4bd6d30244a4deedab26abc0164a54,186.603171,68564673947.9,888.6892
0d4bd6d30244a4deedab26abc0164a54,189.987018,72240665313.7,1086.335
0d4bd6d30244a4deedab26abc0164a54,191.480945,73968658445.7,1156.6784
0d4bd6d30244a4deedab26abc0164a54,197.166244,81028357228.4,1241.7463
0d4bd6d30244a4deedab26abc0164a54,198.583088,83329778506.4,1624.3293
0d4bd6d30244a4deedab26abc0164a54,201.415966,88402037950.6,1790.497
0d9a52e512b77d53cc23d6f85edc0754,15.329289,0.0,
0d9a52e512b77d53cc23d6f85edc0754,17.287914,61987058.6,31.6483
0d9a52e512b77d53cc23d6f85edc0754,19.318165,231003651.9,83.2491
0d9a52e512b77d53cc23d6f85edc0754,20.588601,385558237.2,121.6548
0d9a52e512b77d53cc23d6f85edc0754,22.548734,1107054046.6,368.0851
0e16acf16e3d99f420c9701ff23bb5c3,15.510076,0.0,
0e16acf16e3d99f420c9701ff23bb5c3,19.857349,48803780.3,11.2263
0e16acf16e3d99f420c9701ff23bb5c3,22.128232,590680687.6,238.6195
0e16acf16e3d99f420c9701ff23bb5c3,24.047904,1259687517.8,348.5006
1942f1e052aae8e41b0202f1d3898d29,1.927623,0.0,
1942f1e052aae8e41b0202f1d3898d29,3.497969,556162774.1,354.1658
1942f1e052aae8e41b0202f1d3898d29,9.24053,2650856754.4,364.7665
1942f1e052aae8e41b0202f1d3898d29,19.528754,6665343445.3,390.2021
1942f1e052aae8e41b0202f1d3898d29,23.04921,8686287332.4,574.0574
1942f1e052aae8e41b0202f1d3898d29,23.477242,8932505228.0,575.2324
1b666b7af4378554039c4072de3a5a8b,9.143956,8525953.8,
1b666b7af4378554039c4072de3a5a8b,9.179368,0.0,-240.7645
2294909d054ac5ce7f5cf06357500314,7.42668,0.0,
2294909d054ac5ce7f5cf06357500314,8.787837,21740120.7,15.9718
2294909d054ac5ce7f5cf06357500314,8.97428,44260121.7,120.7876
2294909d054ac5ce7f5cf06357500314,9.141414,76493212.2,192.8578
2294909d054ac5ce7f5cf06357500314,9.307145,130222293.4,324.1945
2294909d054ac5ce7f5cf06357500314,9.457107,339673231.1,1396.6934
2294909d054ac5ce7f5cf06357500314,9.526561,1282473902.3,13574.4618
2294909d054ac5ce7f5cf06357500314,9.550927,1905245935.8,25559.0591
2294909d054ac5ce7f5cf06357500314,9.555025,2342303138.6,106651.3428
265605ffaaddcc3d13d5d95449d2285e,14.886938,0.0,
265605ffaaddcc3d13d5d95449d2285e,23.727623,932642428.2,105.4944
265605ffaaddcc3d13d5d95449d2285e,28.664482,2146137072.9,245.803
265605ffaaddcc3d13d5d95449d2285e,31.699493,3199814306.3,347.1741
265605ffaaddcc3d13d5d95449d2285e,41.35692,7090079581.9,402.8263
29caed99fc1dd3b1885e56417648e1e6,17.468516,0.0,
29caed99fc1dd3b1885e56417648e1e6,19.3117,57441523.6,31.1643
29caed99fc1dd3b1885e56417648e1e6,20.293768,97555290.8,40.8462
29caed99fc1dd3b1885e56417648e1e6,22.514801,190520863.2,41.8569
29caed99fc1dd3b1885e56417648e1e6,22.921881,213445017.4,56.3136
29caed99fc1dd3b1885e56417648e1e6,26.063663,515756919.6,96.2231
29caed99fc1dd3b1885e56417648e1e6,27.924531,708396121.0,103.5212
29caed99fc1dd3b1885e56417648e1e6,28.181442,737512310.0,113.3318
29caed99fc1dd3b1885e56417648e1e6,29.892998,997524397.4,151.9156
29caed99fc1dd3b1885e56417648e1e6,32.582931,1709896900.7,264.8291
29caed99fc1dd3b1885e56417648e1e6,47.662976,6948530754.4,347.3885
29caed99fc1dd3b1885e56417648e1e6,52.23482,9078549379.7,465.8992
29caed99fc1dd3b1885e56417648e1e6,137.982515,53951811435.0,523.3174
29caed99fc1dd3b1885e56417648e1e6,138.312235,54128482951.0,535.8229
29caed99fc1dd3b1885e56417648e1e6,138.394296,54208533652.6,975.5024
3821f559a445565a9d7e817f21878b66,4.253339,1404590596.9,
3821f559a445565a9d7e817f21878b66,4.542112,0.0,-4863.9956
3821f559a445565a9d7e817f21878b66,5.015056,222449455.7,470.3505
3821f559a445565a9d7e817f21878b66,5.12074,363940261.6,1338.8101
3821f559a445565a9d7e817f21878b66,5.174272,441216599.2,1443.5541
3821f559a445565a9d7e817f21878b66,5.301682,801125784.9,2824.8111
