*r,rtscbin,sc_cat,value
p53043,bin2,cap,2000
p53043,bin3,cost,3312.63
p53043,bin3,cap,20000
p53047,bin1,cost,107.66
p53047,bin1,cap,1000
p53047,bin2,cost,331.26
p53047,bin2,cap,2000
p53047,bin3,cost,3312.63
p53047,bin3,cap,20000
p53051,bin1,cost,107.66
p53051,bin1,cap,1000
p53051,bin2,cost,331.26
p53051,bin2,cap,2000
p53051,bin3,cost,3312.63
p53051,bin3,cap,20000
p53063,bin1,cost,107.66
p53063,bin1,cap,1000
p53063,bin2,cost,331.26
p53063,bin2,cap,2000
p53063,bin3,cost,3312.63
p53063,bin3,cap,20000
p53065,bin1,cost,107.66
p53065,bin1,cap,1000
p53065,bin2,cost,331.26
p53065,bin2,cap,2000
p53065,bin3,cost,3312.63
p53065,bin3,cap,20000
p53075,bin1,cost,107.66
p53075,bin1,cap,1000
p53075,bin2,cost,331.26
p53075,bin2,cap,2000
p53075,bin3,cost,3312.63
p53075,bin3,cap,20000
p53017,bin1,cost,107.66
p53017,bin1,cap,1000
p53017,bin2,cost,331.26
p53017,bin2,cap,2000
p53017,bin3,cost,3312.63
p53017,bin3,cap,20000
p53025,bin1,cost,107.66
p53025,bin1,cap,1000
p53025,bin2,cost,331.26
p53025,bin2,cap,2000
p53025,bin3,cost,3312.63
p53025,bin3,cap,20000
p41003,bin1,cost,107.66
p41003,bin1,cap,1000
p41003,bin2,cost,331.26
p41003,bin2,cap,2000
p41003,bin3,cost,3312.63
p41003,bin3,cap,20000
p41005,bin1,cost,107.66
p41005,bin1,cap,1000
p41005,bin2,cost,331.26
p41005,bin2,cap,2000
p41005,bin3,cost,3312.63
p41005,bin3,cap,20000
p41007,bin1,cost,107.66
p41007,bin1,cap,1000
p41007,bin2,cost,331.26
p41007,bin2,cap,2000
p41007,bin3,cost,3312.63
p41007,bin3,cap,20000
p41009,bin1,cost,107.66
p41009,bin1,cap,1000
p41009,bin2,cost,331.26
p41009,bin2,cap,2000
p41009,bin3,cost,3312.63
p41009,bin3,cap,20000
p41013,bin1,cost,107.66
p41013,bin1,cap,1000
p41013,bin2,cost,331.26
p41013,bin2,cap,2000
p41013,bin3,cost,3312.63
p41013,bin3,cap,20000
p41017,bin1,cost,107.66
p41017,bin1,cap,1000
p41017,bin2,cost,331.26
p41017,bin2,cap,2000
p41017,bin3,cost,3312.63
p41017,bin3,cap,20000
p41021,bin1,cost,107.66
p41021,bin1,cap,1000
p41021,bin2,cost,331.26
p41021,bin2,cap,2000
p41021,bin3,cost,3312.63
p41021,bin3,cap,20000
p41023,bin1,cost,107.66
p41023,bin1,cap,1000
p41023,bin2,cost,331.26
p41023,bin2,cap,2000
p41023,bin3,cost,3312.63
p41023,bin3,cap,20000
p41027,bin1,cost,107.66
p41027,bin1,cap,1000
p41027,bin2,cost,331.26
p41027,bin2,cap,2000
p41027,bin3,cost,3312.63
p41027,bin3,cap,20000
p41031,bin1,cost,107.66
p41031,bin1,cap,1000
