*r,rtscbin,sc_cat,value
AL,bin1,cost,107.66
AL,bin1,cap,1000
AL,bin2,cost,331.26
AL,bin2,cap,2000
AL,bin3,cost,3312.63
AL,bin3,cap,20000
AR,bin1,cost,107.66
AR,bin1,cap,1000
AR,bin2,cost,331.26
AR,bin2,cap,2000
AR,bin3,cost,3312.63
AR,bin3,cap,20000
AZ,bin1,cost,107.66
AZ,bin1,cap,1000
AZ,bin2,cost,331.26
AZ,bin2,cap,2000
AZ,bin3,cost,3312.63
AZ,bin3,cap,20000
CA_N,bin1,cost,107.66
CA_N,bin1,cap,1000
CA_N,bin2,cost,331.26
CA_N,bin2,cap,2000
CA_N,bin3,cost,3312.63
CA_N,bin3,cap,20000
CA_S,bin1,cost,107.66
CA_S,bin1,cap,1000
CA_S,bin2,cost,331.26
CA_S,bin2,cap,2000
CA_S,bin3,cost,3312.63
CA_S,bin3,cap,20000
CO,bin1,cost,107.66
CO,bin1,cap,1000
CO,bin2,cost,331.26
CO,bin2,cap,2000
CO,bin3,cost,3312.63
CO,bin3,cap,20000
CT,bin1,cost,107.66
CT,bin1,cap,1000
CT,bin2,cost,331.26
CT,bin2,cap,2000
CT,bin3,cost,3312.63
CT,bin3,cap,20000
DE,bin1,cost,107.66
DE,bin1,cap,1000
DE,bin2,cost,331.26
DE,bin2,cap,2000
DE,bin3,cost,3312.63
DE,bin3,cap,20000
FL,bin1,cost,107.66
FL,bin1,cap,1000
FL,bin2,cost,331.26
FL,bin2,cap,2000
FL,bin3,cost,3312.63
FL,bin3,cap,20000
GA,bin1,cost,107.66
GA,bin1,cap,1000
GA,bin2,cost,331.26
GA,bin2,cap,2000
GA,bin3,cost,3312.63
GA,bin3,cap,20000
IA,bin1,cost,107.66
IA,bin1,cap,1000
IA,bin2,cost,331.26
IA,bin2,cap,2000
IA,bin3,cost,3312.63
IA,bin3,cap,20000
ID,bin1,cost,107.66
ID,bin1,cap,1000
ID,bin2,cost,331.26
ID,bin2,cap,2000
ID,bin3,cost,3312.63
ID,bin3,cap,20000
IL_MISO,bin1,cost,107.66
IL_MISO,bin1,cap,1000
IL_MISO,bin2,cost,331.26
IL_MISO,bin2,cap,2000
IL_MISO,bin3,cost,3312.63
IL_MISO,bin3,cap,20000
IL_PJM,bin1,cost,107.66
IL_PJM,bin1,cap,1000
IL_PJM,bin2,cost,331.26
IL_PJM,bin2,cap,2000
IL_PJM,bin3,cost,3312.63
IL_PJM,bin3,cap,20000
IN,bin1,cost,107.66
IN,bin1,cap,1000
IN,bin2,cost,331.26
IN,bin2,cap,2000
IN,bin3,cost,3312.63
IN,bin3,cap,20000
KS,bin1,cost,107.66
KS,bin1,cap,1000
KS,bin2,cost,331.26
KS,bin2,cap,2000
KS,bin3,cost,3312.63
KS,bin3,cap,20000
KY,bin1,cost,107.66
KY,bin1,cap,1000
KY,bin2,cost,331.26
KY,bin2,cap,2000
KY,bin3,cost,3312.63
KY,bin3,cap,20000
LA,bin1,cost,107.66
LA,bin1,cap,1000
LA,bin2,cost,331.26
LA,bin2,cap,2000
LA,bin3,cost,3312.63
LA,bin3,cap,20000
MA,bin1,cost,107.66
MA,bin1,cap,1000
MA,bin2,cost,331.26
MA,bin2,cap,2000
MA,bin3,cost,3312.63
MA,bin3,cap,20000
MD,bin1,cost,107.66
MD,bin1,cap,1000
MD,bin2,cost,331.26
MD,bin2,cap,2000
MD,bin3,cost,3312.63
MD,bin3,cap,20000
ME,bin1,cost,107.66
ME,bin1,cap,1000
ME,bin2,cost,331.26
ME,bin2,cap,2000
ME,bin3,cost,3312.63
ME,bin3,cap,20000
MI,bin1,cost,107.66
MI,bin1,cap,1000
MI,bin2,cost,331.26
MI,bin2,cap,2000
MI,bin3,cost,3312.63
MI,bin3,cap,20000
MN,bin1,cost,107.66
MN,bin1,cap,1000
MN,bin2,cost,331.26
MN,bin2,cap,2000
MN,bin3,cost,3312.63
MN,bin3,cap,20000
MO,bin1,cost,107.66
MO,bin1,cap,1000
MO,bin2,cost,331.26
MO,bin2,cap,2000
MO,bin3,cost,3312.63
MO,bin3,cap,20000
MS,bin1,cost,107.66
MS,bin1,cap,1000
MS,bin2,cost,331.26
MS,bin2,cap,2000
MS,bin3,cost,3312.63
MS,bin3,cap,20000
MT,bin1,cost,107.66
MT,bin1,cap,1000
MT,bin2,cost,331.26
MT,bin2,cap,2000
MT,bin3,cost,3312.63
MT,bin3,cap,20000
NC,bin1,cost,107.66
NC,bin1,cap,1000
NC,bin2,cost,331.26
NC,bin2,cap,2000
NC,bin3,cost,3312.63
NC,bin3,cap,20000
ND,bin1,cost,107.66
ND,bin1,cap,1000
ND,bin2,cost,331.26
ND,bin2,cap,2000
ND,bin3,cost,3312.63
ND,bin3,cap,20000
NE,bin1,cost,107.66
NE,bin1,cap,1000
NE,bin2,cost,331.26
NE,bin2,cap,2000
NE,bin3,cost,3312.63
NE,bin3,cap,20000
NH,bin1,cost,107.66
NH,bin1,cap,1000
NH,bin2,cost,331.26
NH,bin2,cap,2000
NH,bin3,cost,3312.63
NH,bin3,cap,20000
NJ,bin1,cost,107.66
NJ,bin1,cap,1000
NJ,bin2,cost,331.26
NJ,bin2,cap,2000
NJ,bin3,cost,3312.63
NJ,bin3,cap,20000
NM,bin1,cost,107.66
NM,bin1,cap,1000
NM,bin2,cost,331.26
NM,bin2,cap,2000
NM,bin3,cost,3312.63
NM,bin3,cap,20000
NV,bin1,cost,107.66
NV,bin1,cap,1000
NV,bin2,cost,331.26
NV,bin2,cap,2000
NV,bin3,cost,3312.63
NV,bin3,cap,20000
NY_NYCLI,bin1,cost,107.66
NY_NYCLI,bin1,cap,1000
NY_NYCLI,bin2,cost,331.26
NY_NYCLI,bin2,cap,2000
NY_NYCLI,bin3,cost,3312.63
NY_NYCLI,bin3,cap,20000
NY_UP,bin1,cost,107.66
NY_UP,bin1,cap,1000
NY_UP,bin2,cost,331.26
NY_UP,bin2,cap,2000
NY_UP,bin3,cost,3312.63
NY_UP,bin3,cap,20000
OH,bin1,cost,107.66
OH,bin1,cap,1000
OH,bin2,cost,331.26
OH,bin2,cap,2000
OH,bin3,cost,3312.63
OH,bin3,cap,20000
OK,bin1,cost,107.66
OK,bin1,cap,1000
OK,bin2,cost,331.26
OK,bin2,cap,2000
OK,bin3,cost,3312.63
OK,bin3,cap,20000
OR,bin1,cost,107.66
OR,bin1,cap,1000
OR,bin2,cost,331.26
OR,bin2,cap,2000
OR,bin3,cost,3312.63
OR,bin3,cap,20000
PA,bin1,cost,107.66
PA,bin1,cap,1000
PA,bin2,cost,331.26
PA,bin2,cap,2000
PA,bin3,cost,3312.63
PA,bin3,cap,20000
RI,bin1,cost,107.66
RI,bin1,cap,1000
RI,bin2,cost,331.26
RI,bin2,cap,2000
RI,bin3,cost,3312.63
RI,bin3,cap,20000
SC,bin1,cost,107.66
SC,bin1,cap,1000
SC,bin2,cost,331.26
SC,bin2,cap,2000
SC,bin3,cost,3312.63
SC,bin3,cap,20000
SD,bin1,cost,107.66
SD,bin1,cap,1000
SD,bin2,cost,331.26
SD,bin2,cap,2000
SD,bin3,cost,3312.63
SD,bin3,cap,20000
TN,bin1,cost,107.66
TN,bin1,cap,1000
TN,bin2,cost,331.26
TN,bin2,cap,2000
TN,bin3,cost,3312.63
TN,bin3,cap,20000
TX_ERCOT_E,bin1,cost,107.66
TX_ERCOT_E,bin1,cap,1000
TX_ERCOT_E,bin2,cost,331.26
TX_ERCOT_E,bin2,cap,2000
TX_ERCOT_E,bin3,cost,3312.63
TX_ERCOT_E,bin3,cap,20000
TX_ERCOT_W,bin1,cost,107.66
TX_ERCOT_W,bin1,cap,1000
TX_ERCOT_W,bin2,cost,331.26
TX_ERCOT_W,bin2,cap,2000
TX_ERCOT_W,bin3,cost,3312.63
TX_ERCOT_W,bin3,cap,20000
TX_MISO,bin1,cost,107.66
TX_MISO,bin1,cap,1000
TX_MISO,bin2,cost,331.26
TX_MISO,bin2,cap,2000
TX_MISO,bin3,cost,3312.63
TX_MISO,bin3,cap,20000
TX_SPP,bin1,cost,107.66
TX_SPP,bin1,cap,1000
TX_SPP,bin2,cost,331.26
TX_SPP,bin2,cap,2000
TX_SPP,bin3,cost,3312.63
