*r,rtscbin,sc_cat,value
p34,bin3,cap,20000
p35,bin1,cost,107.66
p35,bin1,cap,1000
p35,bin2,cost,331.26
p35,bin2,cap,2000
p35,bin3,cost,3312.63
p35,bin3,cap,20000
p36,bin1,cost,107.66
p36,bin1,cap,1000
p36,bin2,cost,331.26
p36,bin2,cap,2000
p36,bin3,cost,3312.63
p36,bin3,cap,20000
p37,bin1,cost,107.66
p37,bin1,cap,1000
p37,bin2,cost,331.26
p37,bin2,cap,2000
p37,bin3,cost,3312.63
p37,bin3,cap,20000
p38,bin1,cost,107.66
p38,bin1,cap,1000
p38,bin2,cost,331.26
p38,bin2,cap,2000
p38,bin3,cost,3312.63
p38,bin3,cap,20000
p39,bin1,cost,107.66
p39,bin1,cap,1000
p39,bin2,cost,331.26
p39,bin2,cap,2000
p39,bin3,cost,3312.63
p39,bin3,cap,20000
p40,bin1,cost,107.66
p40,bin1,cap,1000
p40,bin2,cost,331.26
p40,bin2,cap,2000
p40,bin3,cost,3312.63
p40,bin3,cap,20000
p41,bin1,cost,107.66
p41,bin1,cap,1000
p41,bin2,cost,331.26
p41,bin2,cap,2000
p41,bin3,cost,3312.63
p41,bin3,cap,20000
p42,bin1,cost,107.66
p42,bin1,cap,1000
p42,bin2,cost,331.26
p42,bin2,cap,2000
p42,bin3,cost,3312.63
p42,bin3,cap,20000
p43,bin1,cost,107.66
p43,bin1,cap,1000
p43,bin2,cost,331.26
p43,bin2,cap,2000
p43,bin3,cost,3312.63
p43,bin3,cap,20000
p44,bin1,cost,107.66
p44,bin1,cap,1000
p44,bin2,cost,331.26
p44,bin2,cap,2000
p44,bin3,cost,3312.63
p44,bin3,cap,20000
p47,bin1,cost,107.66
p47,bin1,cap,1000
p47,bin2,cost,331.26
p47,bin2,cap,2000
p47,bin3,cost,3312.63
p47,bin3,cap,20000
p48,bin1,cost,107.66
p48,bin1,cap,1000
p48,bin2,cost,331.26
p48,bin2,cap,2000
p48,bin3,cost,3312.63
p48,bin3,cap,20000
p49,bin1,cost,107.66
