case_name,x_Batt,x_Dem,x_Fuel,x_Pol,x_REcost,x_Siting,cap_CoalOldScr,cap_CoalOldScr_coal-CCS_mod,cap_Gas-CC_Gas-CC-CCS_mod,cap_Gas-CC_H2-CC,cap_H2-CC,cap_H2-CT,cap_battery_li,cap_coal-ccs_mod,cap_distpv,cap_electrolyzer,cap_gas-cc,cap_gas-cc-ccs_mod,cap_gas-ct,cap_hydED,cap_hydEND,cap_hydUD,cap_lfill-gas,cap_nuclear,cap_nuclear-smr,cap_o-g-s,cap_pumped-hydro,gen_CoalOldScr,gen_CoalOldScr_coal-CCS_mod,gen_Gas-CC_Gas-CC-CCS_mod,gen_Gas-CC_H2-CC,gen_Gas-CT_H2-CT,gen_H2-CC,gen_H2-CT,gen_battery_li,gen_coal-ccs_mod,gen_coal-igcc,gen_coal-new,gen_distpv,gen_gas-cc,gen_gas-cc-ccs_mod,gen_gas-ct,gen_hydED,gen_hydEND,gen_hydUD,gen_lfill-gas,gen_nuclear,gen_nuclear-smr,gen_o-g-s,gen_pumped-hydro,tran_AC_total,tran_total,cost_inv_h2_production,cost_inv_h2_storage,cost_inv_investment_capacity_costs,cost_inv_investment_refurbishment_capacity,cost_inv_investment_spurline_costs_rsc_technologies,cost_inv_itc_payments_negative,cost_inv_transmission_interzone_ac_investment,cost_inv_transmission_intrazone_investment,cost_op_co2_incentive_negative,cost_op_co2_transport_storage,cost_op_consume_fom,cost_op_fom_costs,cost_op_fuelcosts_objfn,cost_op_h2_storage,cost_op_h2_transport_intrareg,cost_op_ptc_payments_negative,cost_op_spurline_fom,cost_op_startcost,cost_op_transmission_fom,cost_op_transmission_intrazone_fom,cost_op_vom_costs,cost_total,runtime_seconds,cap_upv,cap_wind-ons,gen_upv,gen_wind-ofs,gen_wind-ons
test0_DemHi_FuelMd_REcostHi_SitingRef_BattHi_PolIRA,2,2,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,9202.880099,0.0,12994.628099,0.0,101928.330534,0.0,31111.232542,142.0,405.8,0.0,24.4,4980.0,0.0,175.351085,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-584719.08793,0.0,0.0,0.0,26920965.006,413620979.377618,0.0,18292439.406353,299450.736,442984.704,0.0,106044.982656,38345684.46192,0.0,261004.205598,-2409.651,38480.289353,38480.289353,0.0,0.0,1418048913.931977,103597296.48927,308584436.692702,0.0,0.0,0.0,0.0,0.0,0.0,5695936338.867047,9112323650.65408,0.0,-0.0,-95465977.05403,388702468.809795,764043784.782767,413460220.07987,258068310.25111,822383702.658671,19189683146.16326,2656.016292,93171.23710900001,74641.04490200001,208728044.672793,0.0,265383147.38636902
test0_DemHi_FuelMd_REcostHi_SitingRef_BattHi_PolOBBBA,2,2,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,8729.626827,0.0,12994.628099,0.0,104830.945889,8129.562548,20834.352052,142.0,405.8,0.0,24.4,4980.0,0.0,1270.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589537.426322,0.0,0.0,0.0,26920965.006,414883649.639631,45114880.08138,15656289.508372,299450.736,442984.704,0.0,111743.683626,38819607.247766,0.0,859465.252108,-2134.797,35335.016477,35335.016477,0.0,0.0,9619983436.609962,17503461.798696,2631210379.194949,0.0,0.0,43121960.24541,0.0,184507362.711063,0.0,5469869471.820116,10090250930.75357,0.0,-0.0,0.0,336734129.655077,718697554.700754,383111416.090047,228395868.273037,963693891.942533,30687079863.795208,2422.32403,79911.843017,66363.221118,187984100.90949598,0.0,241056675.055784
test0_DemHi_FuelMd_REcostHi_SitingRef_BattLo_PolIRA,0,2,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,22721.988276,0.0,12994.628099,0.0,100513.31853,0.0,22038.936411,142.0,405.8,0.0,24.4,4980.0,0.0,378.133079,5.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-7038224.627614,0.0,0.0,-0.0,26920965.006,411299449.116606,0.0,13212932.340943,299450.736,442984.704,0.0,108186.146616,38847919.12992,0.0,314702.64863,-2607.825,38027.87280899999,38027.87280899999,0.0,0.0,4065354765.59159,59575035.64014,1191086958.978868,0.0,268853978.246138,88111105.083088,0.0,0.0,0.0,5772751432.819797,8977737299.496048,0.0,-0.0,-96666017.141709,398346466.810662,303615481.477709,415015553.686158,255350850.916131,852127874.123268,22551260785.727886,2443.779623,99183.379137,71520.876637,227200504.275442,0.0,260452874.88135698
test0_DemHi_FuelMd_REcostHi_SitingRef_BattLo_PolOBBBA,0,2,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,15476.654263,0.0,12994.628099,0.0,101095.782194,5651.188326,17751.635436,142.0,405.8,0.0,24.4,4980.0,0.0,1270.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4392104.009862,0.0,0.0,0.0,26920965.006,413499217.409717,36960714.564175,12429916.065353,299450.736,442984.704,0.0,108186.146616,38847919.12992,0.0,874765.467085,-1838.061,35821.3709,35821.3709,0.0,0.0,8814782367.608671,58520610.23058,2626355735.854352,0.0,0.0,97728517.232229,0.0,151159084.44954,0.0,5435054510.885694,9824192054.88446,0.0,-0.0,0.0,349614351.678211,445372276.915849,387179537.391638,229462325.625972,950703437.1673,29370124809.924496,2288.270484,85058.270467,65395.86362899999,203371650.47764802,0.0,242240999.763627
test0_DemHi_FuelMd_REcostHi_SitingRef_BattMd_PolIRA,1,2,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,10691.69773,0.0,12994.628099,0.0,99998.187027,0.0,27647.781475,142.0,405.8,0.0,24.4,4980.0,0.0,137.812872,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2672897.264445,0.0,0.0,0.0,26920965.006,405729098.78094,0.0,16688059.52084,299450.736,442984.704,0.0,108186.146616,38828477.810744,0.0,170236.074156,-1574.007,37421.252749,37421.252749,0.0,0.0,2720847634.164166,103597296.48927,622736611.523147,0.0,43406972.88888,0.0,0.0,0.0,0.0,5698735130.89706,8914344254.706425,0.0,0.0,-95176007.802892,399129490.001438,629136814.091144,406683854.962352,256515032.028224,813407827.986469,20513364911.935684,2634.589531,98469.393678,72568.982708,222493446.983175,0.0,262794046.84076002
test0_DemHi_FuelMd_REcostHi_SitingRef_BattMd_PolOBBBA,1,2,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,10387.557824,0.0,12994.628099,0.0,103123.878268,5791.795788,19343.820826,142.0,405.8,0.0,24.4,4980.0,0.0,1270.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2362659.914556,0.0,0.0,0.0,26920965.006,416404228.773487,27335167.554976,12989179.96629,299450.736,442984.704,0.0,108186.146616,38847919.12992,0.0,864875.222047,-2758.503,36541.318906,36541.318906,0.0,0.0,9343227032.963043,17503461.798696,2822572552.68302,0.0,0.0,46263036.564311,0.0,111793263.458438,0.0,5485330400.823208,9667114666.448769,-0.0,0.0,0.0,352977592.501228,575997313.597209,393201556.889579,230711611.158484,928831347.784623,29975523836.67061,2421.443014,83893.64672799999,67867.86963500001,199743917.13928497,0.0,250218756.711558
test0_DemHi_FuelMd_REcostLo_SitingLim_BattHi_PolIRA,2,2,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,6596.269874,0.0,12994.628099,0.0,66355.211097,0.0,60392.101184,142.0,405.8,0.0,24.4,4980.0,0.0,183.782981,5.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1133573.047426,0.0,0.0,0.0,30008120.2923,197732005.3525,0.0,34981130.772027,253776.72,443341.2192,0.0,88348.259268,36191371.372651,0.0,281301.338656,-2768.9235,46872.407376,46872.407376,0.0,0.0,3974278500.79276,29041472.61036,1614932826.846066,0.0,530383611.990575,0.0,0.0,-0.0,0.0,5774506597.106758,5225321887.281097,0.0,-0.0,-731759622.886054,529429475.549665,655980156.041225,485442211.222239,296209305.903872,464510967.152218,18848277389.610783,3041.74083,118576.010352,110413.189584,280628152.020252,0.0,380791843.747622
test0_DemHi_FuelMd_REcostLo_SitingLim_BattHi_PolOBBBA,2,2,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,7091.717192,0.0,12994.628099,0.0,76284.959522,0.0,50052.716155,142.0,405.8,0.0,24.4,4980.0,0.0,180.724987,5.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1538504.160044,0.0,0.0,0.0,30008120.2923,221532777.680649,-0.0,29063375.81441,272922.864,443341.2192,0.0,98274.581759,37406928.407819,0.0,279694.056628,-2937.4635,45549.485614000005,45549.485614000005,0.0,0.0,5488301370.361332,120557994.21036,1944799817.307261,0.0,509049414.483527,0.0,0.0,0.0,0.0,5605462994.888898,5485800898.527699,0.0,0.0,0.0,498542623.787487,687605856.515367,463425912.071064,287601762.689864,425595162.948066,21516743807.790924,3147.114264,112111.39477400001,105942.82320999999,272589495.610407,0.0,369981099.24889004
test0_DemHi_FuelMd_REcostLo_SitingLim_BattLo_PolIRA,0,2,1,0,0,2,137.539246,1142.295068,0.0,0.0,0.0,0.0,31519.356447,1422.671666,12994.628099,0.0,61185.060266,0.0,43709.933013,142.0,405.8,0.0,24.4,4980.0,0.0,1270.4,5.0,622452.014059,600390.287911,0.0,-0.0,0.0,0.0,0.0,-10725256.239147,747756.227671,0.0,0.0,30008120.2923,163878444.106365,0.0,22973940.79172,299655.216,443341.2192,0.0,102351.494081,37950995.937207,0.0,667722.24,-2368.47,47358.61969300001,47358.61969300001,0.0,0.0,6839262177.411711,0.0,2034113872.8534,0.0,607819010.224006,333028821.859033,0.0,17372327.118161,0.0,6139939830.102563,4238588001.631306,0.0,-0.0,-1300211170.688243,554808800.908894,387155660.422298,494812902.572591,314633572.042503,362018788.07826,21023342594.53648,2742.004049,144991.51820400002,103258.01159800001,357669550.383314,0.0,355996338.600095
test0_DemHi_FuelMd_REcostLo_SitingLim_BattLo_PolOBBBA,0,2,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,26116.214015,0.0,12994.628099,0.0,78820.625951,0.0,31805.506561,142.0,405.8,0.0,24.4,4980.0,0.0,1210.072358,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8778533.316304,0.0,0.0,0.0,30008120.2923,218150978.054565,-0.0,16716974.248249,299655.216,443341.2192,0.0,102351.494081,37985785.78374,0.0,636014.031428,-2998.35375,44037.974717,44037.974717,0.0,0.0,6196171179.19478,0.0,2039556141.28253,0.0,335959333.637842,162955810.968807,0.0,-0.0,0.0,5720728995.678257,5057724630.84561,0.0,-0.0,0.0,503577447.618603,397755672.457884,447464769.258764,297323094.08426,358877021.54141,21518094096.568745,2741.619071,127654.39937900001,98815.06423799999,316589366.41672003,0.0,348319911.63978493
