t,fuel,cost_2021_per_mmbtu,source,quality
2033,naturalgas,12.37,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2034,naturalgas,12.459999999999999,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2035,naturalgas,12.55,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2036,naturalgas,12.64,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2037,naturalgas,12.73,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2038,naturalgas,12.82,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2039,naturalgas,12.91,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2040,naturalgas,13.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2041,naturalgas,12.97,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2042,naturalgas,12.94,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2043,naturalgas,12.91,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2044,naturalgas,12.879999999999999,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2045,naturalgas,12.85,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2046,naturalgas,12.82,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2047,naturalgas,12.79,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2048,naturalgas,12.76,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2049,naturalgas,12.729999999999999,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2050,naturalgas,12.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2010,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2011,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2012,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2013,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2014,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2015,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2016,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2017,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2018,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2019,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2020,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2021,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2022,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2023,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2024,dfo,24.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
