r,rr,MW,loss,branch_count,method
pr296,pr8,40.0,0.020986600000000005,2,sum_of_boundary_continuous_ratings
pr3,pr313,65.0,0.009927984615384617,2,sum_of_boundary_continuous_ratings
pr3,pr363,450.0,0.000585,1,sum_of_boundary_continuous_ratings
pr3000,pr3001,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr310,pr400,91.6,0.009297399999999997,1,sum_of_boundary_continuous_ratings
pr310,pr93,184.6,0.009394294,1,sum_of_boundary_continuous_ratings
pr319,pr96,717.0,0.0027246,1,sum_of_boundary_continuous_ratings
pr32,pr35,48.0,0.01655616,1,sum_of_boundary_continuous_ratings
pr334,pr8,184.6,0.022115079999999995,1,sum_of_boundary_continuous_ratings
pr335,pr38,20.0,0.07683200000000001,1,sum_of_boundary_continuous_ratings
pr335,pr40,557.6000000000001,0.010674249641319942,3,sum_of_boundary_continuous_ratings
pr335,pr97144,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr35,pr902,91.0,0.053799200000000005,1,sum_of_boundary_continuous_ratings
pr352,pr440,369.3,0.00727521,1,sum_of_boundary_continuous_ratings
pr378,pr45,108.5,0.013456191255299538,3,sum_of_boundary_continuous_ratings
pr378,pr492,231.1,0.0085507,1,sum_of_boundary_continuous_ratings
pr378,pr93,68.0,0.02152423529411765,2,sum_of_boundary_continuous_ratings
pr38,pr40,116.2,0.01756944,1,sum_of_boundary_continuous_ratings
pr38,pr902,91.0,0.009272899999999999,1,sum_of_boundary_continuous_ratings
pr392,pr84,264.1,0.005006847462324876,3,sum_of_boundary_continuous_ratings
pr392,pr86,343.0,0.002404075189504373,3,sum_of_boundary_continuous_ratings
pr392,pr87,352.8,0.0022963658956916097,4,sum_of_boundary_continuous_ratings
pr40,pr441,350.2,0.0017159799999999998,1,sum_of_boundary_continuous_ratings
pr400,pr83,91.5,0.0094062,1,sum_of_boundary_continuous_ratings
pr41,pr93,231.0,0.023444064935064932,2,sum_of_boundary_continuous_ratings
pr41,pr97064,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr440,pr441,350.0,0.0004374999999996501,1,sum_of_boundary_continuous_ratings
pr45,pr50,185.0,0.011737621621621622,2,sum_of_boundary_continuous_ratings
pr45,pr63,775.9000000000001,0.008855475886067792,5,sum_of_boundary_continuous_ratings
pr45,pr87,80.1,0.008197788029962549,2,sum_of_boundary_continuous_ratings
pr45,pr88,184.6,0.007383999999999999,1,sum_of_boundary_continuous_ratings
pr45,pr99,544.0,0.00021760000000000014,1,sum_of_boundary_continuous_ratings
pr451,pr99,924.0,0.0081312,1,sum_of_boundary_continuous_ratings
pr480,pr85,116.2,0.0027190799999999996,1,sum_of_boundary_continuous_ratings
pr492,pr93,184.6,0.006830199999999998,1,sum_of_boundary_continuous_ratings
pr50,pr545,145.2,0.005808000000000001,1,sum_of_boundary_continuous_ratings
pr50,pr63,286.5,0.015442350000000002,1,sum_of_boundary_continuous_ratings
pr50,pr84,206.0,0.0044621609708737865,3,sum_of_boundary_continuous_ratings
pr50,pr85,40.0,0.021025500000000003,2,sum_of_boundary_continuous_ratings
pr50,pr87,260.0,0.0031289692307692307,2,sum_of_boundary_continuous_ratings
pr555,pr83,91.5,0.00883707,1,sum_of_boundary_continuous_ratings
pr583,pr84,184.6,0.0016244799999999998,1,sum_of_boundary_continuous_ratings
pr583,pr85,184.6,0.0012737399999999998,1,sum_of_boundary_continuous_ratings
pr63,pr87,40.1,0.00980846,1,sum_of_boundary_continuous_ratings
pr63,pr88,184.6,0.007937799999999998,1,sum_of_boundary_continuous_ratings
pr632,pr86,402.2,0.002805940210840378,6,sum_of_boundary_continuous_ratings
pr7000,pr7200,4780.783415006242,0.2,1,sum_of_boundary_continuous_ratings
pr82,pr85,308.4,0.011173874370946822,3,sum_of_boundary_continuous_ratings
pr84,pr85,68.0,0.008355263529411766,2,sum_of_boundary_continuous_ratings
pr86,pr87,191.0,0.0029987,1,sum_of_boundary_continuous_ratings
pr86,pr88,369.2,0.009783799999999999,2,sum_of_boundary_continuous_ratings
pr87,pr88,369.2,0.006174869999999998,2,sum_of_boundary_continuous_ratings
