year,der_archive_mw,engage_capacity_output_mw,forced_reeds_mw
2022,450.7934560030001,0.0,450.79345600299996
2025,799.6808791775101,771.5340848000001,771.5340847999998
2028,954.54056531136,954.54173565,954.54173565
2030,1063.4468946473298,1063.4481649799998,1063.44816498
2035,1262.7299908575098,1246.19975825,1246.1997582500003
2040,1443.7426648022397,1443.74430689,1443.7443068900004
2045,2013.7385914196307,1855.67269808,1855.6726980799992
2050,2473.9445402146002,2473.94648095,2473.9464809500005
