source_id,source_kind,tech,region,capacity_mw,start_year,retire_year,duration_hours
PR100_natural_gas_2025_2050_pr96,official_PR100_natural_gas,gas-cc,pr96,247.1927048006632,2025,2050,
PR100_HYDRO_2022,PR100_report_10MW_hydro_throughout_horizon,hydED,pr169,10.0,2009,2051,
PR100_LFG_2022,official_PR100_landfill_gas,lfill-gas,pr63,4.8,2009,2051,
PR100_WIND_2022,official_PR100_existing_wind_nearest_valid_resource_region,wind-ons,pr321,75.0,2009,2051,
PR100_UPV_2022,official_PR100_existing_planned_pv,upv,pr8,143.1,2009,2051,
TRANCHE1_AJ-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr41,25.50307765151515,2025,2051,
TRANCHE1_AD-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr97014,33.6640625,2025,2051,
TRANCHE1_I-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr296,102.0123106060606,2025,2051,
TRANCHE1_AQ-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr1206,102.0123106060606,2025,2051,
TRANCHE1_W-3-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr167,61.20738636363636,2025,2051,
TRANCHE1_O-2-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr428,25.50307765151515,2025,2051,
TRANCHE1_O-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr116,21.116548295454542,2025,2051,
TRANCHE1_C-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr107,122.41477272727272,2025,2051,
TRANCHE1_A-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr321,81.91588541666665,2025,2051,
TRANCHE1_AB-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr97064,25.50307765151515,2025,2051,
TRANCHE1_B-2-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr16,20.402462121212118,2025,2051,
TRANCHE1_B-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr16,25.50307765151515,2025,2051,
TRANCHE1_AK-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr14,32.745951704545455,2025,2051,
TRANCHE1_AT-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr14,39.478764204545456,2025,2051,
TRANCHE1_AI-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr169,35.70430871212121,2025,2051,
TRANCHE1_N-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr296,61.20738636363636,2025,2051,
TRANCHE1_AS-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr440,20.402462121212118,2025,2051,
TRANCHE1_AE-1-P,PR100_Tranche1_and_17MW_reconciliation,upv,pr8,25.50307765151515,2025,2051,
PR100_Tranche1_4h_2025_pr107,official_PR100_storage_prescription,battery_li,pr107,105.11363636363637,2025,2051,4.0
PR100_Tranche1_4h_2025_pr116,official_PR100_storage_prescription,battery_li,pr116,18.132102272727273,2025,2051,4.0
PR100_Tranche1_4h_2025_pr1206,official_PR100_storage_prescription,battery_li,pr1206,87.59469696969697,2025,2051,4.0
PR100_Tranche1_4h_2025_pr14,official_PR100_storage_prescription,battery_li,pr14,62.017045454545475,2025,2051,4.0
PR100_Tranche1_4h_2025_pr16,official_PR100_storage_prescription,battery_li,pr16,39.41761363636364,2025,2051,4.0
PR100_Tranche1_4h_2025_pr167,official_PR100_storage_prescription,battery_li,pr167,52.55681818181819,2025,2051,4.0
PR100_Tranche1_4h_2025_pr169,official_PR100_storage_prescription,battery_li,pr169,30.65814393939394,2025,2051,4.0
PR100_Tranche1_4h_2025_pr296,official_PR100_storage_prescription,battery_li,pr296,140.15151515151516,2025,2051,4.0
PR100_Tranche1_4h_2025_pr321,official_PR100_storage_prescription,battery_li,pr321,70.33854166666666,2025,2051,4.0
PR100_Tranche1_4h_2025_pr41,official_PR100_storage_prescription,battery_li,pr41,21.898674242424242,2025,2051,4.0
PR100_Tranche1_4h_2025_pr428,official_PR100_storage_prescription,battery_li,pr428,21.898674242424242,2025,2051,4.0
PR100_Tranche1_4h_2025_pr440,official_PR100_storage_prescription,battery_li,pr440,17.518939393939394,2025,2051,4.0
PR100_Tranche1_4h_2025_pr8,official_PR100_storage_prescription,battery_li,pr8,21.898674242424242,2025,2051,4.0
PR100_Tranche1_4h_2025_pr97014,official_PR100_storage_prescription,battery_li,pr97014,28.90625,2025,2051,4.0
PR100_Tranche1_4h_2025_pr97064,official_PR100_storage_prescription,battery_li,pr97064,21.898674242424242,2025,2051,4.0
PR100_Tranche1_4h_2028_pr107,official_PR100_storage_prescription,battery_li,pr107,106.53409090909092,2028,2051,4.0
PR100_Tranche1_4h_2028_pr116,official_PR100_storage_prescription,battery_li,pr116,18.37713068181818,2028,2051,4.0
PR100_Tranche1_4h_2028_pr1206,official_PR100_storage_prescription,battery_li,pr1206,88.7784090909091,2028,2051,4.0
PR100_Tranche1_4h_2028_pr14,official_PR100_storage_prescription,battery_li,pr14,62.855113636363654,2028,2051,4.0
PR100_Tranche1_4h_2028_pr16,official_PR100_storage_prescription,battery_li,pr16,39.95028409090909,2028,2051,4.0
PR100_Tranche1_4h_2028_pr167,official_PR100_storage_prescription,battery_li,pr167,53.26704545454546,2028,2051,4.0
PR100_Tranche1_4h_2028_pr169,official_PR100_storage_prescription,battery_li,pr169,31.072443181818187,2028,2051,4.0
PR100_Tranche1_4h_2028_pr296,official_PR100_storage_prescription,battery_li,pr296,142.04545454545453,2028,2051,4.0
PR100_Tranche1_4h_2028_pr321,official_PR100_storage_prescription,battery_li,pr321,71.2890625,2028,2051,4.0
PR100_Tranche1_4h_2028_pr41,official_PR100_storage_prescription,battery_li,pr41,22.194602272727273,2028,2051,4.0
PR100_Tranche1_4h_2028_pr428,official_PR100_storage_prescription,battery_li,pr428,22.194602272727273,2028,2051,4.0
PR100_Tranche1_4h_2028_pr440,official_PR100_storage_prescription,battery_li,pr440,17.755681818181817,2028,2051,4.0
PR100_Tranche1_4h_2028_pr8,official_PR100_storage_prescription,battery_li,pr8,22.194602272727273,2028,2051,4.0
PR100_Tranche1_4h_2028_pr97014,official_PR100_storage_prescription,battery_li,pr97014,29.296875,2028,2051,4.0
PR100_Tranche1_4h_2028_pr97064,official_PR100_storage_prescription,battery_li,pr97064,22.194602272727273,2028,2051,4.0
PR100_RA_10h_2025_pr107,official_PR100_storage_prescription,battery_li,pr107,45.48981629337836,2025,2051,10.0
PR100_RA_10h_2025_pr116,official_PR100_storage_prescription,battery_li,pr116,7.8469933106077665,2025,2051,10.0
PR100_RA_10h_2025_pr1206,official_PR100_storage_prescription,battery_li,pr1206,37.90818024448197,2025,2051,10.0
PR100_RA_10h_2025_pr14,official_PR100_storage_prescription,battery_li,pr14,26.83899161309324,2025,2051,10.0
PR100_RA_10h_2025_pr16,official_PR100_storage_prescription,battery_li,pr16,17.058681110016884,2025,2051,10.0
PR100_RA_10h_2025_pr167,official_PR100_storage_prescription,battery_li,pr167,22.74490814668918,2025,2051,10.0
PR100_RA_10h_2025_pr169,official_PR100_storage_prescription,battery_li,pr169,13.26786308556869,2025,2051,10.0
PR100_RA_10h_2025_pr296,official_PR100_storage_prescription,battery_li,pr296,60.653088391171146,2025,2051,10.0
PR100_RA_10h_2025_pr321,official_PR100_storage_prescription,battery_li,pr321,30.440268736319016,2025,2051,10.0
PR100_RA_10h_2025_pr41,official_PR100_storage_prescription,battery_li,pr41,9.477045061120492,2025,2051,10.0
