sc_point_gid,class,capacity,capital_adder_per_mw,cf
75415,2,0.24,210168.89,0.1685
75418,4,1.18,114170.03,0.3377
75419,2,2.54,102309.98,0.18
75420,2,0.94,91504.07,0.2087
75422,3,2.89,122800.47,0.269
75423,3,0.23,150511.82,0.2479
75424,2,0.21,130216.8,0.2241
75429,3,2.97,98291.09,0.253
75431,3,2.18,128887.04,0.2471
75432,3,1.01,101619.09,0.2656
75433,3,2.68,91395.72,0.2516
75435,3,0.46,117718.36,0.2354
75436,3,3.31,92754.34,0.2417
75437,3,0.29,121115.64,0.2467
75441,2,2.34,31687.88,0.1679
75442,2,2.53,104659.71,0.2134
75444,1,5.19,44150.96,0.1521
75445,1,1.07,34864.35,0.1274
75446,1,0.14,97977.52,0.1352
75447,2,4.1,86191.35,0.1938
75448,3,3.18,92238.73,0.2513
75451,1,3.0,92083.5,0.1377
75452,2,3.08,40103.12,0.1677
75453,1,1.19,68382.99,0.1636
75454,1,0.31,134019.77,0.1435
75455,2,0.5,135104.68,0.1732
75456,1,0.12,154480.6,0.0931
75458,1,1.02,149084.66,0.09
75459,1,3.07,121094.24,0.1207
75460,2,2.69,142849.07,0.1709
75462,1,0.22,260847.99,0.1115
75465,1,0.44,198270.38,0.1585
75469,2,2.36,140220.25,0.1671
75474,3,0.15,142061.73,0.2263
75476,3,3.43,152102.53,0.2599
75477,3,1.54,282405.42,0.2682
75478,3,0.02,182004.96,0.2315
75479,3,0.07,172720.65,0.2715
75484,2,1.22,221310.33,0.1811
75485,2,2.23,182572.22,0.1889
75487,2,1.01,170341.26,0.1878
75489,1,0.31,282898.42,0.1069
75499,4,3.0,1481054.79,0.3239
75507,5,60.0,174825.63,0.377
75509,4,0.5,135972.87,0.2881
75510,5,2.1,99508.66,0.3604
75511,5,2.02,128950.03,0.368
75520,3,3.59,77483.05,0.2475
75521,2,2.12,102587.87,0.2025
75522,3,1.5,138237.51,0.2319
75523,4,2.53,66904.44,0.2984
75524,4,0.43,95532.01,0.3118
75525,3,7.18,105347.01,0.2771
75526,5,1.12,113015.34,0.3454
75538,6,4.32,100250.03,0.3928
75539,7,0.12,155449.39,0.4343
75541,8,2.68,63927.33,0.4364
75543,6,0.11,1307871.49,0.4057
75544,8,1.29,85546.1,0.4392
75545,8,2.01,82155.68,0.4493
75549,7,10.54,80777.67,0.4134
75550,6,1.82,63269.66,0.3963
75584,9,0.75,1402535.28,0.464
75600,7,60.0,207410.34,0.4164
75642,5,3.71,110045.05,0.3688
75643,5,3.85,35976.12,0.3608
75644,4,5.32,14646.02,0.3391
75645,5,5.21,92812.92,0.3432
75733,5,1.3,91175.34,0.344
75734,4,3.89,14231.7,0.327
75735,4,0.53,135264.93,0.3386
75753,5,0.91,107671.84,0.3732
75755,4,0.23,221612.3,0.3156
76080,3,0.92,225087.7,0.2757
76086,2,4.17,168494.21,0.1878
76087,2,1.41,208046.09,0.1753
76088,2,2.62,160140.35,0.1835
76089,2,0.6,207112.17,0.1679
76090,1,0.71,195498.42,0.1304
76094,1,0.72,354453.66,0.1235
76097,1,1.59,201792.89,0.1202
76099,1,2.52,152578.14,0.1609
76100,2,1.87,207938.15,0.1863
76101,2,0.59,181368.74,0.2149
76102,3,2.96,86048.58,0.2345
76103,2,2.93,74628.14,0.1882
76104,2,3.9,135769.55,0.2242
76108,2,0.14,131529.41,0.2045
76117,3,0.41,161608.35,0.253
76124,1,0.47,151890.9,0.1621
76127,2,1.76,215254.81,0.1714
76128,1,2.59,35290.9,0.1396
76129,1,3.12,87712.19,0.1256
76130,1,0.47,29085.52,0.1251
76131,2,2.03,34172.45,0.182
76136,1,0.89,41626.99,0.1279
76137,2,3.31,95388.04,0.1696
76138,1,2.25,146798.36,0.1068
76140,1,1.06,166645.47,0.0852
76141,1,1.47,134478.74,0.0903
76143,1,0.8,152096.61,0.0858
76148,1,0.7,203980.15,0.1406
76150,2,0.37,192789.09,0.1691
76162,3,0.9,189905.55,0.2342
76163,3,3.23,137890.12,0.2616
76164,4,0.35,189146.97,0.2964
76171,3,0.41,227339.82,0.2303
76173,1,1.33,289776.24,0.158
76174,1,0.1,353728.87,0.1091
76187,1,2.77,172684.32,0.1612
76188,3,0.43,196436.29,0.2424
76189,4,1.48,106534.66,0.307
76190,4,0.01,233324.65,0.3348
76192,1,1.07,118027.87,0.1587
76194,4,3.25,54679.09,0.3036
76195,3,1.49,254980.08,0.2724
76204,2,0.67,127302.57,0.2246
76206,3,1.11,158906.79,0.239
76207,3,1.48,138957.31,0.2701
76208,3,0.15,81210.15,0.2595
76209,3,1.72,54158.25,0.2844
76210,4,1.61,75915.84,0.329
76211,4,1.1,171425.46,0.3007
76223,7,0.29,1319764.28,0.4276
76225,9,0.39,104615.57,0.462
76226,8,2.59,80815.74,0.4386
76228,8,1.48,66806.35,0.4446
76229,8,0.07,54256.02,0.4452
76237,7,5.46,46620.52,0.4225
76238,6,4.83,69083.78,0.4069
76278,7,6.0,1601438.68,0.4269
76288,6,6.0,1632772.87,0.4044
76289,5,6.0,4896827.79,0.3769
76326,5,1.35,98646.52,0.3594
76327,5,6.71,79205.27,0.3687
76328,4,5.21,87150.48,0.3376
76329,4,2.38,70351.89,0.3226
76418,4,3.73,112004.22,0.3353
76437,6,0.37,164139.75,0.4014
76764,3,1.1,259436.48,0.2394
76767,4,2.26,193510.45,0.3038
76770,2,2.09,171673.5,0.2096
76771,2,3.29,169694.42,0.2176
76772,2,1.14,183995.86,0.2043
76773,2,4.14,219050.33,0.1844
76774,1,0.43,195388.13,0.1558
76775,1,3.38,162919.21,0.1301
76776,1,1.57,206580.67,0.105
76777,1,1.55,248470.16,0.0878
76778,2,1.52,243409.57,0.195
76781,1,1.44,251058.18,0.141
76783,1,0.66,199738.89,0.1515
76784,2,1.11,158756.89,0.1698
76785,3,6.2,159935.02,0.2346
76786,2,3.2,72380.83,0.1808
76787,2,2.66,100904.44,0.208
76788,2,3.56,152881.99,0.2168
76792,2,2.2,50648.45,0.1986
76793,3,1.87,135976.92,0.2287
76797,3,1.66,132566.7,0.2424
76798,2,0.19,124887.68,0.2174
76799,2,0.4,118740.01,0.2146
76800,2,0.19,159278.53,0.2194
76807,1,0.38,248897.91,0.1555
76808,1,1.31,212117.36,0.1445
76811,1,1.0,1393530.24,0.1621
76812,1,3.46,108970.18,0.135
76814,2,1.64,106171.81,0.189
76815,2,2.61,45147.66,0.2165
76820,1,2.05,116056.47,0.1347
76823,2,0.94,148901.31,0.1769
76826,1,0.5,139993.96,0.12
76827,1,0.34,89705.3,0.1102
76839,2,0.77,144611.93,0.225
76849,4,0.87,192845.45,0.3014
76850,2,3.0,138377.69,0.2216
76851,2,2.34,120912.3,0.2163
76852,2,0.06,203196.73,0.1921
76853,2,3.15,211566.54,0.1919
76855,3,0.9,268945.4,0.2389
76856,2,0.07,336223.93,0.2239
76857,4,4.36,268097.88,0.2858
76869,4,0.46,219203.68,0.2967
76872,2,2.72,95917.17,0.2237
76873,3,0.52,58190.33,0.2714
76874,4,1.87,261057.84,0.3325
76875,3,0.04,167010.11,0.2259
76876,2,2.12,206428.56,0.1914
76877,2,2.01,100570.13,0.1935
76878,3,0.89,119048.65,0.2535
76893,4,2.11,205165.8,0.3376
76894,4,0.36,142184.2,0.3376
76900,6,0.89,96711.58,0.3962
76907,7,10.95,149523.69,0.4211
76908,6,4.97,1291187.77,0.4022
76913,7,1.6,93297.63,0.4142
76998,4,1.6,73267.69,0.3321
76999,4,0.39,65659.21,0.3334
77000,5,1.4,224704.7,0.362
77012,4,2.29,192770.2,0.3352
77013,4,3.19,63483.5,0.3105
77014,4,0.51,130716.04,0.3092
77101,6,24.0,247786.39,0.402
77102,5,48.0,137032.52,0.3746
77454,2,1.87,385990.17,0.2026
77455,2,2.53,213813.54,0.1729
77457,1,3.86,185189.35,0.1165
77458,1,1.65,185345.8,0.1037
77459,1,3.45,165413.42,0.0795
77460,1,8.12,183596.22,0.1258
77464,2,2.63,231133.94,0.189
77465,2,1.3,232090.75,0.1812
77467,1,0.38,155405.98,0.1556
77470,2,7.81,115976.1,0.2072
77471,2,3.69,79032.37,0.224
77475,3,0.54,116742.58,0.2551
77476,2,4.65,106201.27,0.2138
77477,3,2.54,58486.85,0.2355
77478,3,1.83,76826.05,0.2309
77482,2,1.3,122576.58,0.2142
77486,2,1.14,1420739.07,0.2169
77498,2,0.26,52986.45,0.2004
77499,2,0.94,27183.3,0.2026
77500,2,2.71,178090.14,0.2121
77504,2,0.37,211683.53,0.187
77505,1,2.17,119280.47,0.1586
77506,1,1.68,100590.9,0.1259
77507,1,0.96,132007.83,0.1523
77508,1,2.36,146120.29,0.0876
77510,1,1.0,117951.18,0.1243
77511,1,1.8,95619.35,0.0992
77522,1,0.02,264966.46,0.1284
77526,1,0.71,324910.82,0.1528
77527,2,0.14,290072.36,0.1902
77528,2,0.09,283137.3,0.2023
77529,2,0.97,243338.55,0.1951
77531,2,0.97,176600.32,0.2033
77533,3,2.7,106946.33,0.2294
77534,2,3.81,101492.99,0.1921
77535,2,3.91,132476.96,0.1919
77536,1,3.6,169330.82,0.1535
77537,1,2.8,209667.49,0.1532
77538,1,2.72,201619.58,0.1496
77539,1,1.6,279570.53,0.1502
77540,2,1.46,276827.9,0.1751
77541,2,1.33,261180.57,0.1936
77542,4,1.62,207487.77,0.3313
77553,4,1.9,233054.34,0.2984
77556,4,0.92,191014.05,0.3012
77557,4,3.2,171283.56,0.2871
77558,3,0.46,287830.89,0.2846
77559,2,5.26,78815.85,0.2143
77560,2,5.5,205367.6,0.2062
77561,4,0.04,173792.53,0.3093
77562,4,1.13,149470.81,0.2898
77564,4,0.68,183047.37,0.3114
77565,6,0.19,131340.71,0.3871
77573,3,5.1,1319565.51,0.2589
77574,3,1.81,110940.89,0.2447
77575,3,0.06,141152.07,0.2561
77576,4,0.65,101954.35,0.3245
77577,4,2.74,54265.27,0.3008
77578,3,0.62,98320.69,0.2684
77579,4,0.04,104548.24,0.3246
77583,5,0.16,125610.24,0.3603
77584,6,1.59,100358.35,0.4092
77591,8,5.57,1289840.21,0.4386
77596,7,0.81,66253.82,0.4139
77602,5,0.4,56150.18,0.368
77603,5,1.15,63045.32,0.3698
77662,6,6.0,1920951.46,0.3928
77682,4,2.35,37116.04,0.3301
77683,4,3.6,42696.32,0.3357
77684,5,3.33,148824.62,0.3598
77696,4,5.24,67385.38,0.307
77697,4,1.63,43665.5,0.2962
77698,4,3.54,126667.72,0.3152
77732,6,1.16,116085.38,0.3973
77785,7,6.0,1342784.98,0.4155
77786,6,180.0,44027.17,0.4065
78132,3,2.35,184242.24,0.2652
78135,1,0.29,201792.71,0.1347
78137,1,1.24,254860.06,0.1637
78140,1,1.43,221458.25,0.1147
78141,1,2.59,273049.84,0.103
78142,1,2.7,230223.3,0.0885
78143,1,4.55,166084.17,0.0792
78144,1,4.38,129527.58,0.0809
78145,1,0.68,222081.91,0.1075
78149,2,0.3,234612.04,0.17
78150,1,0.41,190870.11,0.1529
78151,1,1.61,176520.7,0.1483
78152,1,1.17,190233.27,0.1399
78154,2,0.48,133075.21,0.1871
78155,2,2.81,87192.7,0.2147
78156,4,0.18,77354.68,0.3172
78157,2,1.24,148945.37,0.2086
78158,2,2.9,139193.03,0.1658
78159,3,4.23,133029.28,0.2467
78160,3,0.27,97793.64,0.2558
78161,2,2.14,42237.34,0.2202
78162,2,2.21,46112.8,0.2092
78163,2,5.22,96143.74,0.212
78168,3,0.31,119826.99,0.2426
78171,2,2.2,161069.03,0.2104
78172,2,0.57,134259.18,0.2189
78181,1,0.6,103606.74,0.1416
78182,1,1.89,102020.84,0.1559
78183,2,2.15,36571.26,0.1865
