sc_point_gid,class,capacity,capital_adder_per_mw,cf
45325,10,0.0,0,0.0
45327,10,0.0,0,0.0
45328,10,0.0,0,0.0
45329,10,0.0,0,0.0
45330,10,0.0,0,0.0
45331,10,0.0,0,0.0
45332,10,0.0,0,0.0
45341,10,0.0,0,0.0
45342,10,0.0,0,0.0
45343,10,0.0,0,0.0
45344,10,0.0,0,0.0
45345,10,0.0,0,0.0
45346,10,0.0,0,0.0
45347,10,0.0,0,0.0
45354,10,0.0,0,0.0
45355,10,0.0,0,0.0
45357,10,0.0,0,0.0
45358,10,0.0,0,0.0
45367,10,0.0,0,0.0
45368,10,0.0,0,0.0
45998,10,0.0,0,0.0
45999,10,0.0,0,0.0
46000,10,0.0,0,0.0
46001,10,0.0,0,0.0
46002,10,0.0,0,0.0
46004,10,0.0,0,0.0
46005,10,0.0,0,0.0
46007,10,0.0,0,0.0
46008,10,0.0,0,0.0
46011,10,0.0,0,0.0
46012,10,0.0,0,0.0
46013,10,0.0,0,0.0
46014,10,0.0,0,0.0
46015,10,0.0,0,0.0
46016,10,0.0,0,0.0
46025,10,0.0,0,0.0
46026,10,0.0,0,0.0
46027,10,0.0,0,0.0
46028,10,0.0,0,0.0
46029,10,0.0,0,0.0
46030,10,0.0,0,0.0
46031,10,0.0,0,0.0
46033,10,0.0,0,0.0
46034,10,0.0,0,0.0
46038,10,0.0,0,0.0
46039,10,0.0,0,0.0
46040,10,0.0,0,0.0
46041,10,0.0,0,0.0
46042,10,0.0,0,0.0
46044,10,0.0,0,0.0
46045,10,0.0,0,0.0
46682,10,0.0,0,0.0
46683,10,0.0,0,0.0
46684,10,0.0,0,0.0
46685,10,0.0,0,0.0
46686,10,0.0,0,0.0
46687,10,0.0,0,0.0
46688,10,0.0,0,0.0
46690,10,0.0,0,0.0
46691,10,0.0,0,0.0
46692,10,0.0,0,0.0
46693,10,0.0,0,0.0
46694,10,0.0,0,0.0
46695,10,0.0,0,0.0
46696,10,0.0,0,0.0
46697,10,0.0,0,0.0
46698,10,0.0,0,0.0
46701,10,0.0,0,0.0
46704,10,0.0,0,0.0
46705,10,0.0,0,0.0
46706,10,0.0,0,0.0
46709,10,0.0,0,0.0
46710,10,0.0,0,0.0
46711,10,0.0,0,0.0
46712,10,0.0,0,0.0
46713,10,0.0,0,0.0
46714,10,0.0,0,0.0
46715,10,0.0,0,0.0
46716,10,0.0,0,0.0
46717,10,0.0,0,0.0
46722,10,0.0,0,0.0
46723,10,0.0,0,0.0
46724,10,0.0,0,0.0
46725,10,0.0,0,0.0
46726,10,0.0,0,0.0
46728,10,0.0,0,0.0
46729,10,0.0,0,0.0
46737,10,0.0,0,0.0
47366,10,0.0,0,0.0
47367,10,0.0,0,0.0
47368,10,0.0,0,0.0
47369,10,0.0,0,0.0
47370,10,0.0,0,0.0
47371,10,0.0,0,0.0
47372,10,0.0,0,0.0
47373,10,0.0,0,0.0
47374,10,0.0,0,0.0
47375,10,0.0,0,0.0
47376,10,0.0,0,0.0
47377,10,0.0,0,0.0
47378,10,0.0,0,0.0
47379,10,0.0,0,0.0
47380,10,0.0,0,0.0
47381,10,0.0,0,0.0
47382,10,0.0,0,0.0
47385,10,0.0,0,0.0
47389,10,0.0,0,0.0
47390,10,0.0,0,0.0
47391,10,0.0,0,0.0
47392,10,0.0,0,0.0
47393,10,0.0,0,0.0
47394,10,0.0,0,0.0
47395,10,0.0,0,0.0
47396,10,0.0,0,0.0
47397,10,0.0,0,0.0
47398,10,0.0,0,0.0
47399,10,0.0,0,0.0
47400,10,0.0,0,0.0
47401,10,0.0,0,0.0
47405,10,0.0,0,0.0
47406,10,0.0,0,0.0
47407,10,0.0,0,0.0
47408,10,0.0,0,0.0
47409,10,0.0,0,0.0
47410,10,0.0,0,0.0
47421,10,0.0,0,0.0
48051,10,0.0,0,0.0
48052,10,0.0,0,0.0
48053,10,0.0,0,0.0
48054,10,0.0,0,0.0
48055,10,0.0,0,0.0
48056,10,0.0,0,0.0
48057,10,0.0,0,0.0
48058,10,0.0,0,0.0
48060,10,0.0,0,0.0
48061,10,0.0,0,0.0
48062,10,0.0,0,0.0
48063,10,0.0,0,0.0
48065,10,0.0,0,0.0
48066,10,0.0,0,0.0
48073,10,0.0,0,0.0
48075,10,0.0,0,0.0
48076,10,0.0,0,0.0
48077,10,0.0,0,0.0
48078,10,0.0,0,0.0
48079,10,0.0,0,0.0
48080,10,0.0,0,0.0
48081,10,0.0,0,0.0
48082,10,0.0,0,0.0
48083,10,0.0,0,0.0
48084,10,0.0,0,0.0
48085,10,0.0,0,0.0
48086,10,0.0,0,0.0
48087,10,0.0,0,0.0
48088,10,0.0,0,0.0
48089,10,0.0,0,0.0
48090,10,0.0,0,0.0
48091,10,0.0,0,0.0
48092,10,0.0,0,0.0
48093,10,0.0,0,0.0
48094,10,0.0,0,0.0
48096,10,0.0,0,0.0
48097,10,0.0,0,0.0
48105,10,0.0,0,0.0
48106,10,0.0,0,0.0
48736,10,0.0,0,0.0
48737,10,0.0,0,0.0
48738,10,0.0,0,0.0
48739,10,0.0,0,0.0
48740,10,0.0,0,0.0
48741,10,0.0,0,0.0
48742,10,0.0,0,0.0
48743,10,0.0,0,0.0
48744,10,0.0,0,0.0
48745,10,0.0,0,0.0
48746,10,0.0,0,0.0
48747,10,0.0,0,0.0
48749,10,0.0,0,0.0
