sc_point_gid,class,capacity,capital_adder_per_mw,cf,FIPS,dist_spur_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,region,supply_curve_cost_per_mw
177,4,26.593,0.0,0.19670135,p99072,2.53378699190893,0.0,9291.374,0.0,0.0,9291.374,pr343,9291.374
178,4,8.568000000000001,0.0,0.19659238,p99072,2.9087451878031194,0.0,10666.342,0.0,0.0,10666.342,pr343,10666.342
179,4,11.214,0.0,0.19656235,p99049,7.58486305889794,0.0,27813.623,0.0,0.0,27813.623,pr196,27813.623
180,4,23.219,0.0,0.19755346,p99049,4.968747644056244,0.0,18220.352,0.0,0.0,18220.352,pr196,18220.352
181,4,28.693,0.0,0.19760661,p99049,2.8490229211200586,0.0,10447.341,0.0,0.0,10447.341,pr196,10447.341
183,4,7.007000000000001,0.0,0.19702654,p99049,4.968739930924775,0.0,18220.324,0.0,0.0,18220.324,pr196,18220.324
186,4,15.96,0.0,0.19707206,p99016,6.153978845924319,0.0,22566.584,0.0,0.0,22566.584,pr41,22566.584
187,5,44.702000000000005,0.0,0.20004319,p99027,5.952524967715201,0.0,21827.855,0.0,0.0,21827.855,pr93,21827.855
188,5,8.022,0.0,0.2000432,p99027,4.368105872459858,0.0,16017.805,0.0,0.0,16017.805,pr93,16017.805
200,4,7.875,0.0,0.19970816,p99038,7.213445633175501,0.0,26451.639,0.0,0.0,26451.639,pr120,26451.639
232,3,5.054,0.0,0.1933466,p99012,2.5305026699275577,0.0,9279.33,0.0,0.0,9279.33,pr32,9279.33
233,3,65.541,0.0,0.19425148,p99012,4.037581665814527,0.0,14805.775,0.0,0.0,14805.775,pr32,14805.775
234,3,6.37,0.0,0.1941583,p99073,7.669269643793548,0.0,28123.143,0.0,0.0,28123.143,pr352,28123.143
237,3,7.903,0.0,0.19267297,p99073,4.78448617424914,0.0,17544.668,0.0,0.0,17544.668,pr352,17544.668
240,3,20.734,0.0,0.1925078,p99073,11.705923379011509,0.0,42925.516,0.0,0.0,42925.516,pr352,42925.516
241,3,49.084,0.0,0.19294849,p99073,14.403153639851787,0.0,52816.234,0.0,0.0,52816.234,pr352,52816.234
242,3,38.626000000000005,0.0,0.19298108,p99071,9.784554416106268,0.0,35879.87,0.0,0.0,35879.87,pr335,35879.87
243,2,21.861,0.0,0.19062635,p99071,6.945882458718743,0.0,25470.488,0.0,0.0,25470.488,pr335,25470.488
244,3,13.286,0.0,0.19136123,p99071,4.02264730597122,0.0,14751.011,0.0,0.0,14751.011,pr335,14751.011
245,2,34.755,0.0,0.19024424,p99071,1.35535493146714,0.0,4970.074,0.0,0.0,4970.074,pr335,4970.074
246,3,45.717,0.0,0.19234161,p99071,1.940283739174565,0.0,7115.003,0.0,0.0,7115.003,pr335,7115.003
247,2,17.465,0.0,0.18657087,p99080,6.663593622611571,0.0,24435.338,0.0,0.0,24435.338,pr440,24435.338
250,3,36.708,0.0,0.19359472,p99080,5.831783294494136,0.0,21385.096,0.0,0.0,21385.096,pr440,21385.096
251,2,105.861,0.0,0.19045983,p99080,8.07270211900878,0.0,29602.525,0.0,0.0,29602.525,pr440,29602.525
252,3,30.128,0.0,0.19198473,p99042,1.6932123955647946,0.0,6208.9946,0.0,0.0,6208.9946,pr167,6208.9946
257,2,33.201,0.0,0.18885249,p99049,1.5438779435823948,0.0,5661.386,0.0,0.0,5661.386,pr196,5661.386
259,2,44.961,0.0,0.18913068,p99049,4.354023458667606,0.0,15966.164,0.0,0.0,15966.164,pr196,15966.164
260,2,50.246,0.0,0.18947731,p99016,1.9038334976499425,0.0,6981.34,0.0,0.0,6981.34,pr41,6981.34
262,3,86.751,0.0,0.19518115,p99016,6.352005962861518,0.0,23292.748,0.0,0.0,23292.748,pr41,23292.748
263,3,123.508,0.0,0.1952187,p99027,4.470107037999233,0.0,16391.842,0.0,0.0,16391.842,pr93,16391.842
264,3,30.338,0.0,0.19255985,p99027,1.9045290258927576,0.0,6983.8906,0.0,0.0,6983.8906,pr93,6983.8906
275,3,8.176,0.0,0.19575962,p99038,3.658720358986976,0.0,13416.494,0.0,0.0,13416.494,pr120,13416.494
278,5,7.021,0.0,0.20122813,p99038,9.597410990258036,0.0,35193.617,0.0,0.0,35193.617,pr120,35193.617
279,5,5.215,0.0,0.20265327,p99020,7.20570380318507,0.0,26423.25,0.0,0.0,26423.25,pr82,26423.25
312,2,21.021,0.0,0.18768865,p99073,7.121247053184315,0.0,26113.549,0.0,0.0,26113.549,pr352,26113.549
313,2,6.027000000000001,0.0,0.18692945,p99073,7.446760975429774,0.0,27307.205,0.0,0.0,27307.205,pr352,27307.205
322,2,14.595,0.0,0.1869451,p99071,4.086162053412547,0.0,14983.919,0.0,0.0,14983.919,pr335,14983.919
323,2,22.484,0.0,0.18657088,p99080,8.821909706408762,0.0,32349.863,0.0,0.0,32349.863,pr440,32349.863
326,2,23.597,0.0,0.18834226,p99104,7.434696829707401,0.0,27262.965,0.0,0.0,27262.965,pr1110,27262.965
327,2,22.68,0.0,0.18841426,p99104,8.195012637886453,0.0,30051.037,0.0,0.0,30051.037,pr1110,30051.037
328,2,24.948,0.0,0.18829565,p99042,2.9260394826696303,0.0,10729.76,0.0,0.0,10729.76,pr167,10729.76
329,2,5.698,0.0,0.18839327,p99042,2.7175720473351133,0.0,9965.312,0.0,0.0,9965.312,pr167,9965.312
330,2,9.429,0.0,0.18837573,p99032,3.432819756595877,0.0,12588.119,0.0,0.0,12588.119,pr102,12588.119
333,2,5.348000000000001,0.0,0.18885252,p99049,3.635115707968134,0.0,13329.937,0.0,0.0,13329.937,pr196,13329.937
335,2,5.635,0.0,0.18907271,p99049,5.458069484536062,0.0,20014.691,0.0,0.0,20014.691,pr196,20014.691
338,2,10.374,0.0,0.18971907,p99027,7.43301724954455,0.0,27256.807,0.0,0.0,27256.807,pr93,27256.807
339,3,22.554,0.0,0.19132705,p99027,4.592931358743682,0.0,16842.238,0.0,0.0,16842.238,pr93,16842.238
340,3,37.03,0.0,0.19144613,p99027,2.176685651165068,0.0,7981.886,0.0,0.0,7981.886,pr93,7981.886
341,2,9.422,0.0,0.19056092,p99027,2.1580881383523574,0.0,7913.6895,0.0,0.0,7913.6895,pr93,7913.6895
358,5,19.866,0.0,0.20093954,p99051,4.6252295266012,0.0,16960.674,0.0,0.0,16960.674,pr211,16960.674
359,4,10.36,0.0,0.19930927,p99051,4.339688681388008,0.0,15913.599,0.0,0.0,15913.599,pr211,15913.599
380,3,8.127,0.0,0.19298765,p99012,11.669317965757866,0.0,42791.28,0.0,0.0,42791.28,pr32,42791.28
382,2,5.166,0.0,0.18961339,p99012,6.388151819331743,0.0,23425.295,0.0,0.0,23425.295,pr32,23425.295
383,2,26.593,0.0,0.18650602,p99012,4.122822112985851,0.0,15118.352,0.0,0.0,15118.352,pr32,15118.352
384,1,16.583,0.0,0.18611585,p99012,3.2586724513014125,0.0,11949.522,0.0,0.0,11949.522,pr32,11949.522
385,1,9.408,0.0,0.18548484,p99012,4.529951809590672,0.0,16611.293,0.0,0.0,16611.293,pr32,16611.293
386,1,21.532000000000004,0.0,0.18495034,p99012,6.782044912084396,0.0,24869.697,0.0,0.0,24869.697,pr32,24869.697
387,1,19.544,0.0,0.18527451,p99073,10.55317456780826,0.0,38698.395,0.0,0.0,38698.395,pr352,38698.395
388,1,32.739,0.0,0.18554683,p99073,9.991890643452232,0.0,36640.17,0.0,0.0,36640.17,pr352,36640.17
389,1,18.305,0.0,0.18622816,p99013,4.7854517178299485,0.0,17548.207,0.0,0.0,17548.207,pr35,17548.207
390,2,39.494,0.0,0.18696274,p99013,3.890898686285989,0.0,14267.89,0.0,0.0,14267.89,pr35,14267.89
391,2,11.683000000000002,0.0,0.18699281,p99013,4.9287077528350185,0.0,18073.527,0.0,0.0,18073.527,pr35,18073.527
395,1,32.27,0.0,0.18629178,p99071,9.446652277412538,0.0,34640.79,0.0,0.0,34640.79,pr335,34640.79
396,1,34.678,0.0,0.18490867,p99071,7.655914460722123,0.0,28074.168,0.0,0.0,28074.168,pr335,28074.168
398,1,8.190000000000001,0.0,0.18361947,p99071,6.796497839602605,0.0,24922.695,0.0,0.0,24922.695,pr335,24922.695
404,1,10.36,0.0,0.18385917,p99104,7.797921222980648,0.0,28594.906,0.0,0.0,28594.906,pr1110,28594.906
409,1,22.281,0.0,0.18639883,p99049,6.372460111411725,0.0,23367.754,0.0,0.0,23367.754,pr196,23367.754
410,2,20.594,0.0,0.18703537,p99049,6.348767173346515,0.0,23280.871,0.0,0.0,23280.871,pr196,23280.871
412,1,26.103,0.0,0.18632014,p99049,9.489125874975151,0.0,34796.54,0.0,0.0,34796.54,pr196,34796.54
413,1,13.916,0.0,0.18632013,p99021,5.301293423942389,0.0,19439.795,0.0,0.0,19439.795,pr83,19439.795
415,1,23.079,0.0,0.18520473,p99078,4.273599381986918,0.0,15671.25,0.0,0.0,15671.25,pr400,15671.25
416,1,26.313,0.0,0.18471265,p99027,4.734166313153316,0.0,17360.145,0.0,0.0,17360.145,pr93,17360.145
417,1,15.043,0.0,0.18316077,p99066,4.009868102766028,0.0,14704.149,0.0,0.0,14704.149,pr310,14704.149
418,1,17.815,0.0,0.18287946,p99066,3.3921941315898243,0.0,12439.145,0.0,0.0,12439.145,pr310,12439.145
419,1,9.884000000000002,0.0,0.18287948,p99029,6.398973213664465,0.0,23464.977,0.0,0.0,23464.977,pr99,23464.977
