sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp,mean_resource_depth,lcoe_site_usd_per_mwh,lcoe_all_in_usd_per_mwh
37804,7,226.41,0,0.9948,199,5000,77.562195,78.53328
37805,8,65.2,0,0.9944,162,4000,77.75014,79.17365
37806,8,54.83,0,0.9944,165,4000,77.37939,79.47573
37807,8,48.82,0,0.9945,172,4000,76.50184,78.974724
37808,7,9.47,0,0.9946,176,4000,75.97319,79.15134
38488,8,111.2,0,0.9944,165,4000,77.34109,78.07379
38489,8,92.95,0,0.9945,166,4000,77.26762,78.23887
38490,8,132.53,0,0.9945,168,4000,76.9497,78.264305
38491,8,196.52,0,0.9944,165,4000,77.36879,80.32054
38492,8,38.28,0,0.9945,169,4000,76.81268,80.37617
39158,8,201.09,0,0.9945,167,4000,77.00555,86.867615
39173,8,149.57,0,0.9945,168,4000,76.92994,77.79891
39174,8,202.0,0,0.9945,167,4000,77.06878,78.16578
39175,8,100.6,0,0.9945,171,4000,76.55665,78.285805
39176,8,22.19,0,0.9945,168,4000,76.958466,80.72041
39180,8,0.11,0,0.9944,164,4000,77.4127,83.73611
39181,7,0.1,0,0.9947,187,5000,78.70181,84.71977
39182,8,0.34,0,0.9945,168,4000,76.94103,82.54848
39183,7,0.18,0,0.9947,182,5000,79.256996,85.442665
39842,8,372.8,0,0.9945,172,4000,76.45933,86.095856
39843,8,258.56,0,0.9945,170,4000,76.74693,86.284424
39857,8,189.64,0,0.9944,164,4000,77.44762,78.805145
39858,8,156.33,0,0.9945,170,4000,76.69253,77.82739
39859,8,83.91,0,0.9945,171,4000,76.63086,78.36739
39867,7,0.04,0,0.9947,178,5000,79.70433,85.75398
39868,7,0.23,0,0.9947,183,5000,79.08156,86.76993
39869,7,0.05,0,0.9948,192,5000,78.20024,89.29482
39870,7,0.19,0,0.9947,184,5000,78.9552,89.33926
39871,8,0.09,0,0.9944,162,4000,77.82065,88.20807
40525,8,38.29,0,0.9945,168,4000,76.99665,87.037476
40526,8,428.54,0,0.9945,171,4000,76.59648,86.09033
40527,8,305.62,0,0.9945,172,4000,76.39509,85.729004
40528,6,482.7,0,0.9948,213,5000,76.56501,85.88955
40539,7,61.72,0,0.9948,199,5000,77.55641,81.069626
40540,8,42.13,0,0.9944,163,4000,77.63325,79.874626
40541,8,209.71,0,0.9945,166,4000,77.16086,79.06464
40542,8,61.52,0,0.9945,166,4000,77.23539,78.76817
40543,8,69.98,0,0.9945,169,4000,76.86894,79.317154
40544,8,19.07,0,0.9944,162,4000,77.76032,81.719154
40545,7,19.66,0,0.9946,186,4000,75.03128,79.428474
40555,7,0.04,0,0.9947,184,5000,79.00683,90.210754
40556,7,0.09,0,0.9948,192,5000,78.20307,86.17945
40557,7,0.09,0,0.9947,186,5000,78.80244,86.07535
40558,8,0.22,0,0.9945,172,4000,76.46829,83.85079
41209,8,240.33,0,0.9945,166,4000,77.24789,87.134766
41210,8,429.31,0,0.9945,167,4000,77.04582,86.79536
41211,6,550.74,0,0.9948,209,5000,76.82663,86.05402
41212,6,327.82,0,0.9948,213,5000,76.51316,85.420784
41213,8,148.2,0,0.9945,171,4000,76.57623,84.93176
41214,7,212.93,0,0.9946,178,4000,75.7742,83.48062
41224,8,72.47,0,0.9944,163,4000,77.61132,79.835724
41225,8,81.14,0,0.9944,164,4000,77.4424,79.25235
41226,8,87.76,0,0.9945,170,4000,76.63677,78.00055
41227,7,149.24,0,0.9946,176,4000,76.035904,77.96062
41228,7,155.23,0,0.9946,178,4000,75.79831,78.51797
41229,7,76.53,0,0.9946,181,4000,75.5478,79.27415
41230,8,0.12,0,0.9944,164,4000,77.51278,82.29216
41231,7,1.1,0,0.9946,177,4000,75.89845,80.12231
41236,7,0.8,0,0.9947,183,5000,79.14692,85.883575
41241,7,14.85,0,0.9947,190,5000,78.416916,85.36316
41242,7,122.51,0,0.9947,188,5000,78.51051,84.86339
41243,7,169.69,0,0.9948,199,5000,77.5469,83.90706
41244,6,130.42,0,0.9948,201,5000,77.38122,83.36059
41245,7,229.11,0,0.9947,191,5000,78.23423,84.67603
41246,7,87.83,0,0.9947,184,5000,78.94195,85.64457
41893,8,152.16,0,0.9945,170,4000,76.67483,86.54216
41894,8,388.34,0,0.9945,166,4000,77.14154,86.83312
41895,6,224.52,0,0.9948,206,5000,77.030945,86.38988
41896,6,61.71,0,0.9948,211,5000,76.678635,86.024055
41897,7,14.0,0,0.9946,175,4000,76.11476,85.117294
41898,7,15.28,0,0.9947,192,4000,74.58279,82.3342
41899,7,78.28,0,0.9946,179,4000,75.738396,82.96959
41900,7,216.38,0,0.9946,185,4000,75.13672,81.62147
41906,8,111.16,0,0.9945,167,4000,77.03543,80.9383
41907,8,84.42,0,0.9945,168,4000,76.92561,78.88937
41908,8,45.15,0,0.9945,166,4000,77.24521,79.78907
41909,7,355.15,0,0.9948,196,5000,77.86249,80.42453
