sc_point_gid,class,capacity,capital_adder_per_mw,mean_resource_temp
44682,6,9.63,0,212
44683,9,10.43,0,138
44684,6,118.24,0,208
44685,6,20.03,0,200
44686,8,0.09,0,167
44687,8,0.1,0,171
44688,8,14.72,0,172
45314,8,510.62,0,173
45315,8,482.75,0,172
45316,7,219.0,0,178
45317,7,3.72,0,183
45322,7,8.95,0,185
45323,7,62.05,0,191
45325,7,258.63,0,199
45327,7,26.64,0,189
45328,7,87.7,0,192
45329,7,158.78,0,183
45330,7,272.16,0,182
45331,7,305.79,0,186
45332,7,11.95,0,179
45341,7,4.42,0,194
45342,7,118.04,0,188
45343,8,144.92,0,174
45344,7,359.48,0,185
45345,8,257.23,0,165
45346,7,490.78,0,189
45347,7,386.72,0,183
45348,7,514.95,0,180
45349,7,301.66,0,177
45350,7,429.29,0,182
45351,7,292.65,0,186
45352,7,257.63,0,180
45353,7,66.28,0,178
45354,7,50.1,0,183
45355,7,143.12,0,186
45356,7,198.92,0,182
45357,7,184.95,0,183
45358,7,57.64,0,179
45359,8,88.72,0,171
45360,8,101.85,0,175
45361,8,59.81,0,169
45362,8,36.05,0,167
45363,8,105.18,0,168
45364,7,96.34,0,177
45365,8,27.85,0,173
45366,7,2.37,0,179
45367,7,257.78,0,186
45368,8,158.4,0,173
45369,8,25.72,0,168
45370,8,14.18,0,172
45371,8,83.57,0,171
45372,8,148.06,0,173
45373,8,38.9,0,169
45374,8,48.66,0,172
45375,8,135.26,0,169
45376,8,33.54,0,170
45377,8,0.19,0,165
45998,7,482.28,0,178
45999,8,471.25,0,175
46000,7,178.72,0,176
46001,7,5.03,0,178
46002,7,21.0,0,186
46004,7,14.67,0,188
46005,7,120.46,0,179
46007,7,264.49,0,181
46008,8,192.4,0,173
46011,7,33.2,0,190
46012,7,79.77,0,188
46013,7,172.75,0,183
46014,7,406.74,0,180
46015,7,121.73,0,188
46016,8,6.57,0,165
46025,7,14.02,0,192
46026,7,156.31,0,200
46027,7,358.59,0,181
46028,7,368.01,0,187
46029,7,534.05,0,192
46030,7,471.53,0,184
46031,7,430.37,0,190
46032,7,481.12,0,177
46033,7,390.17,0,181
46034,7,352.76,0,182
46035,7,323.34,0,182
46036,8,401.31,0,175
46037,7,167.71,0,175
46038,7,302.67,0,185
46039,7,212.19,0,184
46040,7,293.51,0,186
46041,7,290.4,0,193
46042,7,250.21,0,189
46043,7,44.88,0,176
46044,7,78.59,0,183
46045,7,305.27,0,179
46046,8,105.12,0,170
46047,8,198.93,0,169
46048,8,101.96,0,175
46049,8,67.17,0,169
46050,7,64.11,0,176
46051,7,192.47,0,178
46052,7,282.16,0,175
46053,7,30.74,0,177
46054,7,77.08,0,177
46055,7,246.64,0,175
46056,7,63.17,0,178
46058,8,21.14,0,171
46059,8,295.87,0,171
46060,8,178.88,0,170
46061,8,0.01,0,165
46062,7,0.14,0,193
46063,8,36.75,0,162
46064,7,3.17,0,191
46066,7,0.04,0,193
46362,9,0.07,0,142
46682,7,512.17,0,181
46683,8,440.06,0,174
46684,7,490.45,0,183
46685,7,293.38,0,182
46686,7,164.19,0,182
46687,7,7.62,0,180
46688,7,194.56,0,190
46690,7,497.87,0,187
46691,7,383.33,0,176
46692,8,155.67,0,167
46693,8,50.88,0,166
46694,7,20.77,0,191
46695,7,22.25,0,188
46696,7,70.54,0,183
46697,7,207.33,0,183
46698,7,93.68,0,180
46699,8,30.42,0,175
46701,7,2.63,0,194
46702,8,3.04,0,169
46703,8,0.96,0,167
46704,7,0.06,0,189
46705,8,9.74,0,166
46706,8,1.67,0,162
46707,8,0.21,0,171
46708,8,1.23,0,171
46709,8,24.51,0,164
46710,7,41.01,0,186
46711,7,253.34,0,197
46712,7,197.63,0,190
46713,7,357.41,0,189
46714,7,490.53,0,186
46715,7,480.08,0,189
46716,7,350.49,0,181
46717,7,434.64,0,182
46718,7,470.72,0,178
46719,7,283.44,0,182
46720,8,276.19,0,173
46721,7,336.26,0,180
46722,7,337.18,0,186
46723,7,233.62,0,183
46724,7,233.83,0,186
46725,7,135.53,0,193
46726,7,21.72,0,184
46727,8,57.76,0,172
46728,7,114.3,0,181
46729,7,238.63,0,182
46730,7,117.12,0,176
46731,8,130.1,0,173
46732,7,138.38,0,175
46733,8,59.71,0,171
46734,7,308.17,0,175
46735,7,225.05,0,183
46736,7,120.3,0,179
46737,7,182.93,0,182
46738,7,41.64,0,176
46739,8,45.82,0,173
46741,7,8.98,0,178
46742,7,1.45,0,175
46743,8,153.35,0,169
46744,8,308.59,0,170
46745,7,0.05,0,190
46746,7,0.03,0,190
46747,7,38.41,0,190
46748,7,45.5,0,190
46752,7,0.04,0,193
46753,7,320.81,0,194
46755,8,79.3,0,173
47039,8,9.1,0,153
47040,8,52.92,0,154
47041,8,5.72,0,154
47044,9,0.0,0,141
47045,9,94.27,0,142
47046,9,202.83,0,143
47047,9,143.05,0,141
47048,9,20.84,0,140
47366,7,521.89,0,191
47367,7,557.42,0,186
47368,7,498.78,0,179
47369,7,520.27,0,177
47370,7,531.45,0,185
47371,7,509.69,0,196
47372,7,476.45,0,187
47373,8,245.35,0,172
47374,7,339.9,0,177
47375,8,265.97,0,175
47376,8,138.07,0,168
47377,7,59.48,0,196
47378,7,55.63,0,186
47379,7,62.3,0,183
47380,7,127.51,0,179
47381,7,220.04,0,181
47382,7,56.36,0,187
47383,8,9.58,0,171
47385,7,3.87,0,186
47386,8,1.7,0,170
47387,8,1.61,0,168
47388,7,2.52,0,176
47389,7,58.6,0,182
47390,7,29.51,0,184
47391,7,46.37,0,192
47392,7,30.82,0,188
47393,7,183.2,0,197
47394,7,317.06,0,189
47395,7,404.14,0,193
47396,7,311.14,0,189
47397,7,399.35,0,187
47398,7,538.05,0,183
47399,7,525.55,0,184
47400,7,436.84,0,180
47401,7,455.59,0,182
47402,7,392.16,0,175
47403,7,260.31,0,180
47404,7,291.99,0,182
47405,7,267.9,0,182
47406,7,405.53,0,192
47407,7,210.56,0,183
47408,7,289.12,0,183
47409,7,196.57,0,187
47410,7,107.69,0,180
47411,8,85.27,0,173
47412,7,146.62,0,179
47413,7,123.54,0,176
47414,8,180.36,0,174
47415,8,317.32,0,171
47416,8,61.24,0,167
47417,8,101.71,0,171
47418,8,250.64,0,171
47419,8,82.89,0,173
47420,8,8.84,0,167
47421,7,213.99,0,183
47422,8,14.9,0,170
47423,8,27.67,0,170
47424,8,0.77,0,174
47425,8,2.57,0,175
47427,8,56.98,0,164
47428,8,317.35,0,167
47429,8,64.43,0,163
47430,7,75.7,0,190
47431,7,2.61,0,189
47432,8,57.33,0,161
47433,8,1.74,0,162
47437,8,243.39,0,166
47438,8,398.56,0,169
47439,8,284.15,0,171
47440,8,490.63,0,174
47441,7,466.5,0,175
47442,8,224.33,0,170
47443,8,188.8,0,166
47444,8,148.28,0,167
47445,8,44.38,0,165
47723,8,166.72,0,151
47724,8,412.35,0,153
47725,8,71.26,0,154
47727,9,5.25,0,136
47728,9,138.81,0,141
47729,9,193.93,0,142
47730,9,137.9,0,139
47731,9,297.48,0,138
47732,9,223.76,0,140
47733,9,67.37,0,140
48051,7,526.11,0,184
48052,7,446.83,0,176
48053,7,493.81,0,177
48054,7,603.9,0,192
48055,7,565.31,0,190
48056,7,406.71,0,184
48057,8,261.07,0,175
48058,8,103.21,0,171
48060,8,86.84,0,167
48061,8,7.87,0,162
48062,7,64.15,0,187
48063,7,83.91,0,181
48064,7,185.63,0,177
48065,8,174.86,0,173
48066,8,46.3,0,164
48067,8,0.03,0,167
48073,7,43.32,0,186
48074,7,35.4,0,179
48075,7,47.7,0,187
48076,7,155.45,0,187
48077,7,131.99,0,190
48078,7,190.39,0,193
48079,7,373.88,0,186
48080,7,366.17,0,189
48081,7,455.18,0,186
48082,7,640.08,0,184
48083,7,520.93,0,180
48084,7,453.9,0,182
48085,7,346.43,0,184
48086,7,291.94,0,183
48087,7,339.87,0,185
48088,7,378.03,0,189
48089,7,280.94,0,192
48090,7,363.41,0,198
48091,7,235.59,0,184
48092,7,307.12,0,186
48093,7,239.45,0,188
48094,7,165.22,0,180
48095,7,149.01,0,176
48096,7,292.45,0,181
48097,7,231.37,0,181
48098,8,219.96,0,172
48099,8,157.01,0,169
48100,8,62.68,0,165
48101,8,181.92,0,174
48102,8,326.46,0,170
48103,8,131.21,0,170
48104,8,9.22,0,170
48105,7,166.84,0,180
48106,7,38.16,0,184
48107,7,133.16,0,176
48108,7,124.28,0,178
48109,8,109.65,0,173
48110,7,14.62,0,177
48111,8,37.38,0,165
48112,8,95.81,0,166
48113,8,85.81,0,169
48114,8,131.52,0,163
48115,7,11.88,0,186
48116,7,129.57,0,190
48117,8,0.55,0,162
48121,7,203.78,0,194
48122,8,453.51,0,166
48123,8,445.98,0,169
48124,8,560.03,0,171
48125,8,524.17,0,174
48126,8,361.31,0,170
48127,8,355.91,0,172
48128,8,297.45,0,167
48129,8,222.33,0,165
48130,8,216.02,0,165
48131,8,205.57,0,168
48132,8,120.41,0,164
48133,8,124.51,0,167
48134,8,123.33,0,167
48135,8,49.01,0,166
48407,9,303.15,0,149
48408,8,399.54,0,150
48409,9,223.79,0,137
48410,9,73.29,0,138
48411,9,240.32,0,138
48412,9,253.35,0,138
48413,9,266.8,0,139
48414,9,174.29,0,137
48415,9,254.06,0,137
48416,9,219.4,0,139
48417,9,139.33,0,141
48418,8,37.8,0,158
48736,8,258.79,0,174
48737,7,360.81,0,186
48738,7,465.46,0,192
48739,7,460.11,0,179
48740,8,379.05,0,175
48741,7,188.23,0,178
48742,8,65.43,0,171
48743,8,42.96,0,172
48744,7,64.05,0,197
48745,8,46.97,0,162
48746,7,118.63,0,193
48747,7,193.2,0,186
48748,7,292.9,0,181
48749,7,110.81,0,180
48750,7,7.39,0,186
48751,7,1.95,0,182
48752,7,7.65,0,188
48757,7,50.93,0,190
48758,7,46.26,0,183
48759,7,4.47,0,183
48760,7,97.8,0,193
48761,7,120.2,0,189
48762,7,213.49,0,189
48763,7,486.39,0,189
48764,7,489.79,0,190
48765,7,513.28,0,186
48766,7,458.18,0,184
48767,7,324.79,0,184
48768,7,341.49,0,185
48769,7,239.49,0,193
48770,7,323.13,0,193
48771,7,296.99,0,186
48772,7,339.01,0,183
48773,7,477.09,0,190
48774,7,324.77,0,186
48775,7,430.19,0,184
48776,7,445.34,0,183
48777,7,392.0,0,185
48778,7,283.78,0,180
48779,7,271.89,0,183
48780,7,357.9,0,177
48781,8,353.24,0,174
48782,8,214.92,0,170
48783,8,282.31,0,168
48784,8,237.53,0,168
48785,8,76.59,0,167
48786,8,71.97,0,171
48787,8,20.98,0,162
48788,8,4.07,0,166
48789,7,161.28,0,182
48790,7,2.47,0,186
48791,7,208.33,0,182
48792,7,118.63,0,178
48793,7,202.97,0,178
48794,8,49.65,0,174
48795,8,0.66,0,160
48796,8,2.54,0,158
48797,8,37.58,0,166
48798,8,407.9,0,168
48799,8,6.75,0,166
48800,8,14.74,0,160
48801,8,0.64,0,160
48802,8,0.02,0,166
48805,7,23.26,0,190
48806,7,625.65,0,193
48807,8,416.7,0,166
48808,8,540.1,0,169
48809,8,417.34,0,170
48810,8,340.7,0,170
48811,8,309.91,0,171
48812,8,330.72,0,166
48813,8,232.41,0,168
48814,8,340.67,0,167
48815,8,321.18,0,169
48816,8,179.08,0,165
48817,8,285.45,0,165
48818,8,388.16,0,168
48819,8,292.14,0,168
48820,8,448.29,0,169
48821,8,281.28,0,170
48822,8,254.16,0,167
48823,8,184.59,0,162
48824,8,127.85,0,163
48826,8,11.97,0,159
49090,8,41.32,0,151
49091,8,413.63,0,151
49092,8,414.06,0,151
49093,9,311.82,0,136
49094,9,318.11,0,137
49095,9,337.02,0,140
49096,9,315.68,0,139
49097,9,260.12,0,139
49098,9,255.05,0,138
49099,9,269.28,0,137
49100,9,161.32,0,139
49101,9,121.86,0,143
49102,9,53.53,0,146
49418,7,521.16,0,191
49419,7,553.07,0,185
49420,7,467.23,0,177
49421,7,431.18,0,184
49422,7,361.08,0,180
49423,8,354.4,0,172
49424,8,250.1,0,170
49425,8,131.06,0,172
49426,8,131.04,0,170
49427,8,230.31,0,168
49428,7,406.14,0,200
49429,7,84.74,0,195
49430,7,140.11,0,192
49431,7,148.64,0,180
49432,7,255.07,0,180
49433,7,148.93,0,182
49434,7,39.04,0,181
49435,8,10.91,0,170
49436,8,22.95,0,170
49437,8,8.06,0,166
49438,8,0.0,0,164
49440,8,0.08,0,162
49441,7,69.88,0,176
49442,7,72.57,0,188
49443,7,86.5,0,191
49444,7,304.22,0,178
49445,7,378.65,0,190
49446,7,403.25,0,193
49447,7,279.0,0,188
49448,7,302.91,0,186
49449,7,433.05,0,180
49450,7,301.05,0,182
49451,7,249.52,0,182
49452,7,236.68,0,186
49453,7,223.56,0,190
49454,7,208.72,0,188
49455,7,221.65,0,190
49456,7,326.37,0,194
49457,7,380.43,0,189
49458,7,522.25,0,189
49459,7,597.7,0,183
49460,7,522.68,0,183
49461,7,315.7,0,181
49462,7,230.04,0,181
49463,7,308.85,0,182
49464,7,404.77,0,178
49465,8,380.04,0,170
49466,8,234.89,0,162
49467,8,255.1,0,166
49468,8,225.41,0,164
49469,8,127.95,0,163
49470,8,53.64,0,173
49471,7,33.17,0,176
49473,8,53.01,0,173
49475,7,207.65,0,177
49476,8,171.7,0,169
49477,8,93.47,0,173
49478,8,147.27,0,173
49479,7,153.92,0,176
49480,8,2.34,0,159
49481,8,105.56,0,161
49482,8,324.57,0,166
49483,8,149.22,0,165
49484,8,122.94,0,161
49485,7,131.44,0,188
49486,7,0.12,0,190
49490,7,514.12,0,189
49491,7,741.89,0,195
49492,8,436.64,0,166
49493,8,369.55,0,168
49494,8,346.06,0,172
49495,8,193.06,0,171
49496,8,249.13,0,162
49497,8,223.36,0,166
49498,8,344.93,0,168
49499,8,297.34,0,167
49500,8,205.85,0,164
49501,8,235.38,0,165
49502,8,443.6,0,168
49503,8,420.4,0,170
49504,8,365.01,0,170
49505,8,389.52,0,167
49506,8,204.56,0,162
49507,8,279.98,0,161
49508,8,258.92,0,160
49509,8,268.23,0,160
49510,8,211.28,0,161
49511,8,266.49,0,161
49512,8,208.47,0,159
49513,8,222.97,0,159
49514,8,131.86,0,155
49515,8,123.24,0,157
49516,8,60.12,0,156
49517,8,9.06,0,156
49774,8,172.55,0,152
49775,8,426.08,0,152
49776,9,337.08,0,136
49777,9,343.09,0,139
49778,9,370.17,0,140
49779,9,268.6,0,139
49780,9,314.35,0,141
49781,9,307.27,0,139
49782,9,279.17,0,138
49783,9,250.77,0,139
49784,9,156.14,0,143
49785,9,130.86,0,145
49786,9,91.0,0,146
50103,7,531.24,0,195
50104,7,456.09,0,182
50105,7,485.95,0,188
50106,7,418.52,0,183
50107,8,313.13,0,174
50108,8,326.06,0,173
50109,8,229.9,0,169
50110,8,278.83,0,167
50111,8,406.73,0,167
50112,8,352.7,0,165
50113,7,216.31,0,196
50114,7,316.29,0,192
50115,7,351.1,0,183
50116,7,345.59,0,183
50117,7,203.89,0,185
50118,7,75.76,0,187
50119,7,10.93,0,181
50120,8,44.4,0,170
50121,7,72.94,0,176
50122,8,89.06,0,171
50123,8,18.4,0,174
50124,8,4.34,0,164
50125,8,12.16,0,169
50126,7,47.59,0,177
50127,7,182.5,0,187
50128,7,292.12,0,185
50129,7,369.25,0,190
50130,8,184.21,0,161
50131,7,327.73,0,193
50132,7,292.61,0,183
50133,7,428.57,0,188
50134,7,514.65,0,187
50135,8,128.25,0,160
50136,7,361.01,0,190
50137,7,383.54,0,189
50138,7,299.58,0,192
50139,7,422.35,0,187
50140,7,497.94,0,188
50141,8,254.36,0,162
50142,8,298.68,0,163
50143,7,450.61,0,186
50144,7,464.69,0,187
50145,7,367.05,0,184
50146,7,267.96,0,179
50147,7,349.97,0,179
50148,8,389.85,0,173
50149,8,282.93,0,168
50150,8,284.61,0,165
50151,8,368.15,0,166
50152,8,247.92,0,167
50153,8,25.75,0,171
50154,8,30.1,0,156
50155,7,168.26,0,175
50156,7,52.7,0,176
50157,8,13.66,0,172
50158,8,0.24,0,166
50159,8,178.23,0,172
50160,8,158.43,0,165
50161,8,134.18,0,174
50162,8,266.71,0,170
50163,8,208.47,0,170
50164,8,6.74,0,163
50165,8,45.68,0,162
50166,8,253.89,0,164
50167,8,237.12,0,162
50168,8,165.3,0,162
50169,8,83.34,0,163
50170,7,0.6,0,190
50171,7,2.89,0,192
50174,7,384.2,0,188
50175,8,402.29,0,162
50176,8,420.5,0,167
50177,8,492.86,0,167
50178,8,411.86,0,168
50179,8,236.09,0,170
50180,8,330.57,0,168
50181,8,252.42,0,167
50182,8,237.41,0,166
50183,8,243.84,0,166
50184,8,155.15,0,164
50185,8,258.62,0,165
50186,8,280.33,0,165
50187,8,288.52,0,173
50188,8,327.91,0,170
50189,8,323.04,0,162
50190,7,197.14,0,183
50191,8,216.33,0,157
50192,8,227.67,0,158
50193,8,204.65,0,158
50194,8,272.11,0,163
50195,8,325.02,0,163
50196,8,359.59,0,161
50197,8,349.04,0,159
50198,8,349.38,0,157
50199,7,437.51,0,179
50200,8,426.96,0,157
50201,7,543.82,0,180
50202,7,406.89,0,177
50203,8,289.32,0,167
50204,8,137.96,0,170
50205,8,30.5,0,169
50206,8,55.87,0,162
50207,8,44.32,0,161
50208,8,31.82,0,165
50458,9,257.02,0,137
50459,9,348.39,0,138
50460,9,362.22,0,139
50461,9,354.4,0,140
50462,9,363.81,0,142
50463,9,327.9,0,140
50464,9,320.3,0,141
50465,9,311.72,0,138
50466,9,257.55,0,137
50467,9,330.39,0,138
50468,9,177.72,0,143
50469,9,125.96,0,144
50470,9,118.42,0,147
50471,9,35.69,0,147
50786,7,405.28,0,193
50787,7,389.64,0,192
50788,7,397.17,0,182
50789,7,450.46,0,178
50790,7,400.72,0,179
50791,7,395.47,0,177
50792,8,230.59,0,172
50793,8,311.57,0,171
50794,8,309.78,0,165
50795,8,199.01,0,169
50796,8,203.46,0,167
50797,8,192.42,0,166
50798,7,487.09,0,189
50799,7,302.17,0,181
50800,7,15.06,0,180
50801,7,32.76,0,178
50802,7,42.83,0,188
50803,8,5.85,0,171
50804,8,45.16,0,172
50805,8,86.3,0,171
50806,7,192.06,0,178
50807,7,134.07,0,180
50808,7,40.01,0,179
50809,8,63.57,0,162
50810,8,85.57,0,171
50811,7,255.92,0,184
50812,8,181.55,0,163
50813,7,358.54,0,194
50814,7,292.76,0,189
50815,7,302.85,0,191
50816,7,478.17,0,191
50817,7,534.38,0,187
50818,7,488.15,0,187
50819,8,230.52,0,161
50820,8,188.26,0,160
50821,7,417.03,0,190
50822,7,540.44,0,186
50823,7,358.34,0,181
50824,7,550.62,0,185
50825,8,153.73,0,160
50826,7,162.39,0,187
50827,7,140.4,0,181
50828,7,262.23,0,177
50829,7,290.62,0,181
50830,7,241.72,0,179
50831,8,216.74,0,174
50832,8,287.74,0,165
50833,8,248.23,0,165
50834,8,270.82,0,166
50835,8,264.54,0,167
50836,8,133.56,0,166
50837,8,19.1,0,165
50838,8,28.82,0,158
50839,8,16.58,0,163
50840,7,118.13,0,176
50841,8,12.08,0,174
50842,8,1.69,0,174
50843,8,106.95,0,168
50844,8,165.77,0,171
50845,8,202.03,0,165
50846,8,230.86,0,165
50847,8,191.79,0,169
50848,8,152.29,0,164
50849,8,209.9,0,164
50850,8,286.63,0,166
50851,8,122.98,0,162
50852,8,69.78,0,165
50853,7,16.73,0,192
50854,8,8.27,0,164
50855,8,1.4,0,167
50857,7,3.33,0,184
50858,8,130.54,0,161
50859,8,439.39,0,163
50860,8,478.71,0,168
50861,8,490.85,0,168
50862,8,499.06,0,170
50863,8,468.35,0,170
50864,8,286.47,0,169
50865,8,271.4,0,169
50866,8,214.54,0,168
50867,8,311.9,0,169
50868,8,213.4,0,167
50869,8,189.05,0,166
50870,8,256.14,0,162
50871,8,162.17,0,161
50872,8,156.81,0,161
50873,8,163.74,0,160
50874,8,121.01,0,157
50875,8,163.22,0,157
50876,8,180.01,0,160
50877,8,188.16,0,163
50878,8,146.99,0,163
50879,8,233.18,0,161
50880,8,253.19,0,160
50881,8,216.02,0,155
50882,7,310.27,0,180
50883,7,494.54,0,177
50884,7,580.91,0,179
50885,8,400.18,0,153
50886,8,332.25,0,153
50887,8,228.38,0,170
50888,8,141.23,0,166
50889,8,183.56,0,167
