sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp,mean_resource_depth,lcoe_site_usd_per_mwh,lcoe_all_in_usd_per_mwh
136380,6,504.56,0,0.9948,201,6000,81.41613,83.38805
136381,8,191.66,0,0.9946,172,5000,80.56102,82.54811
136382,7,426.86,0,0.9947,178,5000,79.77037,81.84009
136383,7,559.46,0,0.9947,181,5000,79.33763,81.816574
136384,5,601.5,0,0.9949,234,6000,78.652336,81.16713
136385,8,142.34,0,0.9944,161,4000,77.9496,80.79454
136386,8,5.23,0,0.9945,172,4000,76.42127,79.39771
136387,7,20.48,0,0.9946,182,4000,75.43601,78.23198
136388,8,0.29,0,0.9945,172,4000,76.496445,79.4948
136389,7,85.33,0,0.9946,176,4000,75.99252,78.39423
136390,7,16.89,0,0.9946,179,4000,75.696594,77.52572
136391,7,70.24,0,0.9947,187,4000,75.02686,76.71251
136392,7,97.08,0,0.9946,184,4000,75.29251,77.19759
136393,8,9.59,0,0.9945,174,4000,76.245575,78.39148
136394,7,107.39,0,0.9946,175,4000,76.13228,78.53299
136395,8,90.53,0,0.9945,173,4000,76.39103,79.31992
136396,8,0.58,0,0.9944,165,4000,77.34166,82.08444
136397,7,216.65,0,0.9948,193,5000,78.087715,83.25637
136398,7,339.34,0,0.9947,186,5000,78.73476,83.442696
136399,6,915.08,0,0.9949,224,6000,79.36301,83.91976
136400,6,1000.82,0,0.9949,223,6000,79.45768,84.22783
136401,6,1020.39,0,0.9949,221,6000,79.64399,84.63256
136402,8,403.06,0,0.9942,151,4000,79.66501,85.03381
136403,8,410.91,0,0.9942,151,4000,79.65524,85.27886
136404,9,392.03,0,0.9942,148,4000,80.20956,85.093895
136405,6,902.87,0,0.9949,209,6000,80.63844,85.39705
136406,7,742.15,0,0.9948,199,6000,81.60408,85.80414
136407,7,755.09,0,0.9948,196,6000,82.03903,86.263405
136408,7,787.46,0,0.9948,196,6000,82.04281,86.16404
136409,7,752.42,0,0.9948,194,6000,82.17046,86.70531
136410,7,678.07,0,0.9948,186,6000,83.2423,87.986465
136411,7,644.69,0,0.9947,181,6000,83.99,89.053566
136412,7,610.74,0,0.9947,176,6000,84.69142,90.03392
136413,8,572.6,0,0.9947,174,6000,85.08237,90.71194
136414,8,341.3,0,0.9947,171,6000,85.69526,91.56085
136415,8,283.0,0,0.9946,167,6000,86.48256,92.55601
136416,8,431.39,0,0.9946,165,6000,87.02214,90.82989
136417,8,395.33,0,0.9946,163,6000,87.49494,91.19675
136418,7,331.04,0,0.9948,182,7000,89.11456,92.72915
136419,7,404.68,0,0.9947,178,7000,89.86844,93.38222
136420,8,273.06,0,0.9944,154,6000,89.97293,92.717186
136421,8,254.72,0,0.9945,156,6000,89.3569,91.893745
136422,8,215.91,0,0.9945,155,6000,89.61306,91.98572
136423,8,157.88,0,0.9944,153,6000,90.275734,92.4946
136424,7,339.37,0,0.9947,175,7000,90.48371,92.577255
136425,8,405.81,0,0.9947,175,7000,90.52254,92.67108
136426,8,177.94,0,0.9944,153,6000,90.344955,92.46538
136427,8,235.05,0,0.9944,153,6000,90.31136,92.42186
136428,8,77.03,0,0.9944,153,6000,90.10681,92.44063
136429,8,218.48,0,0.9944,153,6000,90.16836,92.837425
136430,8,358.85,0,0.9944,154,6000,90.00101,92.96548
136431,8,192.39,0,0.9945,156,6000,89.34189,92.3536
136432,8,123.74,0,0.9945,157,6000,88.86102,91.59981
136433,8,109.91,0,0.9945,158,6000,88.73109,91.531555
136434,8,146.22,0,0.9945,159,6000,88.56863,91.418076
136435,8,151.26,0,0.9945,159,6000,88.42292,91.28155
136436,8,337.06,0,0.9945,158,6000,88.72392,91.94794
136437,8,272.18,0,0.9945,157,6000,89.06657,92.36063
136438,8,291.36,0,0.9945,156,6000,89.31224,92.681046
