up_reservoir_latitude,up_reservoir_longitude,low_reservoir_latitude,low_reservoir_longitude,capacity,capital_adder_per_mw
39.79656012,-119.9723814,39.80171451,-120.0026142,1656.683134,1549990.795
36.2196047,-112.7316995,36.20917266,-112.705426,2440.090479,1602824.231
36.49586703,-108.9735183,36.52650108,-108.9900956,944.3606366,1709900.163
34.21494027,-116.9438213,34.18985381,-116.9171238,2804.181654,1748912.069
43.18275036,-109.2457924,43.16187049,-109.2537314,792.881832,1758684.654
36.19971482,-112.9249466,36.19680993,-112.8900822,1247.903289,1772071.714
39.23114312,-111.1593912,39.23272753,-111.1199357,1742.408852,1792953.576
45.07345818,-108.0264034,45.07024317,-108.0681164,1370.344524,1797027.492
45.16455383,-108.4980367,45.19915909,-108.4887187,719.446403,1819344.749
42.12186662,-121.3614577,42.13699898,-121.3470174,2042.976386,1825400.091
43.58380996,-108.7894319,43.55765256,-108.7961855,1886.675383,1831228.441
35.73649618,-113.8763929,35.71219247,-113.8873034,1295.19357,1832731.997
45.0372638,-107.9845414,45.01789699,-108.0125706,1573.925763,1836316.809
36.12221989,-112.9528846,36.12885257,-112.9711345,1100.532399,1855828.874
43.38612047,-121.6384583,43.39499234,-121.6526651,2659.371551,1858732.763
36.1730948,-113.0174231,36.17786777,-112.9918289,671.2178029,1861675.132
36.1692951,-112.9491857,36.17171431,-112.9702532,940.23453,1869492.039
43.20381416,-115.4239229,43.17501244,-115.4512864,1302.950381,1869738.918
46.20552489,-113.0326817,46.17294304,-113.0317052,1209.51585,1873384.05
35.76110407,-113.959944,35.74989011,-113.9886157,1202.985825,1874792.253
40.26059488,-111.9382616,40.25674815,-111.9875568,1065.556738,1878665.081
37.00827796,-110.8695379,36.98618883,-110.877165,1332.257883,1884416.111
40.71861691,-116.8151403,40.69017574,-116.8063131,980.7321984,1887540.519
36.24367375,-112.7288728,36.25450387,-112.7138431,904.4292247,1894873.44
42.09112493,-114.8304873,42.08424644,-114.8029127,1654.777575,1897291.988
39.32371886,-111.1362467,39.29261089,-111.1179602,1219.174649,1900684.862
35.86043776,-113.2314246,35.87454776,-113.2540893,724.0950896,1902741.039
42.05480691,-114.865235,42.04885032,-114.7906525,3226.38102,1916906.78
40.93406223,-109.0616612,40.89953107,-109.0922294,1334.040554,1918185.011
36.15283635,-113.0370954,36.15641808,-113.0782653,1188.632764,1918981.498
41.51311269,-122.1234156,41.52941782,-122.1853366,2429.29553,1919650.726
35.47738021,-113.7203158,35.47756793,-113.7604088,1693.382095,1935755.85
45.11497115,-107.9727108,45.13242138,-107.9111978,1223.812727,1944944.569
45.09858736,-107.9340087,45.10516822,-107.8998008,833.6140308,1945546.395
39.91861361,-119.8180145,39.93184092,-119.775334,2516.40358,1950678.074
36.904743,-110.440216,36.89791709,-110.4743003,1218.496359,1955374.578
38.33864093,-111.8801038,38.3581814,-111.9051097,981.2745544,1966555.984
36.15904447,-112.9523353,36.1595591,-112.9240722,733.5846934,1966661.73
41.43850277,-118.9024564,41.40203616,-118.8814301,1478.613133,1967424.482
42.06495147,-121.2945022,42.07487477,-121.2713201,1077.414979,1967936.697
41.53955643,-121.9923653,41.53385105,-122.025194,1265.338645,1968977.308
36.12732212,-113.0422284,36.12797657,-113.0659655,1197.032072,1974713.107
42.46625642,-111.8901197,42.47933973,-111.8369143,2581.177095,1976755.658
36.11965187,-113.0350138,36.12046643,-112.9972596,931.9075352,1981414.554
40.38000204,-121.2214277,40.3409729,-121.2331565,1433.221087,1987518.387
44.72157241,-116.6096891,44.68480219,-116.5819778,1380.395534,1996663.416
36.19529559,-112.7266058,36.19906933,-112.7076158,689.7366409,2003739.075
36.45196746,-109.1053871,36.49746111,-109.1194987,2415.721736,2007264.897
35.09315792,-83.31161291,35.07182867,-83.31448819,1135.145826,2011648.258
40.71808847,-116.8314921,40.71202332,-116.8711412,1160.350186,2012167.135
36.17423352,-113.0416256,36.17208777,-113.0866311,1557.932921,2012670.696
43.733068,-113.0908786,43.73159284,-113.0456614,1676.526977,2017087.563
36.23538931,-112.6390994,36.21235613,-112.6558633,600.7820068,2019098.564
40.05898256,-119.8539175,40.08940623,-119.875253,1325.091057,2025274.575
40.29924989,-120.6213102,40.32300746,-120.6105264,1643.306646,2028453.78
36.86747662,-110.4549699,36.85075994,-110.4475969,1128.469647,2028473.641
33.33722469,-106.4514592,33.30297814,-106.4416753,1210.229671,2029199.855
38.92439176,-111.3960987,38.92040282,-111.367291,843.0944171,2029589.161
34.26243878,-112.8248228,34.24851508,-112.8454501,707.4930173,2031246.607
34.20290376,-116.9539719,34.19363397,-116.9205102,848.9868884,2034853.449
40.636551,-116.6632508,40.66305739,-116.6754713,1248.426768,2044042.37
36.56855246,-110.2150232,36.59404272,-110.1829136,1010.490075,2045760.425
36.22747561,-112.7279866,36.23374842,-112.750944,639.135087,2046164.418
42.00148706,-114.8465591,41.99918743,-114.8213823,2005.228802,2050977.334
