sc_point_gid,class,capacity,capital_adder_per_mw,cf
187826,7,463.35,189761.11,0.3024
187827,7,230.56,823233.03,0.3026
187828,7,197.35,1797562.5,0.3034
187829,7,477.87,780291.11,0.3034
187830,7,366.51,1154938.6,0.3036
187831,7,155.97,3700651.78,0.3038
187844,7,291.83,1576698.52,0.2988
187845,7,530.78,1121881.41,0.2982
187846,7,530.84,979043.96,0.2975
187847,7,530.84,877089.61,0.297
187848,7,84.3,4372228.45,0.2967
187863,6,51.84,3203644.91,0.2783
187864,6,110.78,2941374.25,0.2772
187865,6,168.71,1791170.5,0.2762
187866,6,227.09,697180.68,0.275
187867,6,327.86,633859.15,0.2736
187868,6,520.57,223839.63,0.2725
187869,1,530.84,928632.18,0.2714
187870,1,530.84,804377.81,0.2699
187871,1,530.84,746219.48,0.2689
187872,1,530.84,709463.45,0.2679
187873,1,530.84,679882.69,0.2669
187874,1,530.84,631567.02,0.2661
187875,1,530.84,569694.77,0.2656
187876,1,530.84,503820.61,0.2644
187877,1,530.84,451623.06,0.2627
187878,1,530.84,403359.9,0.2604
187879,1,530.84,309598.42,0.2576
187880,1,448.29,281737.87,0.2535
187904,1,259.98,164350.11,0.2636
187905,1,530.84,96828.82,0.2661
187906,1,530.84,374552.73,0.2679
187907,6,530.84,51938.57,0.2683
187908,6,530.84,303021.68,0.269
187909,6,530.84,544204.02,0.2708
187910,6,530.84,843091.31,0.2726
187911,6,79.74,4453490.49,0.2737
188457,2,32.4,1318168.52,0.3456
188458,2,284.28,-102583.93,0.3457
188459,2,339.94,-108603.44,0.3458
188460,2,161.0,886086.92,0.3486
188461,2,285.25,47971.13,0.3493
188462,2,217.63,412990.31,0.3496
188463,2,529.48,-76804.68,0.3496
188464,2,529.64,-57871.38,0.3496
188465,2,530.84,-56160.3,0.3491
188466,2,496.66,-4849.29,0.3483
188467,2,212.28,505840.15,0.3469
188468,2,530.84,-18429.71,0.346
188469,2,530.84,-17269.52,0.3451
188470,2,530.68,-16926.55,0.344
188471,2,527.31,-10980.95,0.3436
188472,2,530.84,-7730.68,0.3425
188473,2,402.99,115812.54,0.3414
188474,2,152.8,1198323.13,0.3406
188475,2,399.49,125255.81,0.3398
188476,2,421.2,162702.33,0.3388
188477,2,64.8,1820586.97,0.3375
188478,2,501.23,122278.5,0.3369
