up_reservoir_latitude,up_reservoir_longitude,low_reservoir_latitude,low_reservoir_longitude,capacity,capital_adder_per_mw
44.96660818950264,-116.79831675694643,44.970949,-116.837102,820.9730371271168,1706983.2662181663
39.23114312395252,-111.15939116175994,39.234482912135526,-111.11888374896355,1737.6958977276547,2004904.6804151982
39.4335454780152,-117.07041250467223,39.442899484666576,-117.1150168326566,1701.19545931249,2032608.7217536864
42.29038160818522,-111.76940353696293,42.274419,-111.746388,1044.5168995732652,2040508.2018658356
39.79558994610974,-119.97168617985643,39.801906839373224,-120.00304490598604,947.735047340548,2050903.4820354232
40.63095196678624,-116.67222139498968,40.65501810777261,-116.6859222264674,1503.9944908474322,2076209.166558287
47.56805983840399,-119.484889979464,47.547633,-119.464057,1437.7340267119082,2091419.6567256905
41.53955643242986,-121.99236534150693,41.538489806462906,-122.03636273899934,1233.4054307877254,2104305.6185389906
48.01630550592062,-115.07185247543688,48.024811,-115.049804,1178.1590492106716,2126065.870683716
47.59968724757102,-119.4299206621494,47.576251,-119.42586,1138.199888485167,2131291.0257071434
43.45463375707063,-108.12925503535176,43.414157,-108.177221,1316.8918620337397,2141842.153549814
43.73304391907662,-113.08897219591604,43.71096105504444,-113.05299758048012,1279.877212968825,2151307.865515427
44.84849988153677,-116.6943020696072,44.844518737005096,-116.65101743447268,1281.958843398265,2154294.356630473
45.00431697308272,-113.98025142121712,45.014398,-113.969811,712.4006041582082,2156944.2920450517
44.102260832301184,-121.54947136378438,44.12137028012932,-121.51197278936036,2924.759433550668,2162148.9557855027
44.711195838817325,-122.2784994486516,44.719354,-122.247917,1366.1061467795837,2164056.9584983373
43.60153038355316,-117.23439171900236,43.639982,-117.238522,1608.4072895430934,2173488.2745883637
42.466256417564715,-111.8901196816404,42.49008764278409,-111.8513054998496,2250.952733579724,2173602.558529972
37.55539939581369,-107.740053586101,37.548048,-107.805617,1736.0723304421251,2193779.715940482
38.001048468069094,-107.24187283037833,37.980556,-107.289513,1025.5418985821077,2207788.5678505846
48.897262818670086,-119.70513251804688,48.910345,-119.652079,723.8576953850283,2211221.026842229
40.35871480716001,-109.15435790064087,40.38628778919776,-109.1853821090796,1458.6753013356597,2213963.1662457255
43.203814158137455,-115.423922881827,43.17501244140681,-115.45128643841834,1243.4575060086609,2223762.3317385544
32.922758296049054,-116.81727911674469,32.884047,-116.80847,968.5006330288376,2228301.1586994193
35.087852903077646,-113.90187787944502,35.094405826647744,-113.92842285428166,1229.1616718028554,2254687.1158653554
44.14022772630973,-114.01611169669,44.12936869089355,-113.98141382862232,1052.1847648172693,2263564.836734973
40.637109586431656,-117.10945360526514,40.64846377323906,-117.0633689493144,1342.0823195999385,2270401.3634897065
39.311652373191485,-111.21906543587528,39.289893,-111.272992,1649.1539985682489,2272040.840464249
43.96429241015856,-115.68080278588675,43.95325756892124,-115.63540540627938,967.8378490852654,2279442.2326779524
33.37085465796763,-116.82702686395224,33.38062403330541,-116.8023872655751,722.6591984036071,2281032.350234947
43.92597612666561,-106.83552866101708,43.92462408884236,-106.7892673317707,913.528917907182,2281369.4545234744
34.87267356917717,-113.84755593310388,34.85906016560924,-113.815405441223,976.8395127981248,2284416.0087853842
39.20327307868486,-113.71202189993852,39.174553710320325,-113.72419073392597,1164.9238619508262,2286140.4537886507
43.94164296512439,-106.84256071590944,43.94016548769894,-106.77135359149617,1615.4269546279884,2296599.652067548
38.79775637667272,-111.4369714515358,38.800033639107745,-111.37562715007246,1265.7106631473096,2296674.1021012743
42.06495146679816,-121.29450220027198,42.07487476968849,-121.27132008491624,1040.2936724091626,2299548.6002749354
44.72157240602555,-116.60968906060826,44.69139949013847,-116.55916960613575,1268.961773496718,2304950.8453489165
32.90929417446019,-106.5904901828751,32.882122892980306,-106.59755309373826,983.2579765125132,2313783.500092665
39.26451753121811,-115.45687308899758,39.2697944055282,-115.41314956318864,1648.6259307117052,2320205.9337084997
48.30664292141286,-116.33827122832496,48.302425,-116.372789,1570.2200678617244,2331689.745473497
41.648789672714415,-118.81437476794191,41.655802283787814,-118.8488291663104,711.9922293002704,2340167.599831728
35.47738020615485,-113.72031584370473,35.46006642723607,-113.76070301916668,1702.7072215399437,2345515.218849319
42.05480690623338,-114.8652350256832,42.04885031683696,-114.79065249888345,3022.0628531362454,2347323.984266359
44.873660772910334,-116.91291578720733,44.835014,-116.902154,1320.889611249177,2351731.2527829288
44.78953133333323,-116.72531493443311,44.829770832616795,-116.66588478875948,2069.5679430145487,2352669.14743502
