sc_point_gid,class,capacity,capital_adder_per_mw,cf
88102,5,530.84,630353.78,0.5296
88103,5,530.84,627950.92,0.5301
88104,5,530.84,684444.14,0.5308
88105,10,530.84,-60948.7,0.5311
88106,10,530.84,99641.45,0.5311
88107,10,530.84,105420.64,0.5309
88108,10,529.97,112283.08,0.5307
88109,10,530.84,130494.31,0.5306
88110,10,526.86,159023.97,0.53
88111,10,530.84,170372.05,0.5291
88112,10,527.02,234155.03,0.5284
88113,10,459.04,609638.02,0.5279
88114,10,67.91,4844582.79,0.5278
88772,5,36.77,2224106.07,0.5071
88777,5,308.67,492397.93,0.5178
88778,5,530.84,406144.41,0.5195
88779,5,530.84,364820.39,0.5212
88780,5,407.85,539114.45,0.5227
88781,10,358.12,88543.72,0.5236
88782,10,158.14,2080768.68,0.5247
88783,10,468.6,177913.7,0.5256
88784,10,530.84,45576.9,0.5268
88785,5,530.84,846439.09,0.5275
88786,5,530.84,712316.5,0.5279
88787,5,530.84,743839.06,0.5283
88788,10,530.84,-131837.71,0.5291
88789,10,530.84,100075.09,0.5292
88790,10,530.84,115296.44,0.5292
88791,10,528.93,126720.77,0.5293
88792,10,363.98,331508.83,0.5293
88793,10,323.03,404133.21,0.529
88794,10,530.58,184553.22,0.5283
88795,10,454.64,363971.74,0.5277
88796,10,475.37,518073.99,0.5276
88797,10,193.98,2407492.52,0.5276
89337,9,22.71,2696853.6,0.4669
89338,9,111.72,2481981.05,0.4657
89450,4,55.02,2268519.5,0.4968
89451,5,366.35,503469.94,0.5013
89452,5,144.73,1647899.71,0.5066
89453,5,63.24,2230138.09,0.5087
89454,5,104.68,2318371.74,0.5102
89455,5,418.19,513843.65,0.5107
89456,5,459.85,473115.96,0.5115
89457,5,122.73,2030048.0,0.5133
89458,5,96.75,2060224.94,0.5149
89459,5,201.24,853061.36,0.5159
89460,5,404.51,259508.73,0.5168
89461,5,530.84,320617.15,0.5178
89462,5,530.84,402090.49,0.5189
89463,5,475.83,490890.04,0.5203
89464,5,481.85,523389.0,0.5215
89465,5,530.84,751855.68,0.5226
89466,10,490.15,135605.45,0.5237
89467,10,510.4,121343.14,0.5246
89468,10,530.84,63746.94,0.5255
89469,10,530.84,-13636.11,0.5258
89470,5,530.84,778794.81,0.5262
89471,10,530.84,-17888.81,0.5266
89472,10,530.84,100948.15,0.5269
89473,10,524.52,139509.16,0.527
89474,10,348.62,353672.33,0.5277
89475,10,96.2,3262478.13,0.5284
89477,10,43.38,3378701.0,0.5277
89478,10,515.29,281119.53,0.5273
89479,10,318.3,768963.23,0.5271
89480,10,154.9,3247521.99,0.5272
89750,10,157.46,3620176.35,0.5592
90022,9,352.67,-45068.81,0.4636
90134,5,105.95,2177542.53,0.5039
90135,5,474.85,400722.52,0.5062
90136,5,423.44,421042.87,0.5086
90137,5,276.99,584596.15,0.5108
90138,5,503.53,526196.48,0.5119
90139,5,530.84,485814.43,0.5131
90140,5,530.84,468711.01,0.514
90141,5,530.84,426844.88,0.5147
90142,5,530.84,314229.4,0.5156
90143,5,530.84,217668.22,0.5163
90144,5,530.84,138377.32,0.5173
90145,5,530.84,357065.43,0.5178
90146,5,530.84,419210.52,0.5187
90147,5,427.06,570589.09,0.5197
90148,5,530.84,517760.35,0.5208
90149,5,530.84,641142.2,0.5218
90150,10,530.84,4195.37,0.5227
90151,10,530.84,67100.98,0.5236
90152,10,530.84,65407.41,0.5244
90153,10,530.84,-60427.29,0.5247
90154,10,530.84,-25165.25,0.5251
90155,10,530.84,96006.98,0.5253
90156,10,530.84,120244.35,0.5254
90157,10,191.0,1557437.28,0.5255
90162,10,260.98,963136.69,0.5265
90163,10,104.36,4557097.76,0.5266
90434,10,100.38,5480531.08,0.5787
90701,9,57.45,2765666.8,0.4571
90706,9,453.28,-141370.61,0.4617
90707,9,129.66,2137937.47,0.4595
90818,5,93.38,2405362.53,0.5062
90819,5,498.6,524867.22,0.5084
90820,5,529.19,494182.87,0.5108
90821,5,530.84,537508.24,0.5123
90822,5,530.84,540869.69,0.5134
90823,5,530.84,560103.55,0.5145
90824,5,530.84,564205.6,0.5153
90825,5,530.84,523449.17,0.5159
90826,5,530.84,453744.62,0.5163
90827,5,530.84,348043.81,0.5169
90828,5,530.84,319693.22,0.5174
90829,5,530.84,466022.43,0.518
90830,5,530.84,526371.64,0.5187
90831,5,426.77,656090.26,0.5197
90832,5,512.57,619243.8,0.5207
90833,5,369.85,744825.29,0.5212
90834,10,493.58,31449.22,0.522
90835,10,530.84,72033.68,0.5229
90836,10,530.84,74273.68,0.5235
90837,10,530.84,77501.84,0.5239
90838,10,530.84,92748.98,0.5245
90839,10,530.84,113409.24,0.5247
90840,10,530.84,132884.06,0.5247
90841,10,353.52,383268.17,0.5246
91118,10,279.32,2039410.21,0.5908
91385,9,131.9,2235241.73,0.4561
91386,9,262.05,111706.18,0.4579
91387,9,248.67,147908.64,0.4619
91388,9,334.11,36202.93,0.4636
91389,9,467.24,-159208.54,0.463
91390,9,525.07,-243546.69,0.4607
91391,9,342.63,-49513.32,0.4581
91500,4,16.49,3425877.97,0.4976
91502,5,85.63,3673005.66,0.5077
91503,5,356.76,1420742.14,0.5094
91504,5,509.3,630955.44,0.5116
91505,5,451.49,691953.01,0.5127
91506,5,298.53,758295.98,0.5138
91507,5,513.31,652641.3,0.5152
91508,5,530.84,602008.06,0.516
91509,5,530.84,573172.37,0.5163
91510,5,530.84,523685.49,0.5169
91511,5,530.84,490392.13,0.5173
91512,5,530.84,536090.04,0.5176
91513,5,491.38,680782.75,0.5181
91514,5,311.91,821158.52,0.5189
91515,5,131.54,2360737.88,0.5197
91516,5,23.43,2729048.8,0.5203
91518,10,314.25,305535.97,0.5216
91519,10,530.84,81196.55,0.5222
91520,10,530.84,85114.73,0.523
91521,10,530.84,93440.92,0.5233
91522,10,530.84,107082.07,0.5237
91523,10,530.84,124835.6,0.5238
91524,10,530.84,166216.17,0.524
91525,10,484.9,323909.59,0.5239
91526,10,33.37,3585250.54,0.524
91802,10,54.11,5774868.22,0.5974
91803,10,38.36,5753587.09,0.6001
92070,9,479.65,-61330.86,0.4566
92071,9,530.84,-145376.17,0.4596
92072,9,530.84,-140215.42,0.4614
92073,9,530.84,-238420.65,0.4607
92074,9,530.84,-252840.02,0.4584
92075,9,481.43,-188093.39,0.4557
92117,4,94.93,1367367.73,0.4401
92118,4,305.4,215205.54,0.4396
92119,4,250.23,234496.47,0.438
92182,4,16.49,3087654.88,0.4822
92184,5,33.89,3715071.58,0.5019
92185,5,254.7,1608336.84,0.505
92186,5,38.33,3860814.37,0.507
92187,5,86.31,3913095.44,0.5103
92188,5,303.36,1562604.61,0.5118
92189,5,223.33,1166327.41,0.5124
92191,10,386.27,-24100.81,0.5153
92192,5,530.84,714460.41,0.516
92193,5,530.84,694330.11,0.5165
92194,5,473.59,697661.88,0.5171
92195,5,271.38,794162.77,0.5173
92196,5,131.22,2290606.82,0.5176
92201,10,47.5,3169378.22,0.5208
92202,10,291.37,356976.52,0.5212
92203,10,530.84,91791.04,0.5218
92204,10,530.84,102465.6,0.5226
92205,10,530.84,112004.57,0.5229
92206,10,530.84,127158.37,0.5231
92207,10,519.47,195571.6,0.5236
92208,10,313.63,474772.17,0.5237
92209,10,444.98,485276.15,0.5237
92210,10,27.44,4696578.82,0.5233
92754,9,267.36,141919.28,0.4549
92755,9,530.84,-112661.91,0.4573
92756,9,530.84,-81076.59,0.4591
92757,9,530.84,-178912.66,0.4584
92758,9,530.84,-203414.41,0.4565
92759,9,526.92,-241814.47,0.4535
92798,4,29.48,1405982.49,0.4401
92799,4,215.17,300171.12,0.4399
92800,4,409.15,-113360.3,0.4396
92801,4,459.72,-139777.04,0.4386
92802,4,175.48,666534.1,0.438
92867,4,76.5,3648620.85,0.4971
92868,5,23.59,3733963.24,0.5
92873,10,192.59,2476264.51,0.5125
92874,10,401.95,1315526.67,0.5136
92875,10,442.0,159960.5,0.5147
92876,10,291.31,270036.88,0.5155
92877,10,179.17,1619292.94,0.5163
92878,10,193.95,1356725.04,0.5166
92879,10,61.59,3116190.43,0.5171
92882,10,76.76,3159963.42,0.5189
92883,10,240.83,543841.87,0.5192
92884,10,407.33,230143.86,0.5199
92885,10,525.53,86074.63,0.5204
92886,10,530.84,87057.55,0.5209
92887,10,530.84,104916.56,0.5216
92888,10,530.84,132128.02,0.5223
92889,10,530.84,148733.64,0.5226
92890,10,530.84,178122.56,0.5224
92891,10,525.27,237397.33,0.5228
92892,10,306.54,768653.97,0.5228
92893,10,158.5,2993330.13,0.5231
93438,9,210.24,887647.84,0.4531
93439,9,530.84,-97636.0,0.4547
93440,9,530.84,-75647.25,0.4566
93441,9,530.84,-167430.9,0.4563
93442,9,530.84,-190621.19,0.4548
93443,9,530.84,-246635.5,0.4519
93444,9,18.89,2652780.89,0.4505
93481,4,127.56,1153201.77,0.4393
93482,4,491.8,-136362.84,0.4392
93483,4,507.29,-153801.34,0.4377
93484,4,238.66,79453.76,0.4374
93550,4,141.49,2925651.82,0.4927
93551,4,493.39,1292415.23,0.4962
93552,5,119.98,3471144.12,0.499
93554,10,47.6,4761666.37,0.5078
93558,10,38.88,4805197.41,0.5132
93559,10,153.93,3635166.38,0.5139
93560,10,265.42,341280.73,0.5146
93561,10,221.32,884247.29,0.5155
93562,10,105.79,3028235.19,0.5162
93563,10,112.01,2937185.16,0.5168
93564,10,280.36,354897.92,0.5174
93565,10,443.88,207139.17,0.5179
93566,10,530.71,74516.28,0.5184
93567,10,530.84,72823.97,0.5189
93568,10,530.84,76099.67,0.5195
93569,10,530.84,83780.31,0.52
93570,10,530.84,98500.66,0.5207
93571,10,530.84,120600.42,0.5211
93572,10,380.21,365937.56,0.5215
93573,10,520.99,252867.75,0.5218
93574,10,355.95,597080.83,0.5219
93575,10,215.36,1599561.32,0.522
93576,10,68.72,4517163.42,0.5219
94122,9,245.33,256235.78,0.4494
94123,9,530.84,-104641.04,0.4515
94124,9,530.84,-81268.56,0.4537
94125,9,530.84,-393880.96,0.4541
94126,9,530.84,-413146.32,0.4527
94127,9,517.1,-446845.87,0.4498
94164,4,146.19,1011601.25,0.4369
94165,4,509.39,-136121.54,0.4373
94166,4,370.85,-77740.13,0.4365
94167,4,63.08,1399853.26,0.4358
94233,4,200.36,2142644.19,0.4894
94234,4,520.96,1240626.88,0.4931
94235,4,530.84,1337418.35,0.4974
94236,10,247.02,1234348.83,0.5003
94238,10,17.92,4766556.24,0.5076
94239,10,17.5,4768638.06,0.5081
94244,10,86.54,4885409.93,0.5141
94245,10,385.01,263224.85,0.5146
94246,10,517.88,111393.37,0.5155
94247,10,530.84,79939.51,0.5162
94248,10,530.84,84788.49,0.5167
94249,10,530.84,90618.5,0.5171
94250,10,530.84,92876.21,0.5175
94251,10,530.84,94181.95,0.5181
94252,10,530.84,97296.93,0.5188
94253,10,530.84,101379.67,0.5193
94254,10,521.48,137230.82,0.5199
94255,10,436.82,282780.69,0.5204
94256,10,352.41,477955.76,0.5203
94257,10,223.56,1510340.96,0.5208
94258,10,83.24,4497938.77,0.521
94806,9,230.1,514451.93,0.4467
94807,9,530.84,-117359.32,0.4488
