sc_point_gid,class,capacity,capital_adder_per_mw,cf,FIPS,dist_spur_km,dist_reinforcement_km,cost_spur_usd_per_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_total_trans_usd_per_mw,region,supply_curve_cost_per_mw
95,5,9.8091,0.0,0.409014,p99083,5.2062667366535,0.0,19091.332,0.0,0.0,19091.332,pr451,19091.332
96,1,8.452200000000001,0.0,0.28293148,p99083,3.5307495646561344,0.0,12947.227,0.0,0.0,12947.227,pr451,12947.227
97,1,12.1281,0.0,0.29039708,p99093,9.345337218417413,0.0,34269.266,0.0,0.0,34269.266,pr956,34269.266
98,2,20.1474,0.0,0.3372697,p99093,7.121372833051064,0.0,26114.01,0.0,0.0,26114.01,pr956,26114.01
101,4,17.425200000000004,0.0,0.37105915,p99031,3.8752861052450207,0.0,14210.639,0.0,0.0,14210.639,pr101,14210.639
102,4,7.038,0.0,0.39633244,p99031,6.590739554084783,0.0,24168.182,0.0,0.0,24168.182,pr101,24168.182
109,2,7.8648,0.0,0.3470763,p99054,5.743061206674448,0.0,21059.754,0.0,0.0,21059.754,pr232,21059.754
110,4,11.1264,0.0,0.40630844,p99054,8.991840700772736,0.0,32972.996,0.0,0.0,32972.996,pr232,32972.996
116,8,9.2784,0.0,0.482079,p99057,3.573271775389959,0.0,13103.155,0.0,0.0,13103.155,pr266,13103.155
119,10,9.9177,0.0,0.55241513,p99074,6.983123948207683,0.0,25607.053,0.0,0.0,25607.053,pr353,25607.053
120,8,12.1896,0.0,0.48211125,p99074,1.1689594411427853,0.0,4286.5635,0.0,0.0,4286.5635,pr353,4286.5635
121,1,10.3023,0.0,0.29484287,p99059,2.4586570484464625,0.0,9015.873,0.0,0.0,9015.873,pr275,9015.873
122,6,19.6443,0.0,0.42213213,p99083,8.295592337788758,0.0,30419.861,0.0,0.0,30419.861,pr451,30419.861
123,1,19.1703,0.0,0.31152633,p99083,7.360138144405599,0.0,26989.559,0.0,0.0,26989.559,pr451,26989.559
124,1,23.1531,0.0,0.2767785,p99009,7.046542927702906,0.0,25839.61,0.0,0.0,25839.61,pr21,25839.61
125,2,35.1906,0.0,0.3401095,p99056,4.454900699753554,0.0,16336.08,0.0,0.0,16336.08,pr234,16336.08
126,4,19.0347,0.0,0.39912176,p99055,9.187901292047808,0.0,33691.95,0.0,0.0,33691.95,pr233,33691.95
136,2,21.3828,0.0,0.33925647,p99037,2.885640398499847,0.0,10581.617,0.0,0.0,10581.617,pr116,10581.617
137,5,19.5504,0.0,0.41728306,p99037,6.180152124778919,0.0,22662.56,0.0,0.0,22662.56,pr116,22662.56
138,10,12.8874,0.0,0.516074,p99043,4.262536958419152,0.0,15630.685,0.0,0.0,15630.685,pr169,15630.685
144,6,8.689800000000002,0.0,0.4266545,p99099,2.497966822309705,0.0,9160.021,0.0,0.0,9160.021,pr1079,9160.021
145,7,11.9712,0.0,0.4671343,p99052,3.397132091049947,0.0,12457.252,0.0,0.0,12457.252,pr213,12457.252
146,8,12.8958,0.0,0.47971874,p99065,10.313195523312537,0.0,37818.395,0.0,0.0,37818.395,pr296,37818.395
147,10,23.8113,0.0,0.5716257,p99074,8.38235862274733,0.0,30738.033,0.0,0.0,30738.033,pr353,30738.033
148,7,8.8557,0.0,0.46902356,p99005,6.277419127964731,0.0,23019.238,0.0,0.0,23019.238,pr10,23019.238
149,6,10.8126,0.0,0.4270294,p99005,2.0391952072718644,0.0,7477.7104,0.0,0.0,7477.7104,pr10,7477.7104
150,9,8.4261,0.0,0.5052896,p99005,10.094604060743992,0.0,37016.82,0.0,0.0,37016.82,pr10,37016.82
151,1,11.9217,0.0,0.3241509,p99070,11.587317965837416,0.0,42490.59,0.0,0.0,42490.59,pr334,42490.59
