source_id,source_kind,tech,region,capacity_mw,start_year,energy_mwh
42b82c0a-fce6-4260-8aa7-13dd6260f9fd,network_ThermalStandard,coaloldscr,pr321,260.00000000000006,2009,
1db4c121-7390-43d8-b655-7cec5e20dbae,network_ThermalStandard,o-g-s,pr63,27.0,2009,
af5f6809-d457-4673-ab86-34cf8756e66a,network_ThermalStandard,o-g-s,pr88,142.3,2009,
7232b367-6436-43c0-926a-366d5e53e02f,network_ThermalStandard,o-g-s,pr319,162.7,2009,
fb5a3ccd-b908-4991-ba98-06a43a788110,network_ThermalStandard,o-g-s,pr63,21.0,2009,
6764fb01-7366-499f-b226-7b41a6113c09,network_ThermalStandard,o-g-s,pr18,1.6,2009,
440ad2d7-52be-4667-a6f9-048ec821b31d,network_ThermalStandard,o-g-s,pr63,27.0,2009,
751096b1-b22a-433d-ad93-a92fedc539f1,network_ThermalStandard,o-g-s,pr88,57.7,2009,
09679b05-f148-46bc-9475-c1af8630dad7,network_ThermalStandard,o-g-s,pr88,68.0,2009,
d88b59b3-9bd2-43fc-99bc-898349cf6ec1,network_ThermalStandard,o-g-s,pr5,21.0,2009,
68286b03-e64f-419f-8323-ed3747ab945c,network_ThermalStandard,o-g-s,pr29,50.0,2009,
df4b8c7c-4efb-4303-8543-962e182bc7c0,network_ThermalStandard,o-g-s,pr63,21.0,2009,
529b437f-c4b8-464a-83ca-afebf598d1e3,network_ThermalStandard,o-g-s,pr440,82.5,2009,
502fb4c2-85c9-418e-a05b-61e3edec0759,network_ThermalStandard,o-g-s,pr96,410.0,2009,
6661b925-d433-43bc-afe4-5e7b6049fe17,network_ThermalStandard,o-g-s,pr29,60.5,2009,
d9553dc2-ede7-425a-840f-15eb363cfaed,network_ThermalStandard,o-g-s,pr101,21.0,2009,
8595fd90-6aaa-452d-9abe-eeba92ddda2c,network_ThermalStandard,o-g-s,pr29,60.5,2009,
901600aa-0fd5-424f-854f-f936db9ee696,network_ThermalStandard,o-g-s,pr96,410.0,2009,
abff6ccf-9a21-4e34-a62c-94898b567951,network_ThermalStandard,o-g-s,pr63,21.0,2009,
2cc7523c-8692-4e7d-b5ac-e5348bb6f572,network_ThermalStandard,o-g-s,pr8,21.0,2009,
33cf268c-d7cf-4386-aebf-e13a0bcfc74e,network_ThermalStandard,o-g-s,pr106,50.0,2009,
6f345e87-1b79-4ebc-b9e7-60c0de23b805,network_ThermalStandard,o-g-s,pr63,27.0,2009,
009dcb1e-5d0d-4a52-9487-ed1c1f3ac2ee,network_ThermalStandard,o-g-s,pr29,60.5,2009,
59a099af-52cb-4b4e-b40d-1fc85ce9885b,network_ThermalStandard,o-g-s,pr319,181.5,2009,
af7da546-0baa-438e-96f1-7d09fcc1fdd8,network_ThermalStandard,o-g-s,pr106,450.0,2009,
d76088cb-2877-4d8f-bd4d-a71e49f3ef95,network_ThermalStandard,o-g-s,pr88,142.3,2009,
4ad23632-da06-4ee7-9a47-31f4feaf953d,network_ThermalStandard,o-g-s,pr440,82.5,2009,
4f83c4fc-5da4-4de3-954a-27806f17354e,network_ThermalStandard,o-g-s,pr319,162.7,2009,
cbee1d7e-8a9c-4f96-9491-efe43c1d7719,network_HydroDispatch,hydED,pr169,20.0,2009,
PR100_DPV_2022_pr2,pr100_distributed_pv_2022,dupv,pr2,10.858064023870588,2009,
PR100_DPV_2022_pr3,pr100_distributed_pv_2022,dupv,pr3,11.688715213588235,2009,
PR100_DPV_2022_pr5,pr100_distributed_pv_2022,dupv,pr5,0.4900384615384619,2009,
PR100_DPV_2022_pr8,pr100_distributed_pv_2022,dupv,pr8,11.864850443754545,2009,
PR100_DPV_2022_pr10,pr100_distributed_pv_2022,dupv,pr10,13.166463569833333,2009,
PR100_DPV_2022_pr14,pr100_distributed_pv_2022,dupv,pr14,11.270884615384617,2009,
PR100_DPV_2022_pr18,pr100_distributed_pv_2022,dupv,pr18,9.443,2009,
PR100_DPV_2022_pr21,pr100_distributed_pv_2022,dupv,pr21,41.67981549141936,2009,
