region,year,capacity_mw,source_scenario,mapping_method
pr2,2022,10.858064023870588,PR100 1LM,municipality_active_standard_load_share
pr3,2022,11.688715213588237,PR100 1LM,municipality_active_standard_load_share
pr5,2022,0.4900384615384619,PR100 1LM,municipality_active_standard_load_share
pr8,2022,11.864850443754545,PR100 1LM,municipality_active_standard_load_share
pr10,2022,13.166463569833331,PR100 1LM,municipality_active_standard_load_share
pr14,2022,11.270884615384617,PR100 1LM,municipality_active_standard_load_share
pr16,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr18,2022,9.443,PR100 1LM,municipality_active_standard_load_share
pr21,2022,41.67981549141936,PR100 1LM,municipality_active_standard_load_share
pr23,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr29,2022,7.082047071486955,PR100 1LM,municipality_active_standard_load_share
pr32,2022,11.649598962375,PR100 1LM,municipality_active_standard_load_share
pr35,2022,10.585734516125001,PR100 1LM,municipality_active_standard_load_share
pr38,2022,4.39276045303125,PR100 1LM,municipality_active_standard_load_share
pr40,2022,4.63693750040625,PR100 1LM,municipality_active_standard_load_share
pr41,2022,14.056021478,PR100 1LM,municipality_active_standard_load_share
pr45,2022,15.50146666537778,PR100 1LM,municipality_active_standard_load_share
pr50,2022,9.475927497467744,PR100 1LM,municipality_active_standard_load_share
pr63,2022,2.79977254928366,PR100 1LM,municipality_active_standard_load_share
pr82,2022,14.123442001250895,PR100 1LM,municipality_active_standard_load_share
pr83,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr84,2022,19.387822628540324,PR100 1LM,municipality_active_standard_load_share
pr85,2022,11.853997917217743,PR100 1LM,municipality_active_standard_load_share
pr86,2022,8.122223569258066,PR100 1LM,municipality_active_standard_load_share
pr87,2022,31.13519034882258,PR100 1LM,municipality_active_standard_load_share
pr88,2022,2.707407856419356,PR100 1LM,municipality_active_standard_load_share
pr93,2022,24.87517648117647,PR100 1LM,municipality_active_standard_load_share
pr96,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr99,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr100,2022,13.073107158375,PR100 1LM,municipality_active_standard_load_share
pr101,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr102,2022,1.8948919517408087,PR100 1LM,municipality_active_standard_load_share
pr103,2022,3.7705532947058824,PR100 1LM,municipality_active_standard_load_share
pr106,2022,2.6378726946000004,PR100 1LM,municipality_active_standard_load_share
pr107,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr111,2022,0.5345333332888887,PR100 1LM,municipality_active_standard_load_share
pr116,2022,8.057648943373913,PR100 1LM,municipality_active_standard_load_share
pr120,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr127,2022,0.676851964104839,PR100 1LM,municipality_active_standard_load_share
pr149,2022,0.450757312,PR100 1LM,municipality_active_standard_load_share
pr153,2022,11.547612323058823,PR100 1LM,municipality_active_standard_load_share
pr167,2022,0.35668750003125,PR100 1LM,municipality_active_standard_load_share
pr169,2022,12.544596449,PR100 1LM,municipality_active_standard_load_share
pr175,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr177,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr184,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr185,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr190,2022,0.5345333332888887,PR100 1LM,municipality_active_standard_load_share
pr196,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr204,2022,0.0,PR100 1LM,municipality_active_standard_load_share
pr211,2022,3.9381672655555557,PR100 1LM,municipality_active_standard_load_share
pr213,2022,8.6287755725,PR100 1LM,municipality_active_standard_load_share
pr231,2022,1.4509432753043479,PR100 1LM,municipality_active_standard_load_share
pr232,2022,0.0,PR100 1LM,municipality_active_standard_load_share
