municipality_key,year,pv_mw,storage_mw,storage_mwh
adjuntas,2022,0.0,0.214958657,0.8598346259999999
adjuntas,2025,1.5888526539999999,0.6164000000000001,2.465599999
adjuntas,2028,2.029294814,0.696196172,2.784784685
adjuntas,2030,2.28880937,0.783304719,3.133218872
adjuntas,2035,2.7468453009999996,1.0920501384999999,4.368200555
adjuntas,2040,3.253972601,1.5869809149999998,6.347923659999999
adjuntas,2045,4.862507219499999,2.1612161015,8.6448644055
adjuntas,2050,6.171503046,2.623543721,10.494174889
aguada,2022,0.0,1.1566175,4.626469999999999
aguada,2025,4.999738688,1.9164690575,7.665876229499999
aguada,2028,6.385704658,2.148202059,8.592808235
aguada,2030,7.202334794,2.3732671,9.493068397
aguada,2035,8.643664145999999,3.198519503,12.7940780135
aguada,2040,10.239472276,4.590822924,18.363291698
aguada,2045,15.301145389,6.227319882,24.90927953
aguada,2050,19.420241684,7.549770151,30.199080607
aguadilla,2022,16.944871218,2.128516323,8.514065293
aguadilla,2025,17.793160600999997,4.443644663500001,17.774578650000002
aguadilla,2028,20.229362584,5.113993159,20.455972641000002
aguadilla,2030,21.664806165999998,6.007927914,24.031711659
aguadilla,2035,24.1983239495,9.016340024,36.065360091
aguadilla,2040,27.00337906,13.435679853,53.74271941799999
aguadilla,2045,35.900609114999995,18.440525537,73.762102158
aguadilla,2050,43.141010967,22.441687942,89.766751768
aguas buenas,2022,0.901514624,0.629594655,2.5183786180000003
aguas buenas,2025,2.9248854425,1.119208253,4.4768330135
aguas buenas,2028,3.7356861570000004,1.2531532939999999,5.012613173
aguas buenas,2030,4.213421041,1.3807141139999999,5.522856455
aguas buenas,2035,5.0566097575,1.851251407,7.405005627
aguas buenas,2040,5.990169740000001,2.6519422610000003,10.607769047000001
aguas buenas,2045,8.951287296,3.595039823,14.3801592985
aguas buenas,2050,11.360990196,4.357605758,17.430423038
aibonito,2022,1.6933599570000002,0.600844999,2.4033800000000003
aibonito,2025,3.6152099745,1.4523726154999999,5.8094904665
aibonito,2028,4.61737395,1.675553783,6.702215138
aibonito,2030,5.207862692,1.979148384,7.916593539
aibonito,2035,6.2500588100000005,2.996027158,11.9841086325
aibonito,2040,7.403955409,4.477007277999999,17.908029114
aibonito,2045,11.063948911,6.1499480735,24.5997922945
aibonito,2050,14.042384176999999,7.48638732,29.945549272
anasco,2022,0.0,0.908665001,3.63466
anasco,2025,4.513574483499999,1.8006274385,7.202509754499999
anasco,2028,5.764772001,2.068702709,8.274810834
anasco,2030,6.5019947170000005,2.4209826530000003,9.683930603
anasco,2035,7.803172196,3.6107391079999998,14.4429564325
anasco,2040,9.243807258,5.369651489,21.478605954
anasco,2045,13.813293789,7.365302636,29.461210546500002
anasco,2050,17.531857721,8.961618492,35.846473967
arecibo,2022,11.414000001,4.220435,16.881739995
arecibo,2025,17.703175033999997,7.0733651915,28.293460761
arecibo,2028,22.610631138,8.133939083,32.535756343
arecibo,2030,25.502171499,9.538768057,38.155072235
arecibo,2035,30.605659385499997,14.274186347499999,57.096745383999995
arecibo,2040,36.256128818,21.250826327,85.003305301
arecibo,2045,54.178602491999996,29.158530184500002,116.63412072599999
arecibo,2050,68.763581315,35.482002465,141.928009909
arroyo,2022,0.0,1.156069999,4.624280000000001
arroyo,2025,2.7530071009999997,1.418591943,5.6743677715
arroyo,2028,3.516161818,1.5426294189999998,6.170517672
arroyo,2030,3.96582303,1.687667535,6.75067014
arroyo,2035,4.759462495,2.1922294835000002,8.768917934
arroyo,2040,5.638162641999999,2.977103132,11.908412526
arroyo,2045,8.425272705,3.8804546105,15.52181844
arroyo,2050,10.693371514999999,4.6060766300000004,18.424306520000002
barceloneta,2022,0.0,1.406871083,5.62748433
barceloneta,2025,5.9752907785,2.7252917315000005,10.901166927
barceloneta,2028,7.631687284,3.1123578089999997,12.449431234999999
barceloneta,2030,8.607658794,3.6850407789999995,14.740163114
barceloneta,2035,10.330221215000002,5.566668117,22.266672466
barceloneta,2040,12.237404411,8.209595487,32.838381954
barceloneta,2045,18.286714296,11.162469849,44.649879392
barceloneta,2050,23.209531208,13.513649769999999,54.054599083
barranquitas,2022,0.9862844449999999,0.5197,2.0788
barranquitas,2025,5.4651041739999995,1.1630773625000002,4.652309450000001
barranquitas,2028,5.889857815,1.30693393,5.227735719
barranquitas,2030,6.638929856,1.452531695,5.8101267839999995
barranquitas,2035,8.1793133005,1.979876279,7.9195051175
barranquitas,2040,8.760450809000002,2.8536834069999997,11.414733627
barranquitas,2045,10.448734984,3.8761554435,15.504621777999999
barranquitas,2050,11.740151666000001,4.701366220000001,18.805464879
bayamon,2022,24.053999998000002,12.097002498,48.388010005
bayamon,2025,39.6432352585,16.5067872925,66.02714917
bayamon,2028,50.632644602,18.570877195,74.28350876900001
bayamon,2030,57.107755132,21.01465718,84.058628708
bayamon,2035,68.536144113,29.4882917315,117.953166934
bayamon,2040,81.189404834,42.598006510999994,170.39202604399998
bayamon,2045,121.32372194,57.6642515885,230.6570063635
bayamon,2050,153.984289577,69.76107763,279.044310423
cabo rojo,2022,7.049262689,3.280483863,13.121935449
cabo rojo,2025,8.453562228,3.8372360015,15.348944009
cabo rojo,2028,10.741859194,4.18935819,16.757432765
cabo rojo,2030,12.090155107,4.536844349,18.147377397
