municipality,municipality_key,region,weight,weight_method,active_load_capacity_mw,mapped_bus_count
Guánica,guanica,pr23,0.5,active_standard_load_capacity,5.39499724,1
Guayama,guayama,pr321,0.045454545454545456,active_standard_load_capacity,1.84132789,3
Guayama,guayama,pr8,0.9545454545454545,active_standard_load_capacity,38.66788569,40
Guayanilla,guayanilla,pr2,0.8,active_standard_load_capacity,9.551042728,10
Guayanilla,guayanilla,pr96,0.2,active_standard_load_capacity,2.387760682,2
Guaynabo,guaynabo,pr1040,0.034482758620689655,active_standard_load_capacity,4.96737684137931,1
Guaynabo,guaynabo,pr21,0.0,active_standard_load_capacity,0.0,2
Guaynabo,guaynabo,pr45,0.10344827586206898,active_standard_load_capacity,14.902130524137931,4
Guaynabo,guaynabo,pr50,0.20689655172413793,active_standard_load_capacity,29.80426104827586,7
Guaynabo,guaynabo,pr545,0.06896551724137931,active_standard_load_capacity,9.93475368275862,1
Guaynabo,guaynabo,pr87,0.5862068965517241,active_standard_load_capacity,84.44540630344827,24
Guaynabo,guaynabo,pr88,0.0,active_standard_load_capacity,0.0,3
Gurabo,gurabo,pr21,0.5,active_standard_load_capacity,17.06791432,4
Gurabo,gurabo,pr234,0.5,active_standard_load_capacity,17.06791432,4
Hatillo,hatillo,pr335,1.0,active_standard_load_capacity,24.46086381,14
Hatillo,hatillo,pr97144,0.0,active_standard_load_capacity,0.0,1
Hormigueros,hormigueros,pr169,1.0,active_standard_load_capacity,9.339761111,1
Humacao,humacao,pr14,0.8846153846153847,active_standard_load_capacity,61.17492012269227,31
Humacao,humacao,pr233,0.03846153846153849,active_standard_load_capacity,2.659779135769231,3
Humacao,humacao,pr294,0.0,active_standard_load_capacity,0.0,1
Humacao,humacao,pr5,0.03846153846153849,active_standard_load_capacity,2.659779135769231,4
Humacao,humacao,pr97047,0.03846153846153849,active_standard_load_capacity,2.659779135769231,6
Humacao,humacao,pr97134,0.0,active_standard_load_capacity,0.0,1
Isabela,isabela,pr100,0.75,active_standard_load_capacity,17.7636354075,14
Isabela,isabela,pr35,0.125,active_standard_load_capacity,2.96060590125,1
Isabela,isabela,pr352,0.125,active_standard_load_capacity,2.96060590125,3
Jayuya,jayuya,pr2222,0.0,active_standard_load_capacity,0.0,1
Jayuya,jayuya,pr266,1.0,active_standard_load_capacity,8.875256907,1
Juana Díaz,juana diaz,pr3,0.0,active_standard_load_capacity,0.0,1
Juana Díaz,juana diaz,pr313,1.0,active_standard_load_capacity,38.60319549,18
Juncos,juncos,pr1206,0.14285714285714285,active_standard_load_capacity,5.828623982857143,1
Juncos,juncos,pr234,0.8571428571428571,active_standard_load_capacity,34.97174389714286,17
Lajas,lajas,pr169,1.0,active_standard_load_capacity,13.377072969999999,3
Lares,lares,pr169,0.0,active_standard_load_capacity,0.0,1
Lares,lares,pr35,0.6666666666666666,active_standard_load_capacity,7.8275976133333325,2
Lares,lares,pr38,0.3333333333333333,active_standard_load_capacity,3.9137988066666662,1
Las Marías,las marias,pr35,1.0,active_standard_load_capacity,3.000266765,1
Las Piedras,las piedras,pr234,1.0,active_standard_load_capacity,33.13759394000001,21
Loíza,loiza,pr82,1.0,active_standard_load_capacity,9.820566985999998,6
Luquillo,luquillo,pr211,1.0,active_standard_load_capacity,12.4139437,2
Manatí,manati,pr102,0.0588235294117647,active_standard_load_capacity,3.2691944917647056,2
Manatí,manati,pr153,0.8235294117647058,active_standard_load_capacity,45.76872288470588,22
Manatí,manati,pr196,0.0,active_standard_load_capacity,0.0,1
Manatí,manati,pr442,0.0588235294117647,active_standard_load_capacity,3.2691944917647056,1
Manatí,manati,pr452,0.0588235294117647,active_standard_load_capacity,3.2691944917647056,1
Maricao,maricao,pr169,0.3333333333333333,active_standard_load_capacity,1.4097160649999998,1
Maricao,maricao,pr29,0.6666666666666666,active_standard_load_capacity,2.8194321299999996,4
Maunabo,maunabo,pr14,1.0,active_standard_load_capacity,4.685228334,3
Maunabo,maunabo,pr184,0.0,active_standard_load_capacity,0.0,1
Mayagüez,mayaguez,pr116,0.21739130434782608,active_standard_load_capacity,16.877627482608695,5
Mayagüez,mayaguez,pr204,0.0,active_standard_load_capacity,0.0,1
Mayagüez,mayaguez,pr231,0.13043478260869565,active_standard_load_capacity,10.126576489565217,2
Mayagüez,mayaguez,pr232,0.0,active_standard_load_capacity,0.0,1
Mayagüez,mayaguez,pr277,0.0,active_standard_load_capacity,0.0,5
Mayagüez,mayaguez,pr29,0.608695652173913,active_standard_load_capacity,47.257356951304345,26
Mayagüez,mayaguez,pr428,0.043478260869565216,active_standard_load_capacity,3.375525496521739,1
Moca,moca,pr100,0.2,active_standard_load_capacity,3.310628844,7
Moca,moca,pr32,0.8,active_standard_load_capacity,13.242515376,4
Moca,moca,pr97021,0.0,active_standard_load_capacity,0.0,5
Morovis,morovis,pr555,1.0,active_standard_load_capacity,12.18585008,1
Naguabo,naguabo,pr101,0.0,active_standard_load_capacity,0.0,1
Naguabo,naguabo,pr16,1.0,active_standard_load_capacity,14.898267029999998,12
Naguabo,naguabo,pr2001,0.0,active_standard_load_capacity,0.0,1
Naguabo,naguabo,pr2002,0.0,active_standard_load_capacity,0.0,3
Naguabo,naguabo,pr3001,0.0,active_standard_load_capacity,0.0,1
Naranjito,naranjito,pr45,1.0,active_standard_load_capacity,12.72578261,1
Orocovis,orocovis,pr213,0.5,active_standard_load_capacity,4.4237536025,3
Orocovis,orocovis,pr353,0.5,active_standard_load_capacity,4.4237536025,3
Patillas,patillas,pr334,0.0,active_standard_load_capacity,0.0,1
Patillas,patillas,pr8,1.0,active_standard_load_capacity,8.963394276,4
Peñuelas,penuelas,pr2,0.5714285714285715,active_standard_load_capacity,6.728228897142857,20
Peñuelas,penuelas,pr319,0.14285714285714288,active_standard_load_capacity,1.6820572242857144,4
Peñuelas,penuelas,pr489,0.14285714285714288,active_standard_load_capacity,1.6820572242857144,1
Peñuelas,penuelas,pr96,0.14285714285714288,active_standard_load_capacity,1.6820572242857144,1
