r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pr10,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,13.166463569833333,15.495055937883206,17.82364830593308,20.152240673982952,21.896866858885208,23.641493043787463,25.38611922868972,26.71145691184829,28.036794595006864,28.88680676110371,29.736818927200556,30.5868310932974,31.436843259394244,32.28685542549109,33.40847419122745,34.530092956963806,35.65171172270016,36.77333048843652,37.89494925417288,40.32801885035342,42.761088446533975,45.19415804271452,47.627227638895064,50.060297235075616,53.58714136842654,57.11398550177747,60.6408296351284,64.16767376847932,67.69451790183025
pr100,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,13.073107158375,15.198084577529018,17.323061996683034,19.44803941583705,20.84855043012087,22.24906144440469,23.649572458688507,24.94036671389162,26.231160969094734,27.105660839405335,27.98016070971594,28.85466058002654,29.729160450337144,30.603660320647744,31.50712793920148,32.410595557755215,33.314063176308956,34.2175307948627,35.12099841341643,36.94574115435528,38.770483895294134,40.595226636232994,42.419969377171846,44.2447121181107,47.07788099409865,49.91104987008661,52.74421874607456,55.57738762206252,58.41055649805047
pr101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.301820923731744,2.603641847463488,3.9054627711952317,4.326997435344671,4.74853209949411,5.170066763643549,5.500651355112629,5.831235946581709,6.046300923479014,6.261365900376317,6.476430877273621,6.691495854170925,6.906560831068229,7.183288095625608,7.460015360182987,7.736742624740366,8.013469889297745,8.290197153855123,8.915331737462495,9.540466321069866,10.165600904677238,10.790735488284609,11.41587007189198,12.277342014992223,13.138813958092468,14.000285901192711,14.861757844292956,15.7232297873932
pr102,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,1.8948919517408087,4.312175528944146,6.729459106147484,9.146742683350821,10.097080118055638,11.047417552760454,11.997754987465271,12.73937239954995,13.48098981163463,13.96241013812361,14.44383046461259,14.925250791101572,15.406671117590552,15.888091444079532,16.50993394127737,17.13177643847521,17.753618935673053,18.375461432870893,18.997303930068732,20.393429100529207,21.78955427098968,23.185679441450155,24.581804611910627,25.977929782371103,27.91678546685427,29.855641151337444,31.794496835820613,33.73335252030378,35.672208204786955
pr1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21188068363814275,0.4237613672762855,0.6356420509144283,0.7042498380091919,0.7728576251039555,0.8414654121987192,0.8952704235375576,0.949075434876396,0.9840788009431013,1.0190821670098067,1.054085533076512,1.0890888991432173,1.1240922652099226,1.1691316104658152,1.2141709557217077,1.2592103009776001,1.3042496462334927,1.3492889914893853,1.4510341244662668,1.552779257443148,1.6545243904200295,1.7562695233969108,1.8580146563737923,1.9982253881345424,2.138436119895293,2.2786468516560427,2.418857583416793,2.5590683151775435
pr1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr103,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,3.7705532947058815,4.538474983999548,5.306396673293214,6.074318362586881,6.729947644677114,7.385576926767347,8.041206208857579,8.555377302530951,9.069548396204324,9.404047331636976,9.738546267069628,10.07304520250228,10.407544137934932,10.742043073367585,11.172447764986108,11.602852456604632,12.033257148223157,12.46366183984168,12.894066531460204,13.86636269880321,14.838658866146215,15.810955033489218,16.783251200832225,17.75554736817523,19.095428236168694,20.435309104162158,21.775189972155623,23.11507084014909,24.454951708142556
pr1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160340122055086,0.6320680244110172,0.9481020366165257,1.0504350756817484,1.152768114746971,1.2551011538121937,1.3353548760971643,1.4156085983821347,1.467818427249526,1.5200282561169176,1.572238084984309,1.6244479138517005,1.6766577427190918,1.7438368962041042,1.8110160496891163,1.8781952031741287,1.945374356659141,2.012553510144153,2.1643130856174055,2.316072661090658,2.4678322365639103,2.619591812037163,2.7713513875104154,2.9804849402270284,3.1896184929436413,3.3987520456602542,3.6078855983768676,3.8170191510934806
pr106,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.6378726946000004,2.7900512036393703,2.9422297126787407,3.0944082217181106,3.3637793886053236,3.633150555492536,3.902521722379749,4.107338410413384,4.312155098447019,4.443569355927013,4.5749836134070065,4.706397870887001,4.837812128366994,4.969226385846988,5.142506487824159,5.315786589801329,5.4890666917785,5.6623467937556695,5.83562689573284,6.211955509136674,6.588284122540508,6.964612735944342,7.340941349348176,7.71726996275201,8.261981931863982,8.806693900975953,9.351405870087925,9.896117839199896,10.440829808311868
pr107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
