i,country,t_start_construction,safe_harbor,t_max_online,ptc_value,ptc_perc_bonus,ptc_dur,ptc_tax_equity_penalty,itc_frac,itc_energy_comm_bonus,itc_percpt_domestic_bonus,itc_tax_equity_penalty,co2_capture_value,co2_capture_dur,co2_capture_tax_equity_penalty,h2_ptc_value,h2_ptc_dur,h2_ptc_tax_equity_penalty
PV,usa,2026,0,2026,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2027,0,2027,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2028,0,2028,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2029,0,2029,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2030,0,2030,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2031,0,2031,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2032,0,2032,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2033,0,2033,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2034,0,2034,0.0,0.0,0,0.0,0.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2035,0,2035,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2036,0,2036,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2037,0,2037,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2038,0,2038,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2039,0,2039,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2040,0,2040,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2041,0,2041,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2042,0,2042,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2043,0,2043,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2044,0,2044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2045,0,2045,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2046,0,2046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2047,0,2047,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2048,0,2048,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2049,0,2049,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
PV,usa,2050,0,2050,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2010,0,2010,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2011,0,2011,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2012,0,2012,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2013,0,2013,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2014,0,2014,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2015,0,2015,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2016,0,2016,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2017,0,2017,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2018,0,2018,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2019,0,2019,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2020,0,2020,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2021,0,2021,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2022,0,2022,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2023,0,2023,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2024,0,2024,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2025,0,2025,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2026,0,2026,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2027,0,2027,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2028,0,2028,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2029,0,2029,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2030,0,2030,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2031,0,2031,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2032,0,2032,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2033,0,2033,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2034,0,2034,0.0,0.0,0,0.0,0.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2035,0,2035,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2036,0,2036,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2037,0,2037,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2038,0,2038,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2039,0,2039,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2040,0,2040,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2041,0,2041,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2042,0,2042,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2043,0,2043,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2044,0,2044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2045,0,2045,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2046,0,2046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2047,0,2047,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2048,0,2048,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2049,0,2049,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
ONSWIND,usa,2050,0,2050,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2010,0,2010,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2011,0,2011,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2012,0,2012,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2013,0,2013,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2014,0,2014,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2015,0,2015,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2016,0,2016,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2017,0,2017,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2018,0,2018,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2019,0,2019,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2020,0,2020,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2021,0,2021,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2022,0,2022,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2023,0,2023,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2024,0,2024,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2025,0,2025,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2026,0,2026,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2027,0,2027,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2028,0,2028,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2029,0,2029,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2030,0,2030,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2031,0,2031,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2032,0,2032,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
OFSWIND,usa,2033,0,2033,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
