* allies
* allied countries with material inputs for power
USA
Argentina
Australia
Austria
Bahrain
Belgium
Bulgaria
Canada
Chile
Congo
Finland
France
Germany
Greece
India
Indonesia
Ireland
Italy
Japan
Malaysia
Mexico
Netherlands
Peru
Poland
Portugal
Slovakia
South_Korea
Spain
Sweden
Taiwan
Thailand
Vietnam
