,Default Value,aluminumsupply_nosupply_med_reference,aluminumsupply_nosupply_med_best,aluminumsupply_nosupply_med_worst,aluminumsupply_nosupply_short_reference,aluminumsupply_nosupply_short_best,aluminumsupply_nosupply_short_worst,aluminumsupply_nosupply_volatile_reference,aluminumsupply_nosupply_volatile_best,aluminumsupply_nosupply_volatile_worst,coppersupply_nosupply_med_reference,coppersupply_nosupply_med_best,coppersupply_nosupply_med_worst,coppersupply_nosupply_short_reference,coppersupply_nosupply_short_best,coppersupply_nosupply_short_worst,coppersupply_nosupply_volatile_reference,coppersupply_nosupply_volatile_best,coppersupply_nosupply_volatile_worst,manganesesupply_nosupply_med_reference,manganesesupply_nosupply_med_best,manganesesupply_nosupply_med_worst,manganesesupply_nosupply_short_reference,manganesesupply_nosupply_short_best,manganesesupply_nosupply_short_worst,manganesesupply_nosupply_volatile_reference,manganesesupply_nosupply_volatile_best,manganesesupply_nosupply_volatile_worst,nickelsupply_nosupply_med_reference,nickelsupply_nosupply_med_best,nickelsupply_nosupply_med_worst,nickelsupply_nosupply_short_reference,nickelsupply_nosupply_short_best,nickelsupply_nosupply_short_worst,nickelsupply_nosupply_volatile_reference,nickelsupply_nosupply_volatile_best,nickelsupply_nosupply_volatile_worst,silversupply_nosupply_med_reference,silversupply_nosupply_med_best,silversupply_nosupply_med_worst,silversupply_nosupply_short_reference,silversupply_nosupply_short_best,silversupply_nosupply_short_worst,silversupply_nosupply_volatile_reference,silversupply_nosupply_volatile_best,silversupply_nosupply_volatile_worst,tinsupply_nosupply_med_reference,tinsupply_nosupply_med_best,tinsupply_nosupply_med_worst,tinsupply_nosupply_short_reference,tinsupply_nosupply_short_best,tinsupply_nosupply_short_worst,tinsupply_nosupply_volatile_reference,tinsupply_nosupply_volatile_best,tinsupply_nosupply_volatile_worst,cobaltsupply_nosupply_med_reference,cobaltsupply_nosupply_med_best,cobaltsupply_nosupply_med_worst,cobaltsupply_nosupply_short_reference,cobaltsupply_nosupply_short_best,cobaltsupply_nosupply_short_worst,cobaltsupply_nosupply_volatile_reference,cobaltsupply_nosupply_volatile_best,cobaltsupply_nosupply_volatile_worst,aluminumprice_2xprice_med_reference,aluminumprice_2xprice_med_best,aluminumprice_2xprice_med_worst,aluminumprice_2xprice_short_reference,aluminumprice_2xprice_short_best,aluminumprice_2xprice_short_worst,aluminumprice_2xprice_volatile_reference,aluminumprice_2xprice_volatile_best,aluminumprice_2xprice_volatile_worst,copperprice_2xprice_med_reference,copperprice_2xprice_med_best,copperprice_2xprice_med_worst,copperprice_2xprice_short_reference,copperprice_2xprice_short_best,copperprice_2xprice_short_worst,copperprice_2xprice_volatile_reference,copperprice_2xprice_volatile_best,copperprice_2xprice_volatile_worst,manganeseprice_2xprice_med_reference,manganeseprice_2xprice_med_best,manganeseprice_2xprice_med_worst,manganeseprice_2xprice_short_reference,manganeseprice_2xprice_short_best,manganeseprice_2xprice_short_worst,manganeseprice_2xprice_volatile_reference,manganeseprice_2xprice_volatile_best,manganeseprice_2xprice_volatile_worst,nickelprice_2xprice_med_reference,nickelprice_2xprice_med_best,nickelprice_2xprice_med_worst,nickelprice_2xprice_short_reference,nickelprice_2xprice_short_best,nickelprice_2xprice_short_worst,nickelprice_2xprice_volatile_reference,nickelprice_2xprice_volatile_best,nickelprice_2xprice_volatile_worst,silverprice_2xprice_med_reference,silverprice_2xprice_med_best,silverprice_2xprice_med_worst,silverprice_2xprice_short_reference,silverprice_2xprice_short_best,silverprice_2xprice_short_worst,silverprice_2xprice_volatile_reference,silverprice_2xprice_volatile_best,silverprice_2xprice_volatile_worst,tinprice_2xprice_med_reference,tinprice_2xprice_med_best,tinprice_2xprice_med_worst,tinprice_2xprice_short_reference,tinprice_2xprice_short_best,tinprice_2xprice_short_worst,tinprice_2xprice_volatile_reference,tinprice_2xprice_volatile_best,tinprice_2xprice_volatile_worst,cobaltprice_2xprice_med_reference,cobaltprice_2xprice_med_best,cobaltprice_2xprice_med_worst,cobaltprice_2xprice_short_reference,cobaltprice_2xprice_short_best,cobaltprice_2xprice_short_worst,cobaltprice_2xprice_volatile_reference,cobaltprice_2xprice_volatile_best,cobaltprice_2xprice_volatile_worst,aluminumprice_4xprice_long_reference,aluminumprice_4xprice_long_best,aluminumprice_4xprice_long_worst,aluminumprice_8xprice_long_reference,aluminumprice_8xprice_long_best,aluminumprice_8xprice_long_worst,copperprice_4xprice_long_reference,copperprice_4xprice_long_best,copperprice_4xprice_long_worst,copperprice_8xprice_long_reference,copperprice_8xprice_long_best,copperprice_8xprice_long_worst,manganeseprice_4xprice_long_reference,manganeseprice_4xprice_long_best,manganeseprice_4xprice_long_worst,manganeseprice_8xprice_long_reference,manganeseprice_8xprice_long_best,manganeseprice_8xprice_long_worst,nickelprice_4xprice_long_reference,nickelprice_4xprice_long_best,nickelprice_4xprice_long_worst,nickelprice_8xprice_long_reference,nickelprice_8xprice_long_best,nickelprice_8xprice_long_worst,silverprice_4xprice_long_reference,silverprice_4xprice_long_best,silverprice_4xprice_long_worst,silverprice_8xprice_long_reference,silverprice_8xprice_long_best,silverprice_8xprice_long_worst,tinprice_4xprice_long_reference,tinprice_4xprice_long_best,tinprice_4xprice_long_worst,tinprice_8xprice_long_reference,tinprice_8xprice_long_best,tinprice_8xprice_long_worst,cobaltprice_4xprice_long_reference,cobaltprice_4xprice_long_best,cobaltprice_4xprice_long_worst,cobaltprice_8xprice_long_reference,cobaltprice_8xprice_long_best,cobaltprice_8xprice_long_worst
ignore,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yearset,2010_2015_2020..2050..3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distpvscen,stscen2023_mid_case,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre,,stscen2023_highre,stscen2023_lowre
plantchar_battery,battery_ATB_2024_moderate,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced,,battery_ATB_2024_conservative,battery_ATB_2024_advanced
plantchar_geo,geo_ATB_2024_moderate,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative,,geo_ATB_2024_advanced,geo_ATB_2024_conservative
plantchar_nuclear_smr,nuclear-smr_ATB_2024_moderate,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative,,nuclear-smr_ATB_2024_advanced,nuclear-smr_ATB_2024_conservative
plantchar_ofswind,ofs-wind_ATB_2024_moderate,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced,,ofs-wind_ATB_2024_conservative,ofs-wind_ATB_2024_advanced
plantchar_onswind,ons-wind_ATB_2024_moderate,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced,,ons-wind_ATB_2024_conservative,ons-wind_ATB_2024_advanced
