tech,sc_point_gid,region,class,capacity,capital_adder_per_mw,cost_total_trans_usd_per_mw,supply_curve_cost_per_mw,cf,latitude,longitude,poi_bus,poi_name,poi_kv,poi_distance_km,mapping_method,class_method,source_country,cost_dollar_year,cost_basis,source_capex_usd_per_kw,source_opex_usd_per_kw_year,source_fixed_charge_rate,source_lcoe_usd_per_mwh,source_total_lcoe_usd_per_mwh,cost_source,pr100_exclusions_applied,pr100_exclusions_config,additional_geographic_screen
wind-ofs,188,pr18,3,59.7294,0.0,7683.796,7683.796,0.37108892,18.798,-65.191,18,FAJARDO 115 -18,115.0,70.77590276657733,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,11657.626766757858,54.44935788689325,0.0764,290.7314099390017,290.93786654769633,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,197,pr32,2,537.1271999999999,0.0,5760.2324,5760.2324,0.35964993,18.669,-67.736,32,AGUADILLA115-32,115.0,68.05946947002244,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,4097.818146230985,54.302659687326695,0.0764,116.60754186603292,116.76723673543343,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,198,pr32,3,144.34199999999998,0.0,5357.3916,5357.3916,0.36439657,18.67,-67.603,32,AGUADILLA115-32,115.0,55.8061502390992,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,6645.531079959613,53.60948735299344,0.0764,175.8483535788817,175.9949455033514,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,200,pr32,4,177.5358,0.0,32443.262,32443.262,0.3859393,18.672,-67.335,32,AGUADILLA115-32,115.0,35.36172467618837,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,5574.361025561709,52.28000991079872,0.0764,141.433136307123,142.2713146684161,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,201,pr97021,4,377.622,0.0,25039.668,25039.668,0.39524496,18.672,-67.201,97021,YAROTEK_HV  -97021,115.0,28.060269679751322,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,3810.03275574785,52.43314525048134,0.0764,99.2158577052763,99.8475319442635,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,202,pr100,4,340.8561,0.0,19355.443,19355.443,0.4048017,18.673,-67.067,100,MORA 115    -100,115.0,23.13807320169011,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,4077.397118231346,52.54293548634346,0.0764,102.66486209735042,103.1416132581318,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,203,pr100,4,204.2901,0.0,19345.91,19345.91,0.41028753,18.673,-66.933,100,MORA 115    -100,115.0,25.348828854118924,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,5399.958831894179,52.64254443399044,0.0764,129.43350729164683,129.90365226308057,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,204,pr441,4,146.7477,0.0,2200.4424,2200.4424,0.41656476,18.674,-66.799,441,CAMB GP 115 -441,115.0,25.203208602753303,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,6005.490154353394,52.962013314797396,0.0764,140.248390535311,140.30105993964358,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,205,pr440,5,68.3802,0.0,4959.9136,4959.9136,0.4177429,18.674,-66.665,440,CAMB GP 230 -440,230.0,23.034887304810294,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,9442.875645750702,53.437332757190894,0.0764,211.74701007590212,211.86539488460355,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
wind-ofs,206,pr442,5,44.9064,0.0,15179.184,15179.184,0.41729513,18.674,-66.531,442,DUPONT      -442,115.0,25.00627024184637,pr100_exclusions_then_nearest_retained_bus_75km,equal_capacity_cf_proxy_pending_reeds_kmeans,United States,2021,real_2021_usd,11173.885538972872,53.74412171049148,0.0764,248.2362460770327,248.59893646426735,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",True,pr100_all/rev/wind/actuals/wind_offshore/aggregation/wind_offshore_35/config_aggregation.json,United States source-country and nearest retained bus <= 75 km
