tech,sc_point_gid,region,class,capacity,capital_adder_per_mw,cost_total_trans_usd_per_mw,supply_curve_cost_per_mw,cf,latitude,longitude,poi_bus,poi_name,poi_kv,poi_distance_km,mapping_method,class_method,source_country,cost_dollar_year,cost_basis,source_capex_usd_per_kw,source_opex_usd_per_kw_year,source_fixed_charge_rate,source_lcoe_usd_per_mwh,source_total_lcoe_usd_per_mwh,cost_source,pr100_exclusions_applied,pr100_exclusions_config,additional_geographic_screen
wind-ons,37,pr196,3,8.8209,0.0,10014.726,10014.726,0.34741664,18.409,-66.462,196,MANATI230,230.0,2.7310471820469946,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425292,36.35710166218738,0.0759,79.1786068924518,79.46414745505433,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,38,pr196,2,12.4785,0.0,29180.908,29180.908,0.33792728,18.409,-66.385,196,MANATI230,230.0,7.957726093676437,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2626.367934814916,36.35710166218738,0.0759,80.07189369160633,80.92726552023393,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,39,pr93,1,27.186000000000003,0.0,16516.262,16516.262,0.3270115,18.409,-66.307,93,DORADO115,115.0,4.504036607200932,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2393.2749667516637,36.35709349610647,0.0759,76.75071581610797,77.25101306786695,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,40,pr492,1,8.008500000000002,0.0,2301.9116,2301.9116,0.2787061,18.409,-66.23,492,CANDEARENAS,115.0,0.6277385699898447,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648464942528,36.35710166218738,0.0759,98.47036912336989,98.55218198041557,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,44,pr120,2,7.8384,0.0,23839.14,23839.14,0.34480727,18.408,-65.921,120,SLLANA230,230.0,6.501008846444752,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,79.72283785480592,80.40768486341696,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,45,pr82,4,5.7087,0.0,28710.611,28710.611,0.40559572,18.408,-65.844,82,CANOVANAS115,115.0,7.829474338924417,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189132,36.35710166218738,0.0759,67.82529530405655,68.52647358820573,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,46,pr211,6,5.554200000000001,0.0,17979.74,17979.74,0.43594298,18.408,-65.766,211,PALMER115,115.0,4.903131902066528,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189132,36.35710166218738,0.0759,62.820710166041984,63.22924876569476,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,54,pr232,6,22.5951,0.0,52097.25,52097.25,0.42117772,18.334,-67.235,232,MAYATC230,230.0,14.20708468451281,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2466.034267917282,36.35709894016041,0.0759,61.040849021983064,62.26611059504315,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,55,pr231,4,26.3742,0.0,14571.174,14571.174,0.3917279,18.334,-67.158,231,AASCO115,115.0,3.973605059618474,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2406.140853764286,36.35709894016041,0.0759,65.06866481995556,65.43712404135091,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,56,pr232,1,20.7156,0.0,47167.93,47167.93,0.29272595,18.334,-67.08,232,MAYATC230,230.0,12.862843432825077,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2495.8216966438445,36.35709894016041,0.0759,90.42720553510648,92.0233234151943,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,57,pr35,3,28.460100000000004,0.0,6224.739,6224.739,0.36186907,18.334,-67.003,35,SSEBASTIA115,115.0,1.6975059755666404,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2373.0822756420525,36.35709894016041,0.0759,72.3517325195675,72.52212446027764,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,58,pr35,8,14.142,0.0,24392.654,24392.654,0.48189074,18.335,-66.926,35,SSEBASTIA115,115.0,6.651953738714574,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2600.0038039678275,36.35710166218738,0.0759,56.08258128165189,56.58398765558453,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,59,pr335,7,20.4447,0.0,47329.438,47329.438,0.46737388,18.335,-66.849,335,HATILLO115,115.0,12.906886958886307,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2500.1150802256625,36.35709894016041,0.0759,55.54885836885916,56.55196309871287,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,60,pr902,5,12.026700000000002,0.0,19619.594,19619.594,0.41256282,18.335,-66.771,902,RADARARECIBO,115.0,5.350325086419273,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2633.528328152286,36.35710166218738,0.0759,65.77992844869287,66.25099179067426,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,64,pr177,1,9.2763,0.0,5493.637,5493.637,0.28394428,18.335,-66.462,177,CIALES115,115.0,1.4981322749322163,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,97.50962163593914,97.70127048706166,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,65,pr555,3,21.4734,0.0,9799.854,9799.854,0.36814258,18.335,-66.385,555,MOROVIS,115.0,2.672451098490447,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2483.81163360102,36.35709894016041,0.0759,71.00456909485622,71.2682525685584,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,66,pr400,2,27.881400000000003,0.0,1743.675,1743.675,0.3473582,18.335,-66.308,400,MONTEREY,115.0,0.47550568348601213,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2382.2538558517163,36.35709894016041,0.0759,72.72867982232215,72.77840397395694,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,67,pr310,1,13.6191,0.0,4834.3315,4834.3315,0.3031729,18.335,-66.23,310,BOPINAS115,115.0,1.3183374661109748,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2608.2908342184714,36.35710166218738,0.0759,89.67920897661732,89.83716108267896,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,68,pr99,3,14.757,0.0,26389.283,26389.283,0.35336292,18.335,-66.153,99,BAYAMON230,230.0,7.1964408240264905,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2590.256920606866,36.35709894016041,0.0759,75.8893831048388,76.62913486565733,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,69,pr280,2,11.8011,0.0,8378.523,8378.523,0.34100002,18.335,-66.076,280,VILLABETINA,115.0,2.2848499429758826,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2637.103770243722,36.35710166218738,0.0759,79.55406581737712,79.79745005678001,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,70,pr480,3,17.4756,0.0,4452.9062,4452.9062,0.35824844,18.335,-65.998,480,ENCANTADA,115.0,1.2143216231750809,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2547.1711348316953,36.35709894016041,0.0759,73.72001856516754,73.84314141007664,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,71,pr956,3,44.5572,0.0,8509.066,8509.066,0.36293623,18.335,-65.921,956,CACAO230,230.0,2.320449371081772,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2117.965904823025,36.35709894016041,0.0759,62.424974196259996,62.65721096988264,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,72,pr956,5,22.4604,0.0,37094.16,37094.16,0.4131688,18.334,-65.844,956,CACAO230,230.0,10.115694165532895,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2468.1690732641655,36.35709894016041,0.0759,62.43913337089479,63.32845205110376,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,73,pr211,6,11.9571,0.0,12304.024,12304.024,0.44142672,18.334,-65.766,211,PALMER115,115.0,3.3553464070213113,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2634.6313900741116,36.35710166218738,0.0759,61.70190655922382,61.97800754601431,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,74,pr18,4,8.319300000000002,0.0,16850.592,16850.592,0.378209,18.334,-65.689,18,FAJARDO115,115.0,4.595209412473937,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6486671891334,36.35710166218738,0.0759,72.27789333276084,72.71922254261233,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,75,pr18,5,5.861700000000001,0.0,13153.866,13153.866,0.4142523,18.333,-65.612,18,FAJARDO115,115.0,3.587100969313669,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189133,36.35710166218738,0.0759,66.05706010745354,66.37159430098647,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,82,pr232,3,11.7411,0.0,10108.554,10108.554,0.36047468,18.26,-67.157,232,MAYATC230,230.0,2.756634433409068,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2638.0546856935716,36.35710166218738,0.0759,76.25585075914212,76.53362606786797,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,83,pr232,4,9.7623,0.0,27608.934,27608.934,0.39484882,18.26,-67.08,232,MAYATC230,230.0,7.529043281879312,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189133,36.35710166218738,0.0759,69.74174281702238,70.43436781835908,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,86,pr902,8,7.7712,0.0,57737.89,57737.89,0.46973854,18.261,-66.848,902,RADARARECIBO,115.0,15.74530561304045,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,58.35992572123578,59.577468127160486,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,87,pr1110,3,5.6958,0.0,50830.68,50830.68,0.34887287,18.261,-66.771,1110,DBOCASFASE1,230.0,13.861687438209424,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189133,36.35710166218738,0.0759,87.91516651132115,89.35840495161354,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,88,pr1110,1,9.816,0.0,32318.408,32318.408,0.16267245,18.261,-66.694,1110,DBOCASFASE1,230.0,8.813332249951138,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,184.8641992601346,186.8321550857655,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,92,pr555,9,8.3001,0.0,26450.627,26450.627,0.5000748,18.261,-66.385,555,MOROVIS,115.0,7.213169543358932,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425292,36.35710166218738,0.0759,54.89322549384893,55.41716406918011,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,93,pr353,8,9.7125,0.0,29532.645,29532.645,0.4718,18.261,-66.308,353,BARRANQT115,115.0,8.053645369484771,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,58.32170191582757,58.941747743599876,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,94,pr275,4,7.4877,0.0,26671.615,26671.615,0.36948028,18.261,-66.23,275,COMERIO115,115.0,7.273433479021597,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,75.374841273611,76.08989294050099,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,95,pr451,5,9.8091,0.0,19091.332,19091.332,0.409014,18.261,-66.153,451,AGUBUENAS230,230.0,5.2062667366535,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.648667189133,36.35710166218738,0.0759,66.92454321834245,67.38690021364413,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,96,pr451,1,8.452200000000001,0.0,12947.227,12947.227,0.28293148,18.261,-66.076,451,AGUBUENAS230,230.0,3.5307495646561344,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,100.0429218603459,100.49621052077349,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,97,pr956,1,12.1281,0.0,34269.266,34269.266,0.29039708,18.261,-65.999,956,CACAO230,230.0,9.345337218417411,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2631.92128104204,36.35710166218738,0.0759,95.32279507865917,96.49173435408258,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,98,pr956,2,20.1474,0.0,26114.01,26114.01,0.3372697,18.261,-65.921,956,CACAO230,230.0,7.121372833051064,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2504.8268666371578,36.35709894016041,0.0759,77.66022936761692,78.42719446218926,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,101,pr101,4,17.425200000000004,0.0,14210.639,14210.639,0.37105915,18.26,-65.689,101,DAGUAO115,115.0,3.8752861052450207,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2547.969903870172,36.35709894016041,0.0759,71.01411759695871,71.39347610785788,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,102,pr101,4,7.038,0.0,24168.182,24168.182,0.39633244,18.26,-65.612,101,DAGUAO115,115.0,6.590739554084783,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,69.11422642378936,69.71826367683568,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,109,pr232,2,7.8648,0.0,21059.754,21059.754,0.3470763,18.186,-67.157,232,MAYATC230,230.0,5.743061206674448,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,79.2589502664872,79.85999626552464,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
