tech,sc_point_gid,region,class,capacity_mw
upv,656,pr956,1,20.790000000000003
upv,657,pr956,1,37.597
upv,658,pr956,1,33.446
upv,666,pr18,2,20.832
upv,687,pr232,1,6.468000000000001
upv,689,pr232,1,12.481000000000002
upv,690,pr232,1,11.445
upv,730,pr956,1,35.553000000000004
upv,731,pr956,1,14.756
upv,743,pr101,4,30.562000000000005
upv,744,pr101,4,17.745
upv,764,pr232,1,79.49900000000001
upv,765,pr232,1,7.448
upv,780,pr1110,1,21.945
upv,791,pr555,1,13.797
upv,796,pr353,1,8.736
upv,804,pr451,1,21.973000000000003
upv,806,pr21,1,5.635
upv,807,pr956,1,5.922000000000001
upv,808,pr956,1,20.167
upv,809,pr1206,1,24.353
upv,811,pr1206,1,5.9430000000000005
upv,812,pr16,2,15.176000000000002
upv,817,pr101,1,39.13
upv,818,pr101,1,16.632
upv,819,pr101,4,7.623000000000001
upv,820,pr101,4,37.492
upv,821,pr101,4,7.777
upv,842,pr232,1,6.818
upv,854,pr1110,1,7.385000000000001
upv,875,pr275,1,16.065
upv,882,pr21,1,12.859
upv,883,pr21,2,49.336
upv,884,pr234,2,36.904
upv,885,pr234,2,33.901
upv,886,pr1206,2,66.703
upv,887,pr1206,2,13.587000000000002
upv,888,pr16,2,10.521
upv,889,pr16,2,5.159
upv,891,pr16,1,6.097
upv,893,pr2001,3,51.555
upv,894,pr2001,4,53.97
upv,895,pr101,3,7.497
upv,897,pr101,4,14.679
upv,936,pr266,1,13.426
upv,947,pr353,1,8.911
upv,954,pr451,2,6.811000000000001
upv,956,pr451,1,11.543
upv,957,pr451,1,10.087
upv,959,pr234,2,26.026
upv,960,pr234,2,8.575000000000001
upv,961,pr234,2,12.348
upv,962,pr234,2,35.73500000000001
upv,963,pr233,3,37.492
upv,964,pr233,2,10.598
upv,968,pr2002,2,7.224
upv,992,pr232,1,21.427000000000003
upv,1007,pr96,1,11.221
upv,1024,pr353,1,7.266
upv,1028,pr10,2,6.090000000000001
upv,1030,pr451,2,6.328
upv,1032,pr451,2,9.884000000000002
upv,1035,pr234,2,39.928
upv,1036,pr234,2,27.72
upv,1037,pr234,3,8.47
upv,1038,pr233,3,29.484
upv,1039,pr233,2,16.499000000000002
upv,1040,pr233,2,13.419
upv,1067,pr116,1,38.416
upv,1068,pr116,1,22.043
upv,1069,pr116,1,6.958
