Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
PR100,2010,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2011,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2012,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2013,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2014,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2015,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2016,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2017,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2018,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2019,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2020,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2021,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2022,1.0,3865.2740080555104,104.55698151188867,0.0
PR100,2023,1.0,3834.182672037007,102.54132100792577,0.0
PR100,2024,1.0,3803.0913360185027,100.5256605039629,0.0
PR100,2025,1.0,3771.9999999999995,98.51,0.0
PR100,2026,1.0,3740.908663981496,96.49433949603711,0.0
PR100,2027,1.0,3709.8173279629923,94.47867899207421,0.0
PR100,2028,1.0,3678.725991944489,92.46301848811132,0.0
PR100,2029,1.0,3647.634655925985,90.44735798414843,0.0
PR100,2030,1.0,3616.5433199074814,88.43169748018553,0.0
PR100,2031,1.0,3911.841430928769,87.10521863803103,0.0
PR100,2032,1.0,4207.139541950057,85.77873979587656,0.0
PR100,2033,1.0,4502.437652971344,84.45226095372207,0.0
PR100,2034,1.0,4797.735763992632,83.1257821115676,0.0
PR100,2035,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2036,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2037,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2038,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2039,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2040,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2041,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2042,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2043,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2044,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2045,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2046,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2047,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2048,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2049,1.0,5093.033875013919,81.79930326941312,0.0
PR100,2050,1.0,5093.033875013919,81.79930326941312,0.0
