Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
floating,2048,0.969304,4653.709737,69.674758,0.0,1.0
floating,2049,0.969716,4614.437262,69.536491,0.0,1.0
floating,2050,0.970128,4577.848491,69.407595,0.0,1.0
floating,2051,0.970128,4577.848491,69.407595,0.0,1.0
floating,2052,0.970128,4577.848491,69.407595,0.0,1.0
floating,2053,0.970128,4577.848491,69.407595,0.0,1.0
floating,2054,0.970128,4577.848491,69.407595,0.0,1.0
floating,2055,0.970128,4577.848491,69.407595,0.0,1.0
floating,2056,0.970128,4577.848491,69.407595,0.0,1.0
floating,2057,0.970128,4577.848491,69.407595,0.0,1.0
floating,2058,0.970128,4577.848491,69.407595,0.0,1.0
floating,2059,0.970128,4577.848491,69.407595,0.0,1.0
floating,2060,0.970128,4577.848491,69.407595,0.0,1.0
