type,t,capcost,fom,vom
csp3,2029,3772.13169,43.367038,2.695122
csp3,2030,3364.866864,39.638484,2.563289
csp3,2031,3322.806028,39.41827,2.563289
csp3,2032,3280.745192,39.198056,2.563289
csp3,2033,3238.684357,38.977843,2.563289
csp3,2034,3196.623521,38.757629,2.563289
csp3,2035,3154.562685,38.537415,2.563289
csp3,2036,3112.501849,38.317201,2.563289
csp3,2037,3070.441013,38.096987,2.563289
csp3,2038,3028.380178,37.876774,2.563289
csp3,2039,2986.319342,37.65656,2.563289
csp3,2040,2944.258506,37.436346,2.563289
csp3,2041,2902.19767,37.216132,2.563289
csp3,2042,2860.136834,36.995918,2.563289
csp3,2043,2818.075999,36.775705,2.563289
csp3,2044,2776.015163,36.555491,2.563289
csp3,2045,2733.954327,36.335277,2.563289
csp3,2046,2691.893491,36.115063,2.563289
csp3,2047,2649.832655,35.894849,2.563289
csp3,2048,2607.77182,35.674636,2.563289
csp3,2049,2565.710984,35.454422,2.563289
csp3,2050,2523.650148,35.234208,2.563289
csp3,2051,2507.877335,35.013994,2.563289
csp3,2052,2492.104521,34.79378,2.563289
csp3,2053,2476.331708,34.573567,2.563289
csp3,2054,2460.558894,34.353353,2.563289
csp3,2055,2444.786081,34.133139,2.563289
csp3,2056,2429.013267,33.912925,2.563289
csp3,2057,2413.240454,33.692711,2.563289
csp3,2058,2397.467641,33.472498,2.563289
csp3,2059,2381.694827,33.252284,2.563289
csp3,2060,2365.922014,33.03207,2.563289
csp4,2010,5724.710579,81.985657,5.093048
csp4,2011,5724.710579,81.985657,5.093048
csp4,2012,5724.710579,81.985657,5.093048
csp4,2013,5724.710579,81.985657,5.093048
csp4,2014,5724.710579,81.985657,5.093048
csp4,2015,5724.710579,81.985657,5.093048
csp4,2016,5724.710579,81.985657,5.093048
csp4,2017,5724.710579,81.985657,5.093048
csp4,2018,5633.499736,82.019684,5.095162
csp4,2019,5408.813308,82.019684,5.095162
csp4,2020,5054.150337,64.81106,3.809767
csp4,2021,4699.487364,47.602437,2.524372
csp4,2022,4685.136541,47.591786,2.523807
csp4,2023,5789.583772,61.231479,3.247124
csp4,2024,5410.240175,57.758547,3.124328
csp4,2025,5030.896577,54.285614,3.001533
csp4,2026,4651.55298,50.812682,2.878737
csp4,2027,4272.209383,47.339749,2.755942
csp4,2028,3892.865786,43.866817,2.633146
csp4,2029,3513.522189,40.393884,2.51035
csp4,2030,3134.178592,36.920952,2.387555
csp4,2031,3095.00136,36.715836,2.387555
csp4,2032,3055.824127,36.510719,2.387555
csp4,2033,3016.646895,36.305603,2.387555
csp4,2034,2977.469662,36.100486,2.387555
csp4,2035,2938.29243,35.89537,2.387555
csp4,2036,2899.115198,35.690254,2.387555
csp4,2037,2859.937965,35.485137,2.387555
csp4,2038,2820.760733,35.280021,2.387555
csp4,2039,2781.5835,35.074904,2.387555
csp4,2040,2742.406268,34.869788,2.387555
csp4,2041,2703.229036,34.664672,2.387555
csp4,2042,2664.051803,34.459555,2.387555
csp4,2043,2624.874571,34.254439,2.387555
csp4,2044,2585.697338,34.049322,2.387555
csp4,2045,2546.520106,33.844206,2.387555
csp4,2046,2507.342874,33.63909,2.387555
csp4,2047,2468.165641,33.433973,2.387555
csp4,2048,2428.988409,33.228857,2.387555
csp4,2049,2389.811176,33.02374,2.387555
csp4,2050,2350.633944,32.818624,2.387555
csp4,2051,2335.942482,32.613508,2.387555
csp4,2052,2321.25102,32.408391,2.387555
csp4,2053,2306.559558,32.203275,2.387555
csp4,2054,2291.868095,31.998158,2.387555
csp4,2055,2277.176633,31.793042,2.387555
csp4,2056,2262.485171,31.587926,2.387555
csp4,2057,2247.793709,31.382809,2.387555
csp4,2058,2233.102247,31.177693,2.387555
csp4,2059,2218.410785,30.972576,2.387555
csp4,2060,2203.719322,30.76746,2.387555
