type,t,capcost,fom,vom
csp3,2029,4493.17459,50.917226,2.763074
csp3,2030,4206.08358,48.447036,2.642566
csp3,2031,4176.046418,48.314908,2.642566
csp3,2032,4146.009255,48.182779,2.642566
csp3,2033,4115.972093,48.050651,2.642566
csp3,2034,4085.934931,47.918523,2.642566
csp3,2035,4055.897768,47.786395,2.642566
csp3,2036,4025.860606,47.654266,2.642566
csp3,2037,3995.823444,47.522138,2.642566
csp3,2038,3965.786281,47.39001,2.642566
csp3,2039,3935.749119,47.257881,2.642566
csp3,2040,3905.711957,47.125753,2.642566
csp3,2041,3875.674794,46.993625,2.642566
csp3,2042,3845.637632,46.861497,2.642566
csp3,2043,3815.60047,46.729368,2.642566
csp3,2044,3785.563308,46.59724,2.642566
csp3,2045,3755.526145,46.465112,2.642566
csp3,2046,3725.488983,46.332984,2.642566
csp3,2047,3695.451821,46.200855,2.642566
csp3,2048,3665.414658,46.068727,2.642566
csp3,2049,3635.377496,45.936599,2.642566
csp3,2050,3605.340334,45.80447,2.642566
csp3,2051,3605.340334,45.80447,2.642566
csp3,2052,3605.340334,45.80447,2.642566
csp3,2053,3605.340334,45.80447,2.642566
csp3,2054,3605.340334,45.80447,2.642566
csp3,2055,3605.340334,45.80447,2.642566
csp3,2056,3605.340334,45.80447,2.642566
csp3,2057,3605.340334,45.80447,2.642566
csp3,2058,3605.340334,45.80447,2.642566
csp3,2059,3605.340334,45.80447,2.642566
csp3,2060,3605.340334,45.80447,2.642566
csp4,2010,5724.710579,81.985657,5.093048
csp4,2011,5724.710579,81.985657,5.093048
csp4,2012,5724.710579,81.985657,5.093048
csp4,2013,5724.710579,81.985657,5.093048
csp4,2014,5724.710579,81.985657,5.093048
csp4,2015,5724.710579,81.985657,5.093048
csp4,2016,5724.710579,81.985657,5.093048
csp4,2017,5724.710579,81.985657,5.093048
csp4,2018,5633.499736,82.019684,5.095162
csp4,2019,5408.813308,82.019684,5.095162
csp4,2020,5054.150337,64.81106,3.809767
csp4,2021,4699.487364,47.602437,2.524372
csp4,2022,4685.136541,47.591786,2.523807
csp4,2023,5789.583772,61.231479,3.247124
csp4,2024,5522.175124,58.93064,3.134877
csp4,2025,5254.766477,56.629802,3.02263
csp4,2026,4987.35783,54.328963,2.910384
csp4,2027,4719.949182,52.028124,2.798137
csp4,2028,4452.540535,49.727285,2.68589
csp4,2029,4185.131887,47.426447,2.573644
csp4,2030,3917.72324,45.125608,2.461397
csp4,2031,3889.745363,45.002538,2.461397
csp4,2032,3861.767486,44.879468,2.461397
csp4,2033,3833.789609,44.756398,2.461397
csp4,2034,3805.811732,44.633329,2.461397
csp4,2035,3777.833855,44.510259,2.461397
csp4,2036,3749.855978,44.387189,2.461397
csp4,2037,3721.878101,44.264119,2.461397
csp4,2038,3693.900224,44.141049,2.461397
csp4,2039,3665.922347,44.017979,2.461397
csp4,2040,3637.94447,43.89491,2.461397
csp4,2041,3609.966593,43.77184,2.461397
csp4,2042,3581.988716,43.64877,2.461397
csp4,2043,3554.01084,43.5257,2.461397
csp4,2044,3526.032963,43.40263,2.461397
csp4,2045,3498.055086,43.27956,2.461397
csp4,2046,3470.077209,43.156491,2.461397
csp4,2047,3442.099332,43.033421,2.461397
csp4,2048,3414.121455,42.910351,2.461397
csp4,2049,3386.143578,42.787281,2.461397
csp4,2050,3358.165701,42.664211,2.461397
csp4,2051,3358.165701,42.664211,2.461397
csp4,2052,3358.165701,42.664211,2.461397
csp4,2053,3358.165701,42.664211,2.461397
csp4,2054,3358.165701,42.664211,2.461397
csp4,2055,3358.165701,42.664211,2.461397
csp4,2056,3358.165701,42.664211,2.461397
csp4,2057,3358.165701,42.664211,2.461397
csp4,2058,3358.165701,42.664211,2.461397
csp4,2059,3358.165701,42.664211,2.461397
csp4,2060,3358.165701,42.664211,2.461397
