type,t,capcost,fom,vom
csp3,2049,5456.216408,65.738365,3.486125
csp3,2050,5428.935325,65.738365,3.486125
csp4,2010,5724.710579,81.985657,5.093048
csp4,2011,5724.710579,81.985657,5.093048
csp4,2012,5724.710579,81.985657,5.093048
csp4,2013,5724.710579,81.985657,5.093048
csp4,2014,5724.710579,81.985657,5.093048
csp4,2015,5724.710579,81.985657,5.093048
csp4,2016,5724.710579,81.985657,5.093048
csp4,2017,5724.710579,81.985657,5.093048
csp4,2018,5633.499736,82.019684,5.095162
csp4,2019,5408.813308,82.019684,5.095162
csp4,2020,5054.150337,64.81106,3.809767
csp4,2021,4699.487364,47.602437,2.524372
csp4,2022,4685.136541,47.591786,2.523807
csp4,2023,5789.583772,61.231479,3.247124
csp4,2024,5760.635853,61.231479,3.247124
csp4,2025,5731.832674,61.231479,3.247124
csp4,2026,5703.17351,61.231479,3.247124
csp4,2027,5674.657643,61.231479,3.247124
csp4,2028,5646.284354,61.231479,3.247124
csp4,2029,5618.052933,61.231479,3.247124
csp4,2030,5589.962668,61.231479,3.247124
csp4,2031,5562.012855,61.231479,3.247124
csp4,2032,5534.20279,61.231479,3.247124
csp4,2033,5506.531776,61.231479,3.247124
csp4,2034,5478.999118,61.231479,3.247124
csp4,2035,5451.604122,61.231479,3.247124
csp4,2036,5424.346101,61.231479,3.247124
csp4,2037,5397.224371,61.231479,3.247124
csp4,2038,5370.238249,61.231479,3.247124
csp4,2039,5343.387058,61.231479,3.247124
csp4,2040,5316.670122,61.231479,3.247124
csp4,2041,5290.086772,61.231479,3.247124
csp4,2042,5263.636338,61.231479,3.247124
csp4,2043,5237.318156,61.231479,3.247124
csp4,2044,5211.131566,61.231479,3.247124
csp4,2045,5185.075908,61.231479,3.247124
csp4,2046,5159.150528,61.231479,3.247124
csp4,2047,5133.354776,61.231479,3.247124
csp4,2048,5107.688002,61.231479,3.247124
csp4,2049,5082.149562,61.231479,3.247124
csp4,2050,5056.738814,61.231479,3.247124
