t,i,capcost,capcost_energy,fom,fom_energy,vom,rte
2010,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2011,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2012,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2013,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2014,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2015,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2016,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2017,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2018,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2019,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2020,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2021,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2022,battery_li,784.524116778006,812.4351079275965,19.621786632390748,22.84131451612903,0,0.85
2023,battery_li,776.4629753340183,804.1014809795761,19.405687660668384,22.607524193548386,0,0.85
2024,battery_li,749.6213193730729,739.3236375955861,18.73578084832905,20.783959677419357,0,0.85
2025,battery_li,672.9,644.1,16.8125,18.11875,0,0.85
2026,battery_li,675.039552286742,617.5196786371115,16.87732969151671,17.370620967741935,0,0.85
2027,battery_li,677.3952209660841,590.8770109379537,16.94215938303342,16.622491935483872,0,0.85
2028,battery_li,679.9670060380266,564.1927790146162,17.00698907455013,15.874362903225807,0,0.85
2029,battery_li,682.7981307810893,537.4254186429193,17.07181876606684,15.126233870967742,0,0.85
2030,battery_li,685.9102068345322,510.59571193495304,17.136648457583547,14.354725806451611,0,0.85
2031,battery_li,681.2637043936279,501.3061078308005,17.028598971722367,14.097556451612904,0,0.85
2032,battery_li,676.5739786742034,492.01650372664795,16.920549485861184,13.840387096774194,0,0.85
2033,battery_li,671.8410296762589,482.7268996224954,16.790890102827763,13.583217741935483,0,0.85
2034,battery_li,667.0648573997944,473.4580776304326,16.68284061696658,13.326048387096774,0,0.85
2035,battery_li,662.2670734840698,464.18925563836996,16.553181233933163,13.0455,0,0.85
2036,battery_li,657.4260662898251,454.94121575839705,16.423521850899743,12.78833064516129,0,0.85
2037,battery_li,652.5418358170606,445.71395799051396,16.315472365038563,12.531161290322581,0,0.85
2038,battery_li,647.5927704265158,436.4659181105411,16.185812982005142,12.27399193548387,0,0.85
2039,battery_li,642.6220933967112,427.25944245474784,16.056153598971722,12.01682258064516,0,0.85
2040,battery_li,637.6081930883863,418.05296679895457,15.94810411311054,11.759653225806453,0,0.85
2041,battery_li,632.5294578622816,408.8464911431613,15.818444730077122,11.502483870967742,0,0.85
2042,battery_li,627.3858877183967,399.6815797115477,15.688785347043702,11.245314516129032,0,0.85
2043,battery_li,622.2207059352518,390.51666827993415,15.559125964010285,10.988145161290323,0,0.85
2044,battery_li,616.9690775950668,381.3517568483206,15.429466580976865,10.730975806451612,0,0.85
2045,battery_li,611.6742259763616,372.2076275287968,15.299807197943446,10.473806451612905,0,0.85
2046,battery_li,606.3145394398766,363.0842803213629,15.148537917737789,10.216637096774194,0,0.85
2047,battery_li,600.8900179856115,353.98171522601876,15.018878534704372,9.959467741935484,0,0.85
2048,battery_li,595.4006616135662,344.8999322427645,14.889219151670952,9.702298387096775,0,0.85
2049,battery_li,589.8248586844809,335.8181492595102,14.737949871465297,9.445129032258064,0,0.85
2050,battery_li,584.1842208376155,326.77793050043556,14.608290488431876,9.187959677419355,0,0.85
