region,asset_type,reeds_tech_candidate,fuel,prime_mover,available,asset_count,capacity_mw,active_power_mw
pr96,ThermalStandard,o-g-s,NATURAL_GAS,ST,True,2,820.0,469.4890000000001
pr97014,RenewableDispatch,upv,,PVe,True,2,245.0,245.0
pr97021,GenericBattery,battery_4,,BA,False,1,5.0,0.0
pr97021,RenewableDispatch,upv,,PVe,True,1,44.99999999999999,38.699999999999996
pr97047,GenericBattery,battery_4,,BA,False,1,18.6,0.0
pr97047,RenewableDispatch,upv,,PVe,False,1,40.0,40.0
pr97047,RenewableDispatch,upv,,PVe,True,1,40.00000000000001,34.3
pr97047,RenewableFix,dupv,,PVe,True,1,0.018316960000000004,0.018316960000000004
pr97047,StandardLoad,load,,,False,1,0.076,0.076
pr97047,StandardLoad,load,,,True,1,2.659779135769231,2.0889401965384615
pr97064,RenewableDispatch,upv,,PVe,False,1,20.0,20.0
pr97094,RenewableDispatch,upv,,PVe,False,1,25.0,25.0
pr97134,RenewableDispatch,upv,,PVe,False,1,20.0,20.0
pr97144,RenewableDispatch,upv,,PVe,False,1,30.0,30.0
pr99,GenericBattery,battery_4,,BA,True,2,747.2062617745469,747.2062617745469
