tech,r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
dr_shed_1,AZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.029781637493813,1.059563339268611,1.089345041043409,1.1191266785372218,1.148908444593005,1.1786900820868178,1.208471719580631,1.2382534856364138,1.268035123130227,1.2978167606240398,1.3297857514768556,1.3617547423296714,1.3937237331824872,1.4256927240353032,1.457661714888119,1.4896307057409348,1.5215996965937506,1.5535686874465664,1.5855376782993822,1.617506669152198
dr_shed_1,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0271377988127648,1.0542755976255294,1.0814134590126245,1.1085513203997197,1.1356890566381541,1.1628269180252493,1.1899647794123445,1.2171025156507786,1.2442403770378738,1.271378113276308,1.2956475673540706,1.3199170214318334,1.344186350360935,1.3684558044386976,1.3927251333677992,1.4169945874455618,1.4412639163746634,1.4655333704524263,1.4898026993815279,1.5140721534592905
dr_shed_1,CO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0354641110127885,1.0709281569304032,1.1063923330383654,1.1418563138608064,1.177320424873595,1.2127845358863834,1.2482486468991718,1.2837127579119603,1.3191768689247487,1.3546409799375372,1.385788890362933,1.4169368007883285,1.4480847112137243,1.4792326216391198,1.5103805320645156,1.5415284424899112,1.572676352915307,1.6038242633407025,1.6349721737660983,1.6661200841914938
dr_shed_1,FL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0106363884731782,1.0212727769463565,1.0319090659275607,1.0425454544007389,1.0531818428739173,1.0638181318551214,1.0744545203282996,1.085090908801478,1.0957272972746561,1.1063635862558603,1.1242791060287958,1.142194526309757,1.1601100460826925,1.178025466363654,1.1959409861365893,1.2138564064175508,1.231771926190486,1.2496873464714475,1.267602866244383,1.2855182865253443
dr_shed_1,GA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.012507570790693,1.0250152521240496,1.0375229334574063,1.0500306147907632,1.062538185581456,1.0750458669148129,1.0875535482481695,1.1000612295815264,1.1125688003722192,1.125076481705576,1.1437681407420353,1.1624596892358308,1.18115134827229,1.1998430073087494,1.2185346663452086,1.237226214839004,1.2559178738754633,1.2746095329119227,1.293301191948382,1.3119927404421774
dr_shed_1,MN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0260907319354116,1.0521814638708231,1.0782721958062347,1.1043629277416462,1.1304536596770578,1.1565443916124694,1.182635123547881,1.2087257798698179,1.2348165118052294,1.260907243740641,1.282139583079398,1.30337199803163,1.3246042617569123,1.3458366767091443,1.3670689404344267,1.3883013553866586,1.409533619111941,1.4307660340641728,1.4519982977894552,1.473230712741687
dr_shed_1,MT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0516956545870797,1.1033913091741594,1.155086892052152,1.2067824749301446,1.2584781295172243,1.310173784104304,1.3618694386913837,1.4135650932784634,1.4652606044473688,1.5169562590344485,1.562141015346175,1.6073257716579012,1.6525105279696275,1.6976952842813537,1.74288004059308,1.7880647969048062,1.8332495532165327,1.878434309528259,1.9236190658399852,1.9688038221517115
dr_shed_1,NM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0281940513744825,1.056388219545784,1.0845822709202666,1.1127764390915684,1.14097060726287,1.1691646586373525,1.1973588268086541,1.2255528781831366,1.2537470463544385,1.281941097728921,1.309898051560423,1.3378550053919251,1.3658119592234272,1.3937689130549293,1.4217258668864317,1.4496828207179338,1.4776397745494358,1.505596728380938,1.533553565415621,1.561510519247123
dr_shed_1,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0195213233984808,1.0390426467969616,1.0585640888271581,1.078085412225639,1.0976067356241197,1.1171280590226005,1.136649382421081,1.1561708244512778,1.1756921478497586,1.1952134712482394,1.2174989136300605,1.2397843560118817,1.2620697983937028,1.284355240775524,1.3066405645256292,1.3289260069074502,1.3512114492892715,1.3734968916710926,1.3957823340529139,1.418067776434735
dr_shed_1,TX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0135915169119243,1.0271831122565067,1.0407747076010894,1.0543662245130137,1.067957819857596,1.0815494152021785,1.0951409321141028,1.1087325274586854,1.1223241228032679,1.1359156397151922,1.1525632851550272,1.169210852162204,1.1858584191693808,1.202506064609216,1.2191536316163927,1.2358011986235695,1.2524488440634047,1.2690964110705816,1.2857439780777582,1.3023916235175934
dr_shed_1,WA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0803115350848023,1.1606230701696048,1.240934605254407,1.3212461403392095,1.401557788722681,1.4818693238074834,1.5621808588922856,1.6424923939770881,1.7228039290618904,1.8031154641466929,1.8582566801745117,1.9133978962023306,1.9685392255288188,2.0236805548553067,2.078821884181795,2.133963213508283,2.1891043162374326,2.244245645563921,2.299386974890409,2.354528304216897
dr_shed_2,AZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0175805727475837,1.0351610674550178,1.0527416402026015,1.0703222129501853,1.087902785697769,1.1054833584453527,1.1230639311929365,1.1406445039405202,1.158225076688104,1.1758055713955382,1.1728595557470833,1.1699135400986287,1.166967524450174,1.1640214307615697,1.1610754151131149,1.1581293994646602,1.1551833057760559,1.152237290127601,1.1492912744791464,1.1463452588306917
dr_shed_2,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.02987250395966,1.0597450079193198,1.0896175118789797,1.1194901112234001,1.14936261518306,1.17923511914272,1.2091076231023798,1.2389801270620397,1.2688527264064602,1.29872523036612,1.2892230958936384,1.2797210568059172,1.2702189223334355,1.2607168832457145,1.2512147487732328,1.2417127096855116,1.23221057521303,1.222708536125309,1.2132064016528272,1.203704362565106
dr_shed_2,CO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0665477205620852,1.1330955518816084,1.1996433832011315,1.2661911037632165,1.3327389350827397,1.399286655644825,1.465834486964348,1.5323823182838712,1.5989300388459562,1.6654778701654793,1.6935270805812417,1.7215764017544422,1.7496256121702045,1.777674933343405,1.8057241437591673,1.8337734649323676,1.861822786105568,1.8898718857638923,1.9179212069370928,1.9459705281102933
dr_shed_2,FL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0290610934344695,1.0581221868689388,1.0871832803034083,1.1162444833982432,1.1453055768327125,1.174366670267182,1.2034278733620167,1.2324889667964862,1.2615500602309557,1.2906111536654252,1.3000026866789522,1.3093942196924795,1.3187857527060065,1.3281771760591683,1.3375687090726955,1.3469602420862226,1.3563517750997498,1.3657431984529116,1.3751347314664386,1.3845262644799659
dr_shed_2,GA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0010975908980781,1.002195117598291,1.0032927084963692,1.0043902993944471,1.0054878260946603,1.0065854169927384,1.0076830078908163,1.0087805345910295,1.0098781254891074,1.0109757163871855,1.0004226787432267,0.9898696410992678,0.9793166676531738,0.968763630009215,0.9582105923652561,0.9476575547212972,0.9371045812752032,0.9265515436312444,0.9159985059872855,0.9054455325411916
dr_shed_2,MN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0987126737621122,1.1974253475242242,1.2961380212863365,1.3948506950484485,1.4935632232430547,1.592275897005167,1.6909885707672792,1.7897012445293912,1.8884139182915034,1.9871265920536154,2.032670734308005,2.0782148765623942,2.1237591643842895,2.169303306638679,2.2148474488930683,2.2603917367149635,2.305935878969353,2.3514801667912484,2.3970243090456376,2.442568596867533
